1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,0,1,0,1,1,0,0,6 ±è¹Î¼º,1,¼Ò»ç,1
0,1,0,0,1,0,1,0,1,0,0,6 ±è¹Î¼º,1,¼Ò»ç,1
0,0,1,0,1,0,1,0,1,0,0,6 ±è¹Î¼º,1,ÀÌµ¿Çö,0
0,0,1,0,0,1,1,0,0,0,1,6 ±è¹Î¼º,1,½ÅÁ¤¶ô,-1
1,0,0,0,1,0,0,1,0,1,0,6 ±è¹Î¼º,1,·ùÁ¦±¹,-1
0,1,0,0,1,0,0,1,0,1,0,6 ±è¹Î¼º,1,·ùÁ¦±¹,-1
0,1,0,1,0,0,0,1,0,1,0,6 ±è¹Î¼º,1,±èÁö¿ë,-1
0,0,1,1,0,0,0,1,1,0,0,6 ±è¹Î¼º,1,ÁøÇØ¼ö,0
1,0,0,0,0,1,0,1,1,0,0,6 ±è¹Î¼º,1,À±Áö¿õ,4
0,1,0,0,1,0,1,0,1,0,0,6 ±è¹Î¼º,1,À±Áö¿õ,4
0,0,1,0,0,1,0,1,1,0,0,6 ±è¹Î¼º,1,½ÅÁ¤¶ô,-1
0,0,1,0,0,1,0,1,1,0,0,6 ±è¹Î¼º,1,ÃÖ¼ºÈÆ,-1
1,0,0,1,0,0,0,1,1,0,0,6 ±è¹Î¼º,1,¹Ú¼¼¿õ,-1
0,1,0,0,1,0,1,0,1,0,0,6 ±è¹Î¼º,1,¹Ú¼¼¿õ,-1
0,1,0,0,1,0,1,0,1,0,0,6 ±è¹Î¼º,1,¹Ú¼¼¿õ,-1
0,0,1,0,0,1,0,1,1,0,0,6 ±è¹Î¼º,1,¹Ú½Ã¿µ,-1
1,0,0,0,1,0,0,1,1,0,0,6 ±è¹Î¼º,1,·¹ÀÏ¸®,-1
0,1,0,1,0,0,0,1,1,0,0,6 ±è¹Î¼º,1,·¹ÀÏ¸®,-1
0,0,1,0,1,0,0,1,1,0,0,6 ±è¹Î¼º,1,·¹ÀÏ¸®,-1
1,0,0,0,1,0,0,1,1,0,0,6 ±è¹Î¼º,1,´ÏÆÛÆ®,1
0,1,0,0,1,0,1,0,1,0,0,6 ±è¹Î¼º,1,´ÏÆÛÆ®,1
0,1,0,0,0,1,1,0,0,1,0,6 ±è¹Î¼º,1,´ÏÆÛÆ®,1
0,0,1,0,0,1,1,0,0,1,0,6 ±è¹Î¼º,1,ÀÌÇöÈ£,-1
1,0,0,1,0,0,0,1,1,0,0,6 ±è¹Î¼º,1,À¯Èñ°ü,1
1,0,0,1,0,0,0,1,1,0,0,6 ±è¹Î¼º,1,À¯Èñ°ü,1
0,1,0,0,0,1,1,0,1,0,0,6 ±è¹Î¼º,1,À¯Èñ°ü,1
0,0,1,0,1,0,0,1,0,1,0,6 ±è¹Î¼º,1,ÀÌ¿ëÂù,-1
