1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,1,0,0,1 김용의,4,오설리반,-1
1,0,0,0,0,1,0,1,1,0,0,1 김용의,4,오설리반,-1
0,1,0,1,0,0,0,1,0,1,0,1 김용의,4,오설리반,-1
0,1,0,0,1,0,1,0,1,0,0,1 김용의,4,김정훈,-1
1,0,0,1,0,0,0,1,1,0,0,1 김용의,4,신재영,2
1,0,0,0,1,0,0,1,1,0,0,1 김용의,4,신재영,2
0,1,0,1,0,0,0,1,1,0,0,1 김용의,4,신재영,2
1,0,0,1,0,0,0,1,1,0,0,1 김용의,4,장원삼,2
1,0,0,0,0,1,1,0,1,0,0,1 김용의,4,장원삼,2
1,0,0,0,1,0,0,1,0,1,0,1 김용의,4,장원삼,2
0,1,0,0,1,0,0,1,0,1,0,1 김용의,4,백정현,0
0,0,1,1,0,0,0,1,1,0,0,1 김용의,4,김대우,0
1,0,0,1,0,0,0,1,1,0,0,1 김용의,4,페트릭,-1
1,0,0,1,0,0,1,0,1,0,0,1 김용의,4,페트릭,-1
0,1,0,0,1,0,1,0,1,0,0,1 김용의,4,페트릭,-1
0,0,1,0,0,1,0,1,1,0,0,5 김용의,4,윤길현,2
1,0,0,1,0,0,0,1,0,1,0,1 김용의,4,장현식,2
1,0,0,0,0,1,1,0,1,0,0,1 김용의,4,장현식,2
0,1,0,0,0,1,0,1,0,0,1,1 김용의,4,장현식,2
0,1,0,1,0,0,1,0,1,0,0,1 김용의,4,임정호,-1
0,0,1,0,1,0,0,1,0,0,1,1 김용의,4,원종현,1
1,0,0,1,0,0,0,1,1,0,0,1 김용의,4,해커,1
1,0,0,0,0,1,0,1,1,0,0,1 김용의,4,해커,1
1,0,0,1,0,0,0,1,1,0,0,1 김용의,4,맨쉽,1
1,0,0,0,0,1,0,1,0,0,1,1 김용의,4,맨쉽,1
0,1,0,0,0,1,0,1,1,0,0,1 김용의,4,맨쉽,1
0,0,1,0,0,1,0,1,1,0,0,9 김용의,4,심재민,-1
1,0,0,1,0,0,0,1,1,0,0,1 김용의,4,안영명,2
1,0,0,0,0,1,0,1,0,0,1,1 김용의,4,안영명,2
0,1,0,0,1,0,1,0,1,0,0,1 김용의,4,박정진,-1
1,0,0,0,1,0,0,1,0,1,0,9 김용의,4,정동현,-1
0,1,0,1,0,0,0,1,0,1,0,9 김용의,4,홍건희,0
0,1,0,1,0,0,0,1,1,0,0,9 김용의,4,손영민,-1
0,1,0,0,0,1,1,0,1,0,0,9 김용의,4,김윤동,2
1,0,0,0,0,1,0,1,1,0,0,9 김용의,4,다이아몬드,-1
0,1,0,1,0,0,0,1,0,0,1,9 김용의,4,임준혁,-1
0,0,1,0,1,0,0,1,1,0,0,9 김용의,4,채병용,2
1,0,0,1,0,0,1,0,1,0,0,2 김용의,4,윤희상,2
1,0,0,0,1,0,1,0,0,1,0,2 김용의,4,윤희상,2
0,1,0,0,1,0,1,0,0,1,0,2 김용의,4,윤희상,2
0,1,0,0,1,0,0,1,0,0,1,2 김용의,4,전유수,0
1,0,0,1,0,0,1,0,0,1,0,2 김용의,4,문승원,0
1,0,0,1,0,0,0,1,0,1,0,2 김용의,4,문승원,0
0,1,0,0,0,1,0,1,1,0,0,2 김용의,4,임준혁,-1
0,1,0,0,0,1,0,1,1,0,0,2 김용의,4,김주한,2
1,0,0,1,0,0,1,0,1,0,0,2 김용의,4,정성곤,0
1,0,0,0,0,1,0,1,1,0,0,2 김용의,4,정성곤,0
0,1,0,0,0,1,1,0,1,0,0,2 김용의,4,정성곤,0
0,0,1,0,0,1,0,1,0,0,1,2 김용의,4,심재민,-1
1,0,0,0,1,0,0,1,1,0,0,2 김용의,4,고영표,-1
1,0,0,0,1,0,0,1,1,0,0,2 김용의,4,고영표,-1
0,1,0,0,1,0,0,1,1,0,0,2 김용의,4,고영표,-1
1,0,0,0,1,0,0,1,0,1,0,2 김용의,4,로치,-1
1,0,0,0,1,0,0,1,1,0,0,2 김용의,4,로치,-1
0,1,0,0,0,1,0,1,0,1,0,2 김용의,4,로치,-1
0,1,0,0,0,1,1,0,1,0,0,2 김용의,4,심재민,-1
0,0,1,0,0,1,0,1,1,0,0,2 김용의,4,김재윤,1
1,0,0,0,1,0,0,1,0,1,0,2 김용의,4,최금강,-1
1,0,0,0,0,1,0,1,0,1,0,2 김용의,4,최금강,-1
0,1,0,0,0,1,1,0,1,0,0,2 김용의,4,최금강,-1
0,0,1,0,1,0,0,1,1,0,0,2 김용의,4,원종현,1
1,0,0,1,0,0,1,0,1,0,0,2 김용의,4,구창모,2
1,0,0,1,0,0,0,1,0,1,0,2 김용의,4,구창모,2
1,0,0,0,0,1,1,0,0,1,0,2 김용의,4,장현식,2
0,1,0,0,0,1,1,0,0,1,0,2 김용의,4,장현식,2
1,0,0,0,1,0,0,1,0,0,1,2 김용의,4,이민호,2
1,0,0,1,0,0,0,1,1,0,0,2 김용의,4,이민호,2
0,1,0,1,0,0,0,1,0,1,0,2 김용의,4,이민호,2
1,0,0,1,0,0,1,0,0,0,1,2 김용의,4,장원준,2
1,0,0,0,1,0,0,1,1,0,0,2 김용의,4,장원준,2
0,1,0,1,0,0,0,1,1,0,0,2 김용의,4,장원준,2
0,0,1,0,0,1,0,1,1,0,0,2 김용의,4,김강률,2
1,0,0,0,1,0,0,1,1,0,0,2 김용의,4,함덕주,1
0,1,0,1,0,0,0,1,0,1,0,2 김용의,4,함덕주,1
0,1,0,0,0,1,1,0,0,0,1,2 김용의,4,함덕주,1
0,0,1,1,0,0,0,1,1,0,0,2 김용의,4,박치국,2
1,0,0,0,1,0,0,1,1,0,0,2 김용의,4,유희관,2
1,0,0,0,0,1,1,0,1,0,0,2 김용의,4,유희관,2
0,1,0,0,1,0,0,1,0,1,0,2 김용의,4,유희관,2
0,1,0,0,1,0,1,0,1,0,0,2 김용의,4,김강률,2
1,0,0,1,0,0,1,0,0,1,0,2 김용의,4,윤성환,1
1,0,0,1,0,0,1,0,0,1,0,2 김용의,4,윤성환,1
0,1,0,0,0,1,0,1,0,1,0,2 김용의,4,윤성환,1
