1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,1,0,0,0,1,1,0,0,8 김재율,0,오주원,2
1,0,0,1,0,0,0,1,1,0,0,7 김재율,0,조상우,5
0,1,0,1,0,0,1,0,0,1,0,7 김재율,0,조상우,5
0,1,0,0,1,0,1,0,0,1,0,7 김재율,0,조상우,5
0,0,1,1,0,0,0,1,0,1,0,7 김재율,0,황덕균,-1
1,0,0,1,0,0,1,0,0,1,0,7 김재율,0,한현희,1
0,1,0,0,1,0,1,0,1,0,0,7 김재율,0,한현희,1
0,1,0,1,0,0,0,1,1,0,0,7 김재율,0,한현희,1
1,0,0,0,0,1,0,1,0,0,1,7 김재율,0,구창모,3
0,1,0,1,0,0,0,1,1,0,0,7 김재율,0,구창모,3
1,0,0,0,1,0,1,0,0,1,0,7 김재율,0,해커,2
0,1,0,1,0,0,0,1,1,0,0,7 김재율,0,해커,2
0,0,1,1,0,0,0,1,1,0,0,7 김재율,0,해커,2
0,0,1,0,0,1,0,1,1,0,0,7 김재율,0,이민호,1
1,0,0,1,0,0,0,1,0,1,0,7 김재율,0,이재학,2
0,1,0,0,0,1,0,1,0,1,0,7 김재율,0,이재학,2
0,1,0,0,1,0,0,1,1,0,0,7 김재율,0,원종현,3
0,0,1,0,0,1,0,1,1,0,0,7 김재율,0,김진성,3
1,0,0,1,0,0,0,1,0,1,0,7 김재율,0,로치,-1
0,1,0,1,0,0,0,1,1,0,0,7 김재율,0,로치,-1
0,1,0,0,1,0,0,1,1,0,0,7 김재율,0,로치,-1
0,0,1,0,0,1,0,1,1,0,0,7 김재율,0,심재민,-1
0,0,1,0,0,1,1,0,1,0,0,7 김재율,0,이상화,5
1,0,0,0,0,1,0,1,1,0,0,7 김재율,0,고영표,-1
0,1,0,1,0,0,0,1,1,0,0,7 김재율,0,고영표,-1
0,0,1,0,0,1,1,0,1,0,0,7 김재율,0,고영표,-1
0,0,1,1,0,0,1,0,1,0,0,7 김재율,0,강장산,-1
1,0,0,0,1,0,0,1,1,0,0,7 김재율,0,박종훈,1
0,1,0,1,0,0,0,1,1,0,0,7 김재율,0,박종훈,1
0,0,1,0,1,0,1,0,1,0,0,7 김재율,0,채병용,4
1,0,0,1,0,0,0,1,1,0,0,6 김재율,0,켈리,6
0,1,0,1,0,0,0,1,1,0,0,6 김재율,0,켈리,6
0,1,0,0,0,1,0,1,1,0,0,6 김재율,0,켈리,6
0,0,1,0,0,1,1,0,1,0,0,5 김재율,0,김대유,-1
0,0,1,0,0,1,1,0,1,0,0,6 김재율,0,박치국,6
1,0,0,0,0,1,0,1,0,1,0,6 김재율,0,함덕주,3
1,0,0,0,1,0,0,1,1,0,0,6 김재율,0,함덕주,3
0,1,0,0,0,1,0,1,0,0,1,6 김재율,0,박치국,6
0,0,1,0,1,0,1,0,1,0,0,6 김재율,0,김승회,2
0,0,1,0,1,0,1,0,0,1,0,6 김재율,0,김성배,-1
1,0,0,1,0,0,0,1,0,1,0,6 김재율,0,팻딘,-1
0,1,0,0,1,0,0,1,0,1,0,6 김재율,0,팻딘,-1
0,1,0,0,1,0,1,0,1,0,0,6 김재율,0,팻딘,-1
0,0,1,1,0,0,0,1,1,0,0,6 김재율,0,홍건희,3
0,0,1,0,1,0,0,1,1,0,0,6 김재율,0,한승혁,3
0,0,1,0,1,0,0,1,0,1,0,2 김재율,0,고효준,2
0,0,1,1,0,0,1,0,1,0,0,6 김재율,0,심동섭,-1
0,0,1,0,1,0,1,0,1,0,0,6 김재율,0,김광수,-1
0,0,1,0,0,1,0,1,1,0,0,6 김재율,0,박경태,3
1,0,0,1,0,0,1,0,1,0,0,7 김재율,0,김대우,3
0,1,0,1,0,0,0,1,1,0,0,7 김재율,0,김대우,3
0,0,1,0,1,0,1,0,1,0,0,7 김재율,0,장원삼,0
0,0,1,1,0,0,0,1,1,0,0,7 김재율,0,김동호,-1
0,0,1,0,1,0,0,1,1,0,0,5 김재율,0,이보근,1
0,0,1,0,1,0,0,1,1,0,0,7 김재율,0,김상수,1
0,0,1,1,0,0,1,0,1,0,0,5 김재율,0,강동호,-1
0,0,1,0,1,0,0,1,1,0,0,5 김재율,0,강동호,-1
0,0,1,0,0,1,0,1,1,0,0,6 김재율,0,김윤동,5
0,0,1,0,1,0,0,1,1,0,0,5 김재율,0,심동섭,-1
1,0,0,0,1,0,1,0,1,0,0,7 김재율,0,양현종,0
0,1,0,1,0,0,0,1,1,0,0,7 김재율,0,양현종,0
0,0,1,0,0,1,0,1,0,1,0,6 김재율,0,정수민,5
1,0,0,1,0,0,0,1,1,0,0,7 김재율,0,윤규진,2
0,1,0,1,0,0,0,1,1,0,0,7 김재율,0,윤규진,2
0,0,1,0,0,1,0,1,1,0,0,7 김재율,0,윤규진,2
0,0,1,0,0,1,0,1,0,1,0,7 김재율,0,정우람,2
1,0,0,1,0,0,0,1,1,0,0,7 김재율,0,김범수,5
1,0,0,0,0,1,0,1,1,0,0,7 김재율,0,김진영,-1
0,1,0,0,1,0,0,1,0,1,0,7 김재율,0,심수창,2
0,0,1,1,0,0,1,0,0,0,1,8 김재율,0,문광은,5
0,0,1,0,0,1,0,1,0,1,0,8 김재율,0,전유수,3
1,0,0,0,1,0,1,0,0,1,0,5 김재율,0,윤희상,2
0,1,0,1,0,0,0,1,1,0,0,5 김재율,0,윤희상,2
0,1,0,0,0,1,0,1,0,1,0,5 김재율,0,이건욱,-1
0,0,1,1,0,0,0,1,1,0,0,5 김재율,0,신재웅,3
0,0,1,1,0,0,0,1,0,1,0,6 김재율,0,이상화,5
1,0,0,0,1,0,1,0,0,1,0,6 김재율,0,정성곤,3
1,0,0,0,0,1,1,0,1,0,0,6 김재율,0,정성곤,3
0,1,0,0,0,1,1,0,1,0,0,6 김재율,0,정성곤,3
0,1,0,0,0,1,1,0,0,1,0,6 김재율,0,김사율,-1
0,0,1,0,1,0,1,0,1,0,0,6 김재율,0,심재민,-1
1,0,0,1,0,0,1,0,1,0,0,6 김재율,0,레나도,-1
0,1,0,1,0,0,1,0,1,0,0,6 김재율,0,레나도,-1
0,1,0,0,0,1,1,0,1,0,0,6 김재율,0,레나도,-1
0,0,1,0,0,1,0,1,0,0,1,6 김재율,0,최충연,5
0,0,1,1,0,0,0,1,0,1,0,6 김재율,0,최충연,5
0,0,1,0,0,1,0,1,0,1,0,6 김재율,0,이승현,5
1,0,0,0,0,1,0,1,0,1,0,7 김재율,0,브리검,3
