1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,0,1,0,1,1,0,0,3 김현수,3,찰리,-1
0,1,0,1,0,0,0,1,0,1,0,3 김현수,3,찰리,-1
0,1,0,0,1,0,0,1,0,1,0,3 김현수,3,찰리,-1
0,1,0,1,0,0,1,0,1,0,0,3 김현수,3,최금강,-1
0,0,1,0,1,0,0,1,1,0,0,3 김현수,3,강장산,-1
1,0,0,0,0,1,0,1,1,0,0,3 김현수,3,손민한,-1
0,1,0,1,0,0,0,1,1,0,0,3 김현수,3,손민한,-1
0,0,1,1,0,0,0,1,0,1,0,3 김현수,3,손민한,-1
1,0,0,1,0,0,1,0,1,0,0,3 김현수,3,유먼,-1
1,0,0,0,0,1,0,1,1,0,0,3 김현수,3,유먼,-1
0,1,0,0,1,0,1,0,1,0,0,3 김현수,3,유먼,-1
0,1,0,0,0,1,1,0,1,0,0,3 김현수,3,유창식,-1
0,0,1,0,1,0,1,0,1,0,0,3 김현수,3,김민우,3
1,0,0,0,0,1,0,1,1,0,0,3 김현수,3,탈보트,-1
0,1,0,0,1,0,1,0,0,0,1,3 김현수,3,탈보트,-1
0,1,0,1,0,0,0,1,1,0,0,3 김현수,3,권혁,1
0,0,1,0,1,0,0,1,0,0,1,3 김현수,3,박정진,-1
1,0,0,0,0,1,0,1,0,1,0,3 김현수,3,레일리,1
0,1,0,0,1,0,0,1,1,0,0,3 김현수,3,레일리,1
0,0,1,1,0,0,0,1,0,1,0,3 김현수,3,레일리,1
0,0,1,0,1,0,0,1,1,0,0,3 김현수,3,이명우,-1
1,0,0,0,1,0,1,0,1,0,0,3 김현수,3,송승준,2
1,0,0,0,0,1,0,1,0,1,0,3 김현수,3,송승준,2
0,1,0,0,0,1,1,0,0,1,0,3 김현수,3,송승준,2
0,0,1,0,0,1,0,1,1,0,0,3 김현수,3,이명우,-1
1,0,0,0,0,1,0,1,1,0,0,3 김현수,3,피어밴드,1
0,1,0,1,0,0,0,1,1,0,0,3 김현수,3,피어밴드,1
0,0,1,1,0,0,0,1,0,1,0,3 김현수,3,피어밴드,1
0,0,1,0,1,0,1,0,1,0,0,3 김현수,3,김택형,3
1,0,0,0,0,1,0,1,0,1,0,3 김현수,3,김대우,0
1,0,0,0,1,0,0,1,1,0,0,3 김현수,3,김대우,0
1,0,0,0,0,1,0,1,0,0,1,3 김현수,3,임지섭,3
1,0,0,0,0,1,1,0,1,0,0,3 김현수,3,임지섭,3
0,1,0,0,0,1,0,1,1,0,0,3 김현수,3,임지섭,3
0,0,1,0,1,0,0,1,1,0,0,3 김현수,3,윤지웅,2
1,0,0,0,0,1,0,1,0,0,1,3 김현수,3,루카스,-1
1,0,0,0,1,0,1,0,0,1,0,3 김현수,3,루카스,-1
0,1,0,1,0,0,0,1,1,0,0,3 김현수,3,루카스,-1
0,0,1,0,0,1,0,1,0,1,0,3 김현수,3,신재웅,1
0,0,1,0,0,1,0,1,0,1,0,3 김현수,3,김지용,2
1,0,0,1,0,0,0,1,1,0,0,3 김현수,3,임정우,2
0,1,0,1,0,0,0,1,0,1,0,3 김현수,3,임정우,2
0,1,0,0,0,1,0,1,1,0,0,3 김현수,3,윤지웅,2
0,0,1,0,1,0,1,0,0,0,1,3 김현수,3,정찬헌,2
1,0,0,0,1,0,1,0,1,0,0,3 김현수,3,정대현,-1
1,0,0,0,1,0,1,0,0,1,0,3 김현수,3,정대현,-1
0,1,0,1,0,0,0,1,0,1,0,3 김현수,3,심재민,-1
0,1,0,0,1,0,1,0,0,1,0,3 김현수,3,이윤학,-1
0,0,1,0,0,1,1,0,0,0,1,3 김현수,3,정성곤,0
1,0,0,1,0,0,0,1,0,1,0,3 김현수,3,시스코,-1
1,0,0,0,0,1,0,1,1,0,0,3 김현수,3,시스코,-1
0,1,0,1,0,0,0,1,1,0,0,3 김현수,3,이성민,-1
0,0,1,0,1,0,0,1,1,0,0,3 김현수,3,이창재,-1
0,0,1,1,0,0,0,1,0,1,0,3 김현수,3,장시환,0
0,0,1,1,0,0,0,1,0,1,0,3 김현수,3,심재민,-1
0,0,1,0,1,0,1,0,1,0,0,3 김현수,3,심재민,-1
1,0,0,1,0,0,0,1,1,0,0,3 김현수,3,송승준,2
1,0,0,0,0,1,0,1,0,0,1,3 김현수,3,이인복,3
1,0,0,0,0,1,1,0,1,0,0,3 김현수,3,이인복,3
