1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,1,0,0,1,0,1,0,8 박재욱,-1,이준영,-1
0,0,1,0,0,1,1,0,1,0,0,8 박재욱,-1,문광은,-1
0,1,0,0,1,0,0,1,1,0,0,8 박재욱,-1,김광현,-1
0,0,1,0,1,0,1,0,1,0,0,8 박재욱,-1,김광현,-1
0,0,1,0,1,0,1,0,1,0,0,8 박재욱,-1,김광현,-1
1,0,0,0,1,0,0,1,1,0,0,8 박재욱,-1,금민철,1
0,1,0,1,0,0,0,1,0,1,0,8 박재욱,-1,김택형,-1
0,1,0,1,0,0,0,1,1,0,0,8 박재욱,-1,김상수,-1
0,0,1,0,0,1,0,1,1,0,0,8 박재욱,-1,마정길,-1
1,0,0,0,0,1,0,1,0,1,0,8 박재욱,-1,최원태,-1
0,1,0,1,0,0,0,1,1,0,0,8 박재욱,-1,최원태,-1
0,1,0,0,1,0,0,1,0,1,0,8 박재욱,-1,최원태,-1
1,0,0,0,1,0,0,1,1,0,0,8 박재욱,-1,맥그레거,-1
0,1,0,0,1,0,1,0,1,0,0,8 박재욱,-1,맥그레거,-1
0,0,1,1,0,0,0,1,1,0,0,8 박재욱,-1,김택형,-1
1,0,0,0,1,0,0,1,1,0,0,8 박재욱,-1,최영필,-1
0,1,0,0,1,0,0,1,1,0,0,8 박재욱,-1,심동섭,4
1,0,0,0,1,0,1,0,1,0,0,8 박재욱,-1,양현종,1
0,1,0,0,1,0,0,1,0,1,0,8 박재욱,-1,양현종,1
1,0,0,0,0,1,1,0,0,1,0,8 박재욱,-1,헥터,-1
0,1,0,0,1,0,1,0,1,0,0,8 박재욱,-1,헥터,-1
0,1,0,0,0,1,0,1,0,1,0,8 박재욱,-1,헥터,-1
1,0,0,0,0,1,1,0,1,0,0,8 박재욱,-1,김광현,-1
0,1,0,0,0,1,0,1,0,1,0,8 박재욱,-1,김주한,-1
0,0,1,1,0,0,0,1,1,0,0,8 박재욱,-1,채병용,2
1,0,0,0,1,0,0,1,1,0,0,8 박재욱,-1,박종훈,-1
0,1,0,0,1,0,1,0,1,0,0,8 박재욱,-1,박종훈,-1
1,0,0,1,0,0,1,0,1,0,0,8 박재욱,-1,윤성환,5
1,0,0,0,1,0,0,1,0,1,0,8 박재욱,-1,차우찬,1
1,0,0,1,0,0,0,1,0,1,0,8 박재욱,-1,차우찬,1
0,1,0,0,1,0,0,1,0,1,0,8 박재욱,-1,장필준,-1
0,0,1,0,1,0,0,1,1,0,0,8 박재욱,-1,백정현,5
1,0,0,0,1,0,1,0,1,0,0,8 박재욱,-1,린드블럼,-1
1,0,0,0,0,1,0,1,0,0,1,8 박재욱,-1,린드블럼,-1
0,1,0,0,0,1,0,1,1,0,0,8 박재욱,-1,박진형,-1
1,0,0,0,1,0,0,1,1,0,0,8 박재욱,-1,장민재,-1
0,1,0,1,0,0,0,1,1,0,0,8 박재욱,-1,박정진,-1
1,0,0,0,1,0,0,1,0,1,0,8 박재욱,-1,신재영,-1
0,1,0,1,0,0,1,0,1,0,0,8 박재욱,-1,신재영,-1
1,0,0,0,1,0,0,1,0,0,1,8 박재욱,-1,니퍼트,1
1,0,0,0,0,1,1,0,1,0,0,8 박재욱,-1,허준혁,-1
1,0,0,0,0,1,1,0,1,0,0,8 박재욱,-1,박세웅,-1
0,1,0,0,0,1,0,1,1,0,0,8 박재욱,-1,박세웅,-1
0,0,1,0,0,1,1,0,1,0,0,8 박재욱,-1,임창민,4
1,0,0,0,1,0,1,0,1,0,0,8 박재욱,-1,이민호,0
0,1,0,0,1,0,0,1,1,0,0,8 박재욱,-1,이민호,0
0,1,0,0,0,1,0,1,1,0,0,8 박재욱,-1,이민호,0
0,0,1,0,1,0,0,1,1,0,0,8 박재욱,-1,민태호,-1
0,0,1,0,0,1,0,1,1,0,0,8 박재욱,-1,박준영,-1
1,0,0,0,0,1,1,0,1,0,0,8 박재욱,-1,유희관,1
