1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,1,0,0,1,1,0,0,8 백승현,-1,백정현,0
0,1,0,1,0,0,1,0,1,0,0,8 백승현,-1,백정현,0
0,1,0,0,0,1,1,0,1,0,0,8 백승현,-1,임대한,-1
0,0,1,0,1,0,0,1,0,1,0,8 백승현,-1,김시현,-1
0,0,1,0,1,0,1,0,1,0,0,8 백승현,-1,최지광,0
1,0,0,0,0,1,1,0,0,0,1,8 백승현,-1,맨쉽,1
0,1,0,1,0,0,0,1,1,0,0,8 백승현,-1,정수민,3
0,1,0,0,0,1,0,1,0,1,0,8 백승현,-1,김진성,2
0,1,0,0,0,1,1,0,1,0,0,8 백승현,-1,임창민,1
1,0,0,1,0,0,0,1,1,0,0,8 백승현,-1,해커,1
1,0,0,1,0,0,0,1,0,1,0,8 백승현,-1,양현종,1
0,1,0,0,0,1,0,1,1,0,0,8 백승현,-1,양현종,1
1,0,0,1,0,0,0,1,0,0,1,8 백승현,-1,정성곤,0
0,1,0,1,0,0,0,1,0,1,0,8 백승현,-1,정성곤,0
0,1,0,0,0,1,0,1,1,0,0,8 백승현,-1,김사율,-1
0,0,1,0,1,0,0,1,0,0,1,8 백승현,-1,강장산,-1
0,0,1,0,0,1,1,0,0,0,1,8 백승현,-1,배우열,0
1,0,0,1,0,0,0,1,1,0,0,8 백승현,-1,장원준,2
0,1,0,0,0,1,1,0,0,0,1,8 백승현,-1,장원준,2
0,0,1,0,0,1,0,1,1,0,0,8 백승현,-1,장원준,2
1,0,0,1,0,0,1,0,1,0,0,8 백승현,-1,최지광,0
0,1,0,0,0,1,0,1,1,0,0,8 백승현,-1,최지광,0
0,1,0,0,0,1,1,0,1,0,0,8 백승현,-1,황수범,-1
0,0,1,1,0,0,0,1,0,0,1,8 백승현,-1,심창민,-1
1,0,0,0,1,0,0,1,1,0,0,8 백승현,-1,우규민,1
0,1,0,0,1,0,0,1,1,0,0,8 백승현,-1,우규민,1
0,0,1,1,0,0,0,1,1,0,0,8 백승현,-1,권오준,1
1,0,0,1,0,0,1,0,1,0,0,8 백승현,-1,레일리,1
0,1,0,1,0,0,0,1,0,1,0,8 백승현,-1,레일리,1
0,0,1,0,1,0,0,1,1,0,0,8 백승현,-1,레일리,1
