1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,0,1,1,0,1,0,0,8 서상우,4,한현희,1
1,0,0,0,1,0,1,0,0,1,0,6 서상우,4,신재영,3
0,1,0,0,0,1,0,1,1,0,0,6 서상우,4,신재영,3
0,1,0,0,0,1,0,1,1,0,0,7 서상우,4,이승현,5
0,0,1,0,1,0,1,0,1,0,0,7 서상우,4,장지훈,-1
0,0,1,0,0,1,1,0,1,0,0,7 서상우,4,심창민,-1
0,0,1,0,1,0,1,0,0,0,1,8 서상우,4,윤길현,2
0,0,1,0,0,1,1,0,1,0,0,8 서상우,4,박시영,5
0,0,1,0,1,0,0,1,1,0,0,8 서상우,4,배장호,3
0,0,1,0,1,0,1,0,0,0,1,8 서상우,4,노경은,-1
0,0,1,1,0,0,0,1,1,0,0,9 서상우,4,원종현,3
0,0,1,0,0,1,0,1,1,0,0,7 서상우,4,김진성,3
0,0,1,0,0,1,1,0,1,0,0,7 서상우,4,윤수호,6
1,0,0,0,0,1,1,0,1,0,0,4 서상우,4,맨쉽,6
0,1,0,0,0,1,0,1,0,0,1,4 서상우,4,맨쉽,6
0,1,0,1,0,0,0,1,1,0,0,4 서상우,4,맨쉽,6
0,0,1,0,0,1,0,1,1,0,0,4 서상우,4,윤수호,6
0,0,1,1,0,0,0,1,0,0,1,9 서상우,4,김민우,5
0,0,1,0,1,0,0,1,1,0,0,9 서상우,4,권혁,2
1,0,0,1,0,0,0,1,0,1,0,6 서상우,4,지크,-1
0,1,0,0,1,0,0,1,1,0,0,6 서상우,4,지크,-1
0,1,0,0,1,0,1,0,0,0,1,6 서상우,4,지크,-1
0,0,1,0,1,0,0,1,0,0,1,6 서상우,4,한기주,3
0,0,1,0,1,0,0,1,1,0,0,6 서상우,4,김광수,-1
1,0,0,0,1,0,0,1,1,0,0,2 서상우,4,켈리,6
0,1,0,0,1,0,0,1,0,0,1,2 서상우,4,켈리,6
0,1,0,0,0,1,0,1,0,1,0,2 서상우,4,켈리,6
0,0,1,0,0,1,0,1,1,0,0,2 서상우,4,켈리,6
1,0,0,0,1,0,0,1,0,0,1,4 서상우,4,박종훈,1
0,1,0,1,0,0,1,0,0,1,0,4 서상우,4,박종훈,1
0,1,0,1,0,0,0,1,0,0,1,4 서상우,4,박종훈,1
0,0,1,1,0,0,0,1,0,1,0,4 서상우,4,채병용,4
0,0,1,1,0,0,0,1,1,0,0,8 서상우,4,박희수,3
0,0,1,0,1,0,0,1,1,0,0,9 서상우,4,이성민,-1
