1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,0,1,0,1,1,0,0,7 양석환,0,김상수,1
0,0,1,0,1,0,1,0,1,0,0,7 양석환,0,한현희,1
0,0,1,0,1,0,1,0,0,0,1,6 양석환,0,금민철,2
0,0,1,0,1,0,1,0,1,0,0,6 양석환,0,이보근,1
0,0,1,0,0,1,1,0,1,0,0,4 양석환,0,김대우,3
1,0,0,0,1,0,0,1,1,0,0,7 양석환,0,페트릭,-1
0,1,0,0,0,1,1,0,1,0,0,7 양석환,0,페트릭,-1
0,1,0,0,0,1,0,1,1,0,0,7 양석환,0,김승현,6
0,0,1,1,0,0,0,1,1,0,0,8 양석환,0,배장호,3
0,0,1,0,0,1,1,0,1,0,0,6 양석환,0,이정민,-1
1,0,0,1,0,0,0,1,1,0,0,7 양석환,0,애디튼,-1
0,1,0,1,0,0,0,1,1,0,0,7 양석환,0,애디튼,-1
0,0,1,1,0,0,0,1,0,1,0,4 양석환,0,원종현,3
1,0,0,0,0,1,0,1,1,0,0,7 양석환,0,맨쉽,6
0,1,0,0,0,1,0,1,1,0,0,7 양석환,0,맨쉽,6
0,0,1,0,0,1,0,1,1,0,0,7 양석환,0,정성곤,3
0,0,1,1,0,0,0,1,1,0,0,8 양석환,0,피어밴드,1
0,0,1,1,0,0,1,0,0,1,0,7 양석환,0,장시환,3
0,0,1,0,1,0,1,0,0,1,0,7 양석환,0,심재민,-1
1,0,0,0,1,0,1,0,0,1,0,7 양석환,0,오간도,-1
0,1,0,0,1,0,1,0,1,0,0,7 양석환,0,오간도,-1
0,1,0,0,0,1,0,1,1,0,0,7 양석환,0,오간도,-1
0,0,1,1,0,0,0,1,1,0,0,7 양석환,0,송창식,2
1,0,0,0,0,1,1,0,1,0,0,7 양석환,0,비야누에바,-1
0,1,0,0,0,1,0,1,0,1,0,7 양석환,0,비야누에바,-1
0,0,1,0,0,1,1,0,1,0,0,7 양석환,0,비야누에바,-1
1,0,0,0,1,0,1,0,1,0,0,7 양석환,0,안영명,2
1,0,0,0,0,1,1,0,1,0,0,7 양석환,0,장민재,3
0,1,0,0,1,0,0,1,0,1,0,7 양석환,0,송창식,2
0,0,1,0,1,0,0,1,1,0,0,7 양석환,0,윤규진,2
1,0,0,1,0,0,1,0,0,1,0,7 양석환,0,팻딘,-1
0,1,0,0,0,1,0,1,1,0,0,7 양석환,0,팻딘,-1
0,0,1,1,0,0,0,1,1,0,0,7 양석환,0,팻딘,-1
0,0,1,0,0,1,0,1,0,1,0,7 양석환,0,김윤동,5
1,0,0,0,1,0,0,1,1,0,0,7 양석환,0,양현종,0
0,1,0,0,1,0,0,1,1,0,0,7 양석환,0,양현종,0
0,0,1,0,1,0,0,1,0,1,0,7 양석환,0,양현종,0
0,0,1,0,0,1,0,1,0,1,0,7 양석환,0,심동섭,-1
1,0,0,0,0,1,1,0,0,1,0,6 양석환,0,정동현,-1
1,0,0,0,1,0,1,0,0,1,0,6 양석환,0,홍건희,3
0,1,0,0,0,1,0,1,1,0,0,6 양석환,0,손영민,-1
0,1,0,1,0,0,0,1,0,1,0,6 양석환,0,김윤동,5
0,0,1,0,0,1,0,1,1,0,0,6 양석환,0,임창용,-1
1,0,0,0,0,1,0,1,1,0,0,6 양석환,0,다이아몬드,-1
0,1,0,0,1,0,1,0,0,1,0,6 양석환,0,다이아몬드,-1
