1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,1,0,0,8 유강남,0,오설리반,-1
0,1,0,0,1,0,0,1,1,0,0,8 유강남,0,오설리반,-1
0,1,0,1,0,0,1,0,1,0,0,8 유강남,0,김정훈,-1
1,0,0,0,0,1,0,1,1,0,0,8 유강남,0,신재영,2
0,1,0,0,1,0,0,1,1,0,0,8 유강남,0,신재영,2
0,0,1,0,0,1,0,1,0,0,1,8 유강남,0,박주현,-1
0,0,1,0,0,1,1,0,0,1,0,8 유강남,0,이보근,2
1,0,0,0,0,1,1,0,1,0,0,8 유강남,0,장원삼,2
1,0,0,1,0,0,1,0,1,0,0,8 유강남,0,장원삼,2
0,1,0,0,0,1,0,1,1,0,0,8 유강남,0,권오준,1
1,0,0,0,0,1,0,1,1,0,0,8 유강남,0,페트릭,-1
0,1,0,1,0,0,0,1,1,0,0,8 유강남,0,페트릭,-1
0,0,1,1,0,0,0,1,1,0,0,8 유강남,0,김승현,2
1,0,0,0,0,1,0,1,1,0,0,8 유강남,0,김원중,0
0,1,0,1,0,0,1,0,1,0,0,8 유강남,0,김원중,0
1,0,0,0,1,0,0,1,1,0,0,8 유강남,0,박진형,2
0,1,0,1,0,0,0,1,0,1,0,8 유강남,0,박진형,2
0,1,0,0,0,1,0,1,1,0,0,8 유강남,0,송승준,2
1,0,0,0,1,0,0,1,1,0,0,8 유강남,0,애디튼,-1
0,1,0,0,1,0,0,1,1,0,0,8 유강남,0,애디튼,-1
1,0,0,1,0,0,1,0,1,0,0,8 유강남,0,장현식,2
0,1,0,1,0,0,0,1,1,0,0,8 유강남,0,장현식,2
0,1,0,0,0,1,1,0,1,0,0,8 유강남,0,장현식,2
0,0,1,0,0,1,0,1,1,0,0,8 유강남,0,김진성,2
1,0,0,0,0,1,0,1,1,0,0,8 유강남,0,정대현,-1
0,1,0,0,0,1,0,1,1,0,0,8 유강남,0,정대현,-1
0,0,1,1,0,0,0,1,1,0,0,8 유강남,0,엄상백,0
