1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,1,0,1,0,1,0,0,1 윤진호,1,윤영삼,0
0,0,1,0,1,0,0,1,0,1,0,4 윤진호,1,김재윤,1
0,0,1,0,1,0,0,1,1,0,0,4 윤진호,1,심창민,-1
0,0,1,1,0,0,0,1,1,0,0,9 윤진호,1,김윤동,2
0,0,1,0,0,1,1,0,1,0,0,9 윤진호,1,박정배,2
0,0,1,1,0,0,0,1,1,0,0,1 윤진호,1,레일리,1
0,0,1,0,1,0,1,0,1,0,0,1 윤진호,1,장민재,0
1,0,0,1,0,0,0,1,0,1,0,9 윤진호,1,문승원,0
0,1,0,1,0,0,0,1,1,0,0,9 윤진호,1,박정배,2
0,1,0,1,0,0,1,0,1,0,0,9 윤진호,1,김주한,2
0,0,1,1,0,0,0,1,1,0,0,9 윤진호,1,채병용,2
1,0,0,0,0,1,0,1,1,0,0,9 윤진호,1,윤희상,2
0,1,0,0,0,1,0,1,1,0,0,9 윤진호,1,윤희상,2
1,0,0,0,1,0,1,0,1,0,0,9 윤진호,1,김광현,1
0,1,0,0,0,1,0,1,1,0,0,9 윤진호,1,김광현,1
0,0,1,1,0,0,1,0,1,0,0,1 윤진호,1,김세현,2
0,0,1,0,0,1,1,0,0,1,0,6 윤진호,1,김광수,-1
0,0,1,0,1,0,1,0,0,1,0,6 윤진호,1,김광수,-1
0,0,1,0,1,0,1,0,1,0,0,9 윤진호,1,박희수,4
0,0,1,0,0,1,0,1,1,0,0,9 윤진호,1,양훈,-1
0,0,1,1,0,0,0,1,0,1,0,9 윤진호,1,이정훈,-1
0,0,1,1,0,0,0,1,1,0,0,9 윤진호,1,진야곱,-1
0,0,1,0,0,1,1,0,1,0,0,9 윤진호,1,김진우,-1
0,0,1,1,0,0,0,1,1,0,0,1 윤진호,1,홍건희,0
0,0,1,0,1,0,1,0,1,0,0,9 윤진호,1,김승현,2
0,0,1,1,0,0,0,1,1,0,0,8 윤진호,1,홍상삼,2
0,0,1,1,0,0,0,1,1,0,0,1 윤진호,1,함덕주,1
0,0,1,0,0,1,0,1,0,1,0,1 윤진호,1,윤명준,2
0,0,1,1,0,0,0,1,1,0,0,6 윤진호,1,고효준,0
0,0,1,0,1,0,0,1,1,0,0,5 윤진호,1,정대훈,-1
0,0,1,1,0,0,1,0,1,0,0,1 윤진호,1,홍성용,-1
0,0,1,1,0,0,0,1,1,0,0,7 윤진호,1,고창성,-1
0,0,1,1,0,0,1,0,1,0,0,3 윤진호,1,최금강,-1
0,0,1,0,0,1,0,1,1,0,0,2 윤진호,1,최금강,-1
0,0,1,0,0,1,0,1,1,0,0,7 윤진호,1,김택형,3
0,1,0,0,1,0,0,1,1,0,0,6 윤진호,1,이재학,2
0,0,1,1,0,0,0,1,1,0,0,6 윤진호,1,손민한,-1
0,0,1,1,0,0,1,0,1,0,0,7 윤진호,1,노경은,-1
0,0,1,0,1,0,0,1,1,0,0,6 윤진호,1,이재영,-1
