1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,0,1,0,1,0,1,0,6 이천웅,0,오설리반,-1
0,1,0,0,1,0,0,1,0,1,0,6 이천웅,0,오설리반,-1
0,1,0,0,0,1,0,1,1,0,0,6 이천웅,0,오설리반,-1
0,0,1,0,1,0,0,1,0,1,0,6 이천웅,0,한현희,2
1,0,0,0,1,0,0,1,1,0,0,7 이천웅,0,신재영,2
0,1,0,1,0,0,0,1,1,0,0,7 이천웅,0,신재영,2
0,1,0,0,1,0,0,1,1,0,0,6 이천웅,0,이승현,2
0,0,1,1,0,0,1,0,1,0,0,6 이천웅,0,장지훈,-1
1,0,0,0,1,0,0,1,0,0,1,2 이천웅,0,박치국,2
1,0,0,0,1,0,1,0,1,0,0,2 이천웅,0,박치국,2
0,1,0,1,0,0,0,1,0,1,0,2 이천웅,0,박치국,2
0,1,0,0,1,0,0,1,0,0,1,2 이천웅,0,김강률,2
0,0,1,1,0,0,0,1,1,0,0,2 이천웅,0,김승회,2
0,0,1,0,1,0,0,1,1,0,0,5 이천웅,0,박희수,4
1,0,0,0,1,0,0,1,1,0,0,2 이천웅,0,문승원,0
0,1,0,1,0,0,0,1,0,1,0,2 이천웅,0,문승원,0
0,1,0,0,1,0,1,0,0,0,1,2 이천웅,0,문승원,0
0,0,1,1,0,0,0,1,0,1,0,2 이천웅,0,문광은,3
1,0,0,0,1,0,0,1,1,0,0,2 이천웅,0,박종훈,2
1,0,0,0,0,1,0,1,1,0,0,2 이천웅,0,박종훈,2
0,1,0,0,1,0,0,1,1,0,0,2 이천웅,0,박종훈,2
0,0,1,0,1,0,1,0,0,1,0,2 이천웅,0,서진용,2
1,0,0,0,1,0,0,1,1,0,0,2 이천웅,0,브리검,1
1,0,0,0,0,1,0,1,1,0,0,2 이천웅,0,브리검,1
0,1,0,0,1,0,1,0,0,1,0,2 이천웅,0,브리검,1
0,0,1,1,0,0,0,1,0,1,0,2 이천웅,0,김상수,0
1,0,0,1,0,0,1,0,0,1,0,2 이천웅,0,조상우,4
1,0,0,1,0,0,0,1,1,0,0,2 이천웅,0,조상우,4
0,0,1,0,0,1,1,0,1,0,0,8 이천웅,0,원종현,1
1,0,0,0,1,0,0,1,1,0,0,2 이천웅,0,해커,1
1,0,0,0,0,1,1,0,0,0,1,2 이천웅,0,해커,1
0,1,0,0,1,0,0,1,1,0,0,2 이천웅,0,해커,1
0,0,1,1,0,0,0,1,1,0,0,2 이천웅,0,임정호,-1
1,0,0,1,0,0,0,1,0,1,0,1 이천웅,0,이재학,2
1,0,0,1,0,0,0,1,1,0,0,1 이천웅,0,이재학,2
0,1,0,1,0,0,1,0,0,0,1,1 이천웅,0,이재학,2
0,0,1,0,1,0,0,1,0,1,0,1 이천웅,0,원종현,1
0,0,1,0,0,1,0,1,0,1,0,1 이천웅,0,임창민,1
1,0,0,1,0,0,0,1,1,0,0,1 이천웅,0,로치,-1
1,0,0,0,0,1,1,0,0,1,0,1 이천웅,0,로치,-1
0,1,0,1,0,0,0,1,0,0,1,1 이천웅,0,로치,-1
0,0,1,1,0,0,1,0,1,0,0,1 이천웅,0,심재민,-1
0,0,1,1,0,0,0,1,0,1,0,1 이천웅,0,김재윤,1
1,0,0,1,0,0,0,1,1,0,0,1 이천웅,0,고영표,-1
1,0,0,1,0,0,0,1,1,0,0,1 이천웅,0,고영표,-1
0,1,0,1,0,0,0,1,0,1,0,1 이천웅,0,고영표,-1
0,0,1,0,1,0,1,0,0,0,1,1 이천웅,0,고영표,-1
1,0,0,1,0,0,0,1,1,0,0,1 이천웅,0,박종훈,2
1,0,0,1,0,0,0,1,1,0,0,1 이천웅,0,박종훈,2
0,1,0,1,0,0,0,1,1,0,0,1 이천웅,0,박종훈,2
0,0,1,1,0,0,0,1,0,0,1,1 이천웅,0,박정배,2
1,0,0,1,0,0,1,0,0,0,1,2 이천웅,0,켈리,4
1,0,0,0,1,0,1,0,1,0,0,2 이천웅,0,켈리,4
0,1,0,0,1,0,0,1,1,0,0,2 이천웅,0,켈리,4
0,0,1,1,0,0,0,1,1,0,0,2 이천웅,0,켈리,4
