1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,0,1,0,1 이형종,0,밴헤켄,-1
1,0,0,1,0,0,0,1,0,1,0,1 이형종,0,밴헤켄,-1
0,1,0,0,1,0,0,1,1,0,0,1 이형종,0,밴헤켄,-1
0,0,1,1,0,0,0,1,1,0,0,1 이형종,0,금민철,2
1,0,0,0,1,0,0,1,1,0,0,5 이형종,0,오설리반,-1
0,1,0,1,0,0,0,1,1,0,0,5 이형종,0,오설리반,-1
0,1,0,0,1,0,0,1,1,0,0,5 이형종,0,오설리반,-1
0,0,1,1,0,0,0,1,1,0,0,5 이형종,0,한현희,2
0,0,1,0,1,0,0,1,1,0,0,7 이형종,0,금민철,2
0,0,1,0,0,1,1,0,0,1,0,7 이형종,0,이보근,2
1,0,0,0,1,0,1,0,0,1,0,6 이형종,0,장원삼,2
1,0,0,0,0,1,1,0,1,0,0,6 이형종,0,장원삼,2
0,1,0,0,1,0,1,0,0,1,0,6 이형종,0,권오준,1
1,0,0,1,0,0,0,1,0,1,0,6 이형종,0,페트릭,-1
0,1,0,0,1,0,1,0,1,0,0,6 이형종,0,페트릭,-1
0,1,0,0,1,0,1,0,1,0,0,6 이형종,0,김승현,2
0,0,1,0,1,0,1,0,1,0,0,6 이형종,0,이승현,2
1,0,0,1,0,0,0,1,1,0,0,1 이형종,0,김원중,0
1,0,0,0,1,0,0,1,1,0,0,1 이형종,0,김원중,0
0,1,0,0,1,0,0,1,1,0,0,1 이형종,0,김원중,0
0,0,1,0,1,0,1,0,0,1,0,1 이형종,0,박시영,3
0,0,1,0,0,1,0,1,1,0,0,1 이형종,0,배장호,2
1,0,0,1,0,0,0,1,0,0,1,1 이형종,0,박진형,2
1,0,0,1,0,0,0,1,1,0,0,1 이형종,0,박진형,2
0,1,0,0,1,0,1,0,1,0,0,1 이형종,0,박진형,2
0,0,1,1,0,0,1,0,0,1,0,1 이형종,0,송승준,2
0,0,1,0,0,1,1,0,1,0,0,1 이형종,0,손승락,1
1,0,0,0,0,1,0,1,1,0,0,6 이형종,0,애디튼,-1
0,1,0,0,0,1,1,0,1,0,0,6 이형종,0,애디튼,-1
0,1,0,0,0,1,0,1,1,0,0,6 이형종,0,배장호,2
0,0,1,1,0,0,0,1,0,1,0,6 이형종,0,노경은,-1
1,0,0,0,0,1,0,1,1,0,0,6 이형종,0,장현식,2
0,1,0,1,0,0,0,1,0,1,0,6 이형종,0,장현식,2
0,1,0,0,0,1,1,0,0,0,1,6 이형종,0,장현식,2
0,0,1,1,0,0,0,1,1,0,0,6 이형종,0,김진성,2
0,0,1,1,0,0,0,1,1,0,0,6 이형종,0,임창민,1
1,0,0,0,1,0,0,1,1,0,0,6 이형종,0,해커,1
0,1,0,0,1,0,0,1,1,0,0,6 이형종,0,해커,1
0,0,1,0,0,1,1,0,0,1,0,6 이형종,0,해커,1
0,0,1,0,1,0,1,0,1,0,0,6 이형종,0,원종현,1
0,0,1,0,0,1,0,1,1,0,0,1 이형종,0,윤수호,0
1,0,0,1,0,0,0,1,1,0,0,1 이형종,0,정대현,-1
1,0,0,1,0,0,1,0,1,0,0,1 이형종,0,정대현,-1
0,1,0,1,0,0,1,0,0,1,0,1 이형종,0,정대현,-1
0,0,1,0,0,1,0,1,0,1,0,1 이형종,0,엄상백,0
1,0,0,1,0,0,0,1,0,1,0,1 이형종,0,피어밴드,1
1,0,0,0,1,0,1,0,0,1,0,1 이형종,0,피어밴드,1
0,1,0,0,0,1,1,0,1,0,0,1 이형종,0,피어밴드,1
0,0,1,0,1,0,1,0,0,1,0,1 이형종,0,피어밴드,1
1,0,0,1,0,0,0,1,0,1,0,1 이형종,0,주권,0
1,0,0,0,1,0,0,1,1,0,0,1 이형종,0,이상화,0
0,1,0,0,1,0,0,1,1,0,0,1 이형종,0,엄상백,0
0,1,0,0,0,1,0,1,1,0,0,1 이형종,0,정성곤,0
0,0,1,0,0,1,1,0,1,0,0,1 이형종,0,장시환,0
1,0,0,1,0,0,0,1,1,0,0,1 이형종,0,오간도,-1
1,0,0,1,0,0,0,1,0,1,0,1 이형종,0,오간도,-1
0,1,0,1,0,0,0,1,0,0,1,1 이형종,0,오간도,-1
0,0,1,1,0,0,0,1,1,0,0,1 이형종,0,오간도,-1
0,0,1,0,0,1,1,0,1,0,0,1 이형종,0,정우람,4
1,0,0,1,0,0,0,1,0,1,0,1 이형종,0,비야누에바,-1
1,0,0,0,0,1,0,1,1,0,0,1 이형종,0,비야누에바,-1
0,1,0,0,1,0,0,1,1,0,0,1 이형종,0,비야누에바,-1
0,0,1,0,0,1,0,1,1,0,0,1 이형종,0,비야누에바,-1
1,0,0,1,0,0,0,1,0,1,0,1 이형종,0,팻딘,-1
1,0,0,0,0,1,1,0,1,0,0,1 이형종,0,팻딘,-1
0,1,0,0,1,0,1,0,0,0,1,1 이형종,0,팻딘,-1
0,0,1,1,0,0,0,1,0,1,0,1 이형종,0,한승혁,0
1,0,0,1,0,0,0,1,1,0,0,1 이형종,0,양현종,1
1,0,0,0,1,0,0,1,0,1,0,1 이형종,0,양현종,1
0,1,0,0,1,0,0,1,0,1,0,1 이형종,0,양현종,1
0,0,1,1,0,0,0,1,0,1,0,1 이형종,0,박지훈,3
0,0,1,0,0,1,0,1,0,1,0,1 이형종,0,임창용,-1
1,0,0,1,0,0,0,1,0,1,0,1 이형종,0,정동현,-1
1,0,0,0,1,0,1,0,0,0,1,1 이형종,0,정동현,-1
0,1,0,1,0,0,1,0,0,0,1,1 이형종,0,홍건희,0
0,1,0,0,1,0,0,1,0,1,0,1 이형종,0,김윤동,2
1,0,0,1,0,0,0,1,0,1,0,1 이형종,0,다이아몬드,-1
0,1,0,1,0,0,0,1,0,0,1,1 이형종,0,다이아몬드,-1
0,1,0,1,0,0,1,0,1,0,0,1 이형종,0,임준혁,-1
0,0,1,0,0,1,0,1,1,0,0,1 이형종,0,채병용,2
1,0,0,1,0,0,0,1,0,1,0,1 이형종,0,윤희상,2
1,0,0,0,1,0,1,0,0,1,0,1 이형종,0,윤희상,2
0,1,0,0,1,0,0,1,0,0,1,1 이형종,0,윤희상,2
0,1,0,0,1,0,1,0,0,1,0,1 이형종,0,전유수,0
1,0,0,1,0,0,0,1,0,0,1,1 이형종,0,문승원,0
1,0,0,0,0,1,0,1,1,0,0,1 이형종,0,문승원,0
0,1,0,0,0,1,0,1,0,0,1,1 이형종,0,문승원,0
0,1,0,0,1,0,0,1,1,0,0,1 이형종,0,김주한,2
0,0,1,0,0,1,1,0,1,0,0,1 이형종,0,서진용,2
1,0,0,1,0,0,0,1,0,1,0,1 이형종,0,정성곤,0
1,0,0,0,1,0,0,1,1,0,0,1 이형종,0,정성곤,0
0,1,0,0,0,1,1,0,0,1,0,1 이형종,0,정성곤,0
0,0,1,0,1,0,0,1,1,0,0,1 이형종,0,심재민,-1
1,0,0,1,0,0,0,1,1,0,0,1 이형종,0,고영표,-1
1,0,0,1,0,0,0,1,1,0,0,1 이형종,0,고영표,-1
0,1,0,1,0,0,0,1,1,0,0,1 이형종,0,고영표,-1
0,0,1,0,0,1,0,1,1,0,0,1 이형종,0,고영표,-1
1,0,0,1,0,0,0,1,1,0,0,1 이형종,0,로치,-1
1,0,0,1,0,0,0,1,1,0,0,1 이형종,0,로치,-1
0,1,0,0,1,0,0,1,1,0,0,1 이형종,0,로치,-1
0,1,0,0,1,0,1,0,1,0,0,1 이형종,0,심재민,-1
1,0,0,1,0,0,0,1,1,0,0,1 이형종,0,최금강,-1
1,0,0,0,1,0,0,1,1,0,0,1 이형종,0,최금강,-1
0,1,0,0,1,0,1,0,1,0,0,1 이형종,0,최금강,-1
0,0,1,1,0,0,0,1,1,0,0,1 이형종,0,원종현,1
1,0,0,1,0,0,0,1,0,1,0,1 이형종,0,구창모,2
1,0,0,0,1,0,0,1,1,0,0,1 이형종,0,구창모,2
1,0,0,0,0,1,1,0,0,0,1,1 이형종,0,장현식,2
0,1,0,0,1,0,1,0,1,0,0,1 이형종,0,장현식,2
1,0,0,1,0,0,0,1,1,0,0,1 이형종,0,이민호,2
1,0,0,0,0,1,1,0,1,0,0,1 이형종,0,이민호,2
0,1,0,0,0,1,0,1,1,0,0,1 이형종,0,이민호,2
0,0,1,0,0,1,0,1,0,0,1,1 이형종,0,김진성,2
1,0,0,1,0,0,0,1,0,0,1,1 이형종,0,장원준,2
1,0,0,1,0,0,0,1,1,0,0,1 이형종,0,장원준,2
0,1,0,0,0,1,1,0,1,0,0,1 이형종,0,장원준,2
0,0,1,0,1,0,0,1,1,0,0,1 이형종,0,김강률,2
0,0,1,0,0,1,0,1,1,0,0,1 이형종,0,이현승,2
1,0,0,1,0,0,0,1,1,0,0,1 이형종,0,함덕주,1
1,0,0,0,1,0,1,0,1,0,0,1 이형종,0,함덕주,1
0,0,1,1,0,0,0,1,0,1,0,7 이형종,0,이현호,0
0,0,1,0,1,0,1,0,1,0,0,7 이형종,0,심창민,-1
1,0,0,0,1,0,1,0,1,0,0,3 이형종,0,이태양,0
1,0,0,0,0,1,0,1,1,0,0,3 이형종,0,이태양,0
0,1,0,1,0,0,1,0,1,0,0,3 이형종,0,송창식,0
0,0,1,0,0,1,0,1,0,0,1,3 이형종,0,안영명,2
1,0,0,0,0,1,1,0,0,1,0,7 이형종,0,윤규진,2
0,1,0,1,0,0,0,1,1,0,0,7 이형종,0,윤규진,2
0,1,0,0,1,0,0,1,1,0,0,7 이형종,0,송창식,0
0,0,1,1,0,0,0,1,1,0,0,2 이형종,0,홍건희,0
0,0,1,1,0,0,0,1,1,0,0,2 이형종,0,임창용,-1
1,0,0,1,0,0,0,1,1,0,0,1 이형종,0,팻딘,-1
1,0,0,0,0,1,1,0,1,0,0,1 이형종,0,팻딘,-1
0,1,0,0,1,0,0,1,1,0,0,1 이형종,0,팻딘,-1
0,0,1,0,0,1,0,1,1,0,0,1 이형종,0,박지훈,3
