1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,1,0,1,0,1,0,0,9 장시윤,-1,유희관,4
0,1,0,0,1,0,0,1,0,0,1,9 장시윤,-1,유희관,4
0,1,0,0,1,0,1,0,1,0,0,9 장시윤,-1,이현호,5
0,0,1,1,0,0,0,1,0,1,0,9 장시윤,-1,오현택,3
0,0,1,0,0,1,1,0,1,0,0,9 장시윤,-1,김강률,3
0,0,1,0,0,1,0,1,1,0,0,9 장시윤,-1,정재훈,-1
0,0,1,0,0,1,0,1,1,0,0,5 장시윤,-1,오현택,3
1,0,0,0,1,0,0,1,0,0,1,8 장시윤,-1,헥터,-1
0,1,0,0,0,1,0,1,0,0,1,8 장시윤,-1,헥터,-1
0,1,0,0,1,0,1,0,0,0,1,8 장시윤,-1,헥터,-1
0,0,1,0,0,1,0,1,1,0,0,8 장시윤,-1,심동섭,-1
0,0,1,0,1,0,0,1,1,0,0,7 장시윤,-1,류희운,5
0,0,1,0,0,1,0,1,1,0,0,5 장시윤,-1,김성재,-1
0,0,1,0,1,0,1,0,0,1,0,1 장시윤,-1,고봉재,-1
0,0,1,0,1,0,0,1,1,0,0,7 장시윤,-1,박준표,5
1,0,0,1,0,0,1,0,1,0,0,9 장시윤,-1,루카스,-1
0,1,0,0,0,1,0,1,1,0,0,9 장시윤,-1,루카스,-1
0,1,0,0,0,1,0,1,1,0,0,9 장시윤,-1,신승현,-1
0,0,1,0,1,0,0,1,1,0,0,9 장시윤,-1,김지용,5
1,0,0,1,0,0,1,0,1,0,0,9 장시윤,-1,류제국,1
1,0,0,0,0,1,0,1,0,1,0,9 장시윤,-1,류제국,1
0,1,0,1,0,0,1,0,1,0,0,9 장시윤,-1,유원상,2
1,0,0,0,1,0,0,1,0,1,0,9 장시윤,-1,송은범,4
0,1,0,0,0,1,0,1,1,0,0,9 장시윤,-1,박성호,-1
1,0,0,1,0,0,0,1,1,0,0,9 장시윤,-1,탈보트,-1
1,0,0,1,0,0,0,1,0,1,0,9 장시윤,-1,채병용,4
0,1,0,0,1,0,0,1,0,1,0,9 장시윤,-1,전유수,3
0,1,0,0,1,0,0,1,1,0,0,9 장시윤,-1,박민호,6
1,0,0,0,0,1,0,1,1,0,0,9 장시윤,-1,박종훈,1
0,1,0,0,1,0,1,0,1,0,0,9 장시윤,-1,박종훈,1
0,0,1,0,1,0,1,0,1,0,0,8 장시윤,-1,송창식,2
0,0,1,1,0,0,1,0,0,1,0,8 장시윤,-1,송은범,4
1,0,0,1,0,0,0,1,0,1,0,8 장시윤,-1,저마노,-1
0,1,0,1,0,0,0,1,1,0,0,8 장시윤,-1,저마노,-1
1,0,0,0,0,1,0,1,1,0,0,8 장시윤,-1,박종훈,1
0,1,0,0,0,1,0,1,0,1,0,8 장시윤,-1,박종훈,1
0,1,0,0,0,1,1,0,1,0,0,8 장시윤,-1,채병용,4
0,0,1,1,0,0,1,0,1,0,0,8 장시윤,-1,박희수,3
1,0,0,0,1,0,0,1,1,0,0,8 장시윤,-1,스튜어트,-1
0,1,0,1,0,0,0,1,1,0,0,8 장시윤,-1,스튜어트,-1
1,0,0,0,0,1,0,1,0,1,0,8 장시윤,-1,탈보트,-1
1,0,0,0,1,0,0,1,1,0,0,8 장시윤,-1,탈보트,-1
1,0,0,0,1,0,1,0,1,0,0,8 장시윤,-1,배장호,3
0,1,0,0,1,0,0,1,1,0,0,8 장시윤,-1,배장호,3
1,0,0,0,1,0,0,1,1,0,0,8 장시윤,-1,피가로,-1
