1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,0,0,1,1 Àü¹Î¼ö,2,¹®½Â¿ø,0
1,0,0,0,1,0,0,1,0,0,1,1 Àü¹Î¼ö,2,¹®½Â¿ø,0
0,1,0,1,0,0,0,1,1,0,0,1 Àü¹Î¼ö,2,¹®½Â¿ø,0
0,1,0,0,1,0,1,0,1,0,0,1 Àü¹Î¼ö,2,¹ÚÈñ¼ö,4
0,0,1,1,0,0,0,1,1,0,0,1 Àü¹Î¼ö,2,ÀÓÁØÇõ,-1
0,0,1,0,0,1,0,1,1,0,0,1 Àü¹Î¼ö,2,±è¼º¹Î,2
0,0,1,0,1,0,0,1,1,0,0,9 Àü¹Î¼ö,2,±è½ÂÈ¸,2
1,0,0,0,1,0,0,1,0,0,1,2 Àü¹Î¼ö,2,¿ì±Ô¹Î,1
1,0,0,1,0,0,1,0,1,0,0,2 Àü¹Î¼ö,2,¿ì±Ô¹Î,1
0,1,0,1,0,0,0,1,1,0,0,2 Àü¹Î¼ö,2,¿ì±Ô¹Î,1
0,0,1,0,1,0,0,1,1,0,0,2 Àü¹Î¼ö,2,¹éÁ¤Çö,0
1,0,0,1,0,0,1,0,1,0,0,2 Àü¹Î¼ö,2,À±¼ºÈ¯,1
1,0,0,0,1,0,0,1,1,0,0,2 Àü¹Î¼ö,2,À±¼ºÈ¯,1
0,1,0,1,0,0,0,1,1,0,0,2 Àü¹Î¼ö,2,À±¼ºÈ¯,1
0,0,1,0,1,0,0,1,1,0,0,2 Àü¹Î¼ö,2,¸¶Á¤±æ,-1
0,0,1,0,1,0,0,1,1,0,0,2 Àü¹Î¼ö,2,±è»ó¼ö,0
0,0,1,0,0,1,0,1,1,0,0,2 Àü¹Î¼ö,2,±è¼¼Çö,2
1,0,0,0,1,0,0,1,1,0,0,2 Àü¹Î¼ö,2,¹êÇìÄË,-1
1,0,0,0,0,1,1,0,1,0,0,2 Àü¹Î¼ö,2,¹êÇìÄË,-1
0,1,0,1,0,0,1,0,1,0,0,2 Àü¹Î¼ö,2,¹êÇìÄË,-1
0,0,1,1,0,0,0,1,1,0,0,2 Àü¹Î¼ö,2,¾çÈÆ,-1
0,0,1,0,1,0,1,0,0,1,0,2 Àü¹Î¼ö,2,±è¼¼Çö,2
1,0,0,0,1,0,0,1,0,1,0,2 Àü¹Î¼ö,2,·ùÁ¦±¹,2
1,0,0,1,0,0,0,1,0,1,0,2 Àü¹Î¼ö,2,·ùÁ¦±¹,2
0,1,0,0,1,0,0,1,1,0,0,2 Àü¹Î¼ö,2,·ùÁ¦±¹,2
0,0,1,1,0,0,1,0,1,0,0,2 Àü¹Î¼ö,2,ÁøÇØ¼ö,0
1,0,0,0,1,0,0,1,0,0,1,2 Àü¹Î¼ö,2,ÀÓÂù±Ô,0
1,0,0,0,1,0,1,0,1,0,0,2 Àü¹Î¼ö,2,ÀÓÂù±Ô,0
0,1,0,0,0,1,1,0,1,0,0,2 Àü¹Î¼ö,2,ÀÓÂù±Ô,0
0,0,1,0,0,1,0,1,1,0,0,2 Àü¹Î¼ö,2,ÁøÇØ¼ö,0
0,0,1,0,1,0,1,0,0,1,0,2 Àü¹Î¼ö,2,±è´ëÇö,3
0,1,0,0,1,0,0,1,1,0,0,1 Àü¹Î¼ö,2,°í¿ì¼®,2
0,0,1,0,1,0,0,1,1,0,0,1 Àü¹Î¼ö,2,½ÅÁ¤¶ô,0
1,0,0,1,0,0,1,0,1,0,0,2 Àü¹Î¼ö,2,ÀÓ±â¿µ,0
0,1,0,1,0,0,1,0,1,0,0,2 Àü¹Î¼ö,2,ÀÓ±â¿µ,0
0,0,1,0,0,1,0,1,0,1,0,2 Àü¹Î¼ö,2,¼Õ¿µ¹Î,-1
0,1,0,1,0,0,0,1,1,0,0,4 Àü¹Î¼ö,2,ÇíÅÍ,-1
0,1,0,0,1,0,1,0,1,0,0,4 Àü¹Î¼ö,2,ÇíÅÍ,-1
0,0,1,1,0,0,0,1,0,0,1,4 Àü¹Î¼ö,2,ÀÓÃ¢¿ë,-1
1,0,0,0,1,0,0,1,1,0,0,2 Àü¹Î¼ö,2,¹è¿µ¼ö,2
1,0,0,0,1,0,1,0,1,0,0,2 Àü¹Î¼ö,2,¹è¿µ¼ö,2
0,1,0,0,0,1,0,1,1,0,0,2 Àü¹Î¼ö,2,¹è¿µ¼ö,2
0,0,1,0,0,1,0,1,0,1,0,2 Àü¹Î¼ö,2,½É¼öÃ¢,0
0,0,1,1,0,0,1,0,1,0,0,6 Àü¹Î¼ö,2,¾ÖµðÆ°,-1
1,0,0,0,0,1,0,1,1,0,0,9 Àü¹Î¼ö,2,¼Û½ÂÁØ,2
0,1,0,0,0,1,1,0,0,1,0,9 Àü¹Î¼ö,2,¼Û½ÂÁØ,2
1,0,0,0,1,0,0,1,0,1,0,2 Àü¹Î¼ö,2,³ë°æÀº,-1
