1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,1,0,0,1,1,0,0,5 정주현,4,서진용,2
0,0,1,0,1,0,0,1,1,0,0,9 정주현,4,박희수,4
1,0,0,0,1,0,0,1,1,0,0,2 정주현,4,구창모,2
1,0,0,0,0,1,0,1,1,0,0,2 정주현,4,구창모,2
0,1,0,0,0,1,0,1,1,0,0,2 정주현,4,김진성,2
0,0,1,0,1,0,1,0,1,0,0,1 정주현,4,이민호,2
0,0,1,1,0,0,1,0,1,0,0,3 정주현,4,윤근영,0
0,0,1,0,1,0,0,1,1,0,0,3 정주현,4,이상화,0
0,0,1,0,0,1,0,1,1,0,0,1 정주현,4,김윤동,2
1,0,0,1,0,0,1,0,1,0,0,2 정주현,4,송은범,2
1,0,0,1,0,0,1,0,1,0,0,2 정주현,4,송은범,2
0,1,0,0,0,1,0,1,1,0,0,2 정주현,4,박정진,-1
0,0,1,1,0,0,0,1,1,0,0,2 정주현,4,권혁,1
0,0,1,0,0,1,0,1,1,0,0,2 정주현,4,정우람,4
1,0,0,0,1,0,0,1,0,0,1,2 정주현,4,김재영,0
1,0,0,0,0,1,1,0,0,0,1,2 정주현,4,김용주,3
0,1,0,1,0,0,0,1,1,0,0,2 정주현,4,장민재,0
0,1,0,0,1,0,0,1,0,1,0,2 정주현,4,송창식,0
0,0,1,1,0,0,0,1,0,1,0,2 정주현,4,권혁,1
0,0,1,0,0,1,0,1,1,0,0,2 정주현,4,이재우,-1
1,0,0,0,1,0,0,1,1,0,0,2 정주현,4,윤석민,1
1,0,0,1,0,0,1,0,1,0,0,2 정주현,4,윤석민,1
0,1,0,0,0,1,0,1,0,1,0,2 정주현,4,윤석민,1
0,0,1,0,1,0,0,1,0,1,0,2 정주현,4,최영필,-1
1,0,0,0,1,0,0,1,0,0,1,2 정주현,4,지크,-1
1,0,0,1,0,0,0,1,1,0,0,2 정주현,4,지크,-1
0,1,0,1,0,0,0,1,0,0,1,2 정주현,4,지크,-1
0,1,0,0,0,1,0,1,1,0,0,2 정주현,4,심동섭,-1
0,0,1,0,0,1,0,1,1,0,0,2 정주현,4,김윤동,2
1,0,0,1,0,0,0,1,1,0,0,1 정주현,4,켈리,4
0,1,0,1,0,0,0,1,1,0,0,1 정주현,4,켈리,4
0,1,0,0,1,0,0,1,1,0,0,1 정주현,4,켈리,4
0,0,1,0,1,0,0,1,1,0,0,1 정주현,4,켈리,4
1,0,0,1,0,0,0,1,0,1,0,1 정주현,4,박종훈,2
1,0,0,0,1,0,0,1,1,0,0,1 정주현,4,박종훈,2
0,1,0,1,0,0,0,1,1,0,0,1 정주현,4,박종훈,2
0,0,1,1,0,0,0,1,0,1,0,1 정주현,4,채병용,2
0,0,1,0,0,1,0,1,0,0,1,1 정주현,4,박희수,4
1,0,0,1,0,0,0,1,0,1,0,1 정주현,4,세든,-1
1,0,0,0,0,1,1,0,1,0,0,1 정주현,4,세든,-1
0,1,0,1,0,0,1,0,1,0,0,1 정주현,4,세든,-1
0,0,1,0,1,0,0,1,1,0,0,1 정주현,4,김승회,2
0,0,1,0,1,0,1,0,1,0,0,1 정주현,4,박희수,4
1,0,0,1,0,0,0,1,0,0,1,1 정주현,4,김원중,0
