1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,1,0,0,5 채은성,4,밴헤켄,-1
0,1,0,1,0,0,0,1,0,0,1,5 채은성,4,밴헤켄,-1
0,1,0,0,1,0,0,1,1,0,0,5 채은성,4,밴헤켄,-1
0,0,1,1,0,0,0,1,1,0,0,5 채은성,4,김상수,1
1,0,0,0,1,0,0,1,0,1,0,5 채은성,4,신재영,3
0,1,0,0,1,0,0,1,1,0,0,5 채은성,4,신재영,3
0,0,1,1,0,0,1,0,1,0,0,5 채은성,4,신재영,3
0,0,1,0,1,0,0,1,0,1,0,5 채은성,4,이보근,1
0,0,1,0,0,1,0,1,1,0,0,5 채은성,4,김세현,1
1,0,0,0,1,0,1,0,0,1,0,5 채은성,4,장원삼,0
1,0,0,0,1,0,1,0,1,0,0,5 채은성,4,장원삼,0
0,1,0,0,1,0,0,1,0,1,0,5 채은성,4,권오준,1
0,1,0,1,0,0,0,1,1,0,0,5 채은성,4,이승현,5
1,0,0,0,0,1,1,0,1,0,0,5 채은성,4,페트릭,-1
0,1,0,0,1,0,0,1,0,1,0,5 채은성,4,페트릭,-1
0,1,0,1,0,0,1,0,1,0,0,5 채은성,4,페트릭,-1
0,0,1,1,0,0,1,0,1,0,0,5 채은성,4,이승현,5
1,0,0,0,0,1,0,1,1,0,0,5 채은성,4,김원중,3
0,1,0,0,0,1,0,1,0,1,0,5 채은성,4,김원중,3
0,1,0,0,0,1,0,1,1,0,0,5 채은성,4,김원중,3
0,0,1,1,0,0,0,1,1,0,0,5 채은성,4,송승준,0
1,0,0,0,0,1,1,0,0,1,0,5 채은성,4,박진형,5
0,1,0,0,1,0,0,1,1,0,0,5 채은성,4,박진형,5
0,1,0,0,1,0,0,1,1,0,0,5 채은성,4,송승준,0
0,0,1,1,0,0,0,1,1,0,0,5 채은성,4,박시영,5
0,0,1,0,1,0,1,0,1,0,0,5 채은성,4,이정민,-1
1,0,0,0,1,0,0,1,1,0,0,5 채은성,4,애디튼,-1
0,1,0,0,0,1,0,1,0,1,0,5 채은성,4,애디튼,-1
0,1,0,0,0,1,0,1,0,1,0,5 채은성,4,배장호,3
1,0,0,0,1,0,1,0,1,0,0,5 채은성,4,장현식,3
1,0,0,0,0,1,1,0,1,0,0,5 채은성,4,장현식,3
0,1,0,0,0,1,0,1,0,1,0,5 채은성,4,장현식,3
0,1,0,0,0,1,1,0,1,0,0,5 채은성,4,김진성,3
0,0,1,0,0,1,1,0,1,0,0,5 채은성,4,원종현,3
1,0,0,1,0,0,0,1,1,0,0,5 채은성,4,해커,2
0,1,0,1,0,0,0,1,1,0,0,5 채은성,4,해커,2
0,0,1,0,0,1,0,1,0,0,1,5 채은성,4,해커,2
0,0,1,1,0,0,1,0,1,0,0,5 채은성,4,원종현,3
1,0,0,1,0,0,0,1,1,0,0,5 채은성,4,맨쉽,6
0,1,0,0,0,1,1,0,0,1,0,5 채은성,4,맨쉽,6
0,1,0,0,1,0,0,1,1,0,0,5 채은성,4,맨쉽,6
0,0,1,1,0,0,0,1,0,1,0,5 채은성,4,임창민,3
1,0,0,0,0,1,0,1,1,0,0,5 채은성,4,정대현,-1
