1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,1,0,0,0,1,1,0,0,8 김동한,1,이현승,2
1,0,0,0,1,0,0,1,0,0,1,7 김동한,1,장원준,0
1,0,0,0,1,0,0,1,1,0,0,7 김동한,1,장원준,0
0,1,0,0,1,0,1,0,1,0,0,7 김동한,1,장원준,0
0,0,1,1,0,0,0,1,1,0,0,7 김동한,1,김성배,-1
0,0,1,0,0,1,0,1,0,0,1,7 김동한,1,이현승,2
1,0,0,1,0,0,1,0,0,1,0,2 김동한,1,함덕주,3
1,0,0,0,0,1,1,0,1,0,0,2 김동한,1,함덕주,3
0,1,0,0,1,0,1,0,1,0,0,2 김동한,1,함덕주,3
0,0,1,1,0,0,0,1,0,1,0,2 김동한,1,김승회,2
0,0,1,1,0,0,1,0,1,0,0,2 김동한,1,박치국,6
1,0,0,0,1,0,0,1,0,1,0,2 김동한,1,정대현,-1
1,0,0,0,1,0,0,1,0,1,0,2 김동한,1,정대현,-1
0,1,0,1,0,0,1,0,1,0,0,2 김동한,1,정대현,-1
0,1,0,0,1,0,1,0,1,0,0,2 김동한,1,배우열,6
0,0,1,1,0,0,0,1,1,0,0,2 김동한,1,홍성용,-1
1,0,0,0,1,0,0,1,0,1,0,2 김동한,1,피어밴드,1
1,0,0,1,0,0,0,1,1,0,0,2 김동한,1,피어밴드,1
0,1,0,0,0,1,1,0,0,0,1,2 김동한,1,피어밴드,1
0,1,0,0,0,1,0,1,1,0,0,2 김동한,1,피어밴드,1
0,0,1,0,1,0,0,1,1,0,0,2 김동한,1,이상화,5
1,0,0,0,1,0,0,1,1,0,0,2 김동한,1,류희운,5
1,0,0,0,0,1,0,1,1,0,0,2 김동한,1,류희운,5
0,1,0,1,0,0,0,1,1,0,0,2 김동한,1,배우열,6
0,0,1,0,0,1,1,0,1,0,0,2 김동한,1,홍성용,-1
1,0,0,1,0,0,1,0,1,0,0,2 김동한,1,팻딘,-1
1,0,0,1,0,0,1,0,1,0,0,2 김동한,1,팻딘,-1
0,1,0,1,0,0,0,1,1,0,0,2 김동한,1,팻딘,-1
0,0,1,1,0,0,1,0,1,0,0,2 김동한,1,김윤동,5
0,0,1,0,0,1,1,0,1,0,0,2 김동한,1,김윤동,5
1,0,0,0,0,1,1,0,1,0,0,8 김동한,1,임기영,3
0,1,0,0,1,0,0,1,0,1,0,8 김동한,1,임기영,3
0,0,1,0,0,1,0,1,1,0,0,8 김동한,1,임기영,3
1,0,0,0,0,1,0,1,1,0,0,8 김동한,1,헥터,-1
0,1,0,0,1,0,0,1,1,0,0,8 김동한,1,헥터,-1
0,1,0,0,0,1,0,1,1,0,0,8 김동한,1,헥터,-1
0,0,1,1,0,0,0,1,1,0,0,8 김동한,1,김윤동,5
1,0,0,1,0,0,0,1,1,0,0,7 김동한,1,배영수,0
0,1,0,0,1,0,0,1,0,1,0,7 김동한,1,배영수,0
0,1,0,0,0,1,0,1,1,0,0,7 김동한,1,송창식,2
1,0,0,0,1,0,0,1,0,1,0,7 김동한,1,유희관,4
0,1,0,0,1,0,0,1,1,0,0,7 김동한,1,유희관,4
0,1,0,0,0,1,1,0,1,0,0,7 김동한,1,유희관,4
0,0,1,0,0,1,0,1,1,0,0,7 김동한,1,김강률,3
1,0,0,0,1,0,0,1,1,0,0,7 김동한,1,피어밴드,1
0,1,0,1,0,0,0,1,0,1,0,7 김동한,1,피어밴드,1
0,1,0,0,0,1,0,1,1,0,0,7 김동한,1,피어밴드,1
1,0,0,1,0,0,0,1,0,1,0,9 김동한,1,주권,3
0,1,0,0,1,0,0,1,1,0,0,9 김동한,1,주권,3
0,1,0,0,0,1,1,0,1,0,0,9 김동한,1,엄상백,3
1,0,0,0,0,1,1,0,1,0,0,9 김동한,1,로치,-1
0,1,0,0,1,0,1,0,1,0,0,9 김동한,1,로치,-1
0,1,0,1,0,0,1,0,1,0,0,9 김동한,1,배우열,6
0,0,1,0,1,0,0,1,0,1,0,9 김동한,1,배우열,6
1,0,0,1,0,0,1,0,1,0,0,2 김동한,1,허프,-1
0,1,0,1,0,0,0,1,1,0,0,2 김동한,1,허프,-1
