1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,1,0,0,7 김문호,2,맨쉽,1
0,1,0,0,1,0,0,1,1,0,0,7 김문호,2,맨쉽,1
0,0,1,1,0,0,0,1,0,1,0,7 김문호,2,원종현,1
0,0,1,0,1,0,1,0,1,0,0,7 김문호,2,임창민,1
1,0,0,0,0,1,1,0,0,0,1,5 김문호,2,이재학,2
1,0,0,1,0,0,0,1,1,0,0,5 김문호,2,이재학,2
0,1,0,0,0,1,1,0,1,0,0,5 김문호,2,장현식,2
0,0,1,0,1,0,0,1,1,0,0,5 김문호,2,장현식,2
1,0,0,1,0,0,0,1,1,0,0,7 김문호,2,구창모,2
0,1,0,0,1,0,1,0,0,1,0,7 김문호,2,구창모,2
0,1,0,1,0,0,0,1,1,0,0,7 김문호,2,김진성,2
0,0,1,0,0,1,0,1,1,0,0,7 김문호,2,윤수호,0
0,0,1,0,1,0,1,0,0,0,1,7 김문호,2,최성영,0
1,0,0,0,0,1,0,1,1,0,0,7 김문호,2,최원태,1
0,1,0,1,0,0,0,1,1,0,0,7 김문호,2,최원태,1
0,0,1,1,0,0,0,1,1,0,0,7 김문호,2,한현희,2
0,0,1,0,1,0,1,0,1,0,0,7 김문호,2,신정락,0
1,0,0,1,0,0,1,0,1,0,0,2 김문호,2,박종훈,2
1,0,0,0,0,1,1,0,1,0,0,2 김문호,2,박종훈,2
0,1,0,0,0,1,0,1,1,0,0,2 김문호,2,박종훈,2
0,1,0,0,0,1,1,0,0,0,1,2 김문호,2,문광은,3
0,0,1,0,0,1,1,0,0,0,1,2 김문호,2,임준혁,-1
1,0,0,0,1,0,0,1,1,0,0,2 김문호,2,켈리,4
0,1,0,1,0,0,0,1,1,0,0,2 김문호,2,켈리,4
0,1,0,0,1,0,0,1,1,0,0,2 김문호,2,켈리,4
0,0,1,0,0,1,1,0,1,0,0,2 김문호,2,켈리,4
0,0,1,1,0,0,0,1,1,0,0,2 김문호,2,채병용,2
0,0,1,0,0,1,0,1,0,1,0,2 김문호,2,박희수,4
1,0,0,0,0,1,0,1,0,1,0,7 김문호,2,김주한,2
0,1,0,1,0,0,1,0,0,1,0,7 김문호,2,김주한,2
0,1,0,0,1,0,0,1,0,1,0,7 김문호,2,문광은,3
0,0,1,1,0,0,0,1,1,0,0,7 김문호,2,박정배,2
1,0,0,1,0,0,0,1,1,0,0,1 김문호,2,윤성환,1
1,0,0,0,1,0,0,1,1,0,0,1 김문호,2,윤성환,1
0,1,0,0,0,1,1,0,1,0,0,1 김문호,2,윤성환,1
0,0,1,0,1,0,0,1,0,1,0,1 김문호,2,윤성환,1
0,0,1,0,1,0,1,0,1,0,0,1 김문호,2,권오준,1
1,0,0,1,0,0,0,1,0,1,0,1 김문호,2,최충연,0
1,0,0,1,0,0,0,1,1,0,0,1 김문호,2,최충연,0
0,1,0,0,0,1,0,1,1,0,0,1 김문호,2,최충연,0
0,1,0,0,1,0,0,1,0,0,1,1 김문호,2,백정현,0
0,0,1,1,0,0,0,1,0,0,1,1 김문호,2,이승현,2
1,0,0,1,0,0,0,1,1,0,0,1 김문호,2,장원삼,2
0,1,0,1,0,0,0,1,0,1,0,1 김문호,2,장원삼,2
0,1,0,0,1,0,0,1,0,1,0,1 김문호,2,장원삼,2
0,0,1,0,1,0,1,0,0,1,0,1 김문호,2,장필준,1
1,0,0,1,0,0,0,1,0,1,0,1 김문호,2,해커,1
1,0,0,0,1,0,1,0,0,0,1,1 김문호,2,해커,1
0,1,0,0,1,0,0,1,1,0,0,1 김문호,2,해커,1
0,1,0,0,1,0,0,1,1,0,0,1 김문호,2,김진성,2
0,0,1,0,0,1,1,0,1,0,0,1 김문호,2,임정호,-1
1,0,0,1,0,0,0,1,1,0,0,1 김문호,2,맨쉽,1
1,0,0,0,1,0,0,1,0,0,1,1 김문호,2,맨쉽,1
0,1,0,1,0,0,0,1,0,1,0,1 김문호,2,맨쉽,1
0,0,1,0,0,1,1,0,1,0,0,1 김문호,2,원종현,1
0,0,1,0,0,1,0,1,1,0,0,1 김문호,2,윤수호,0
1,0,0,1,0,0,0,1,0,0,1,1 김문호,2,최금강,-1
1,0,0,0,1,0,0,1,1,0,0,1 김문호,2,최금강,-1
0,1,0,0,1,0,1,0,0,1,0,1 김문호,2,최금강,-1
0,0,1,0,1,0,0,1,0,0,1,1 김문호,2,임정호,-1
0,0,1,1,0,0,0,1,1,0,0,1 김문호,2,임창민,1
1,0,0,1,0,0,0,1,1,0,0,1 김문호,2,최원태,1
1,0,0,0,0,1,0,1,1,0,0,1 김문호,2,최원태,1
0,1,0,0,1,0,0,1,1,0,0,1 김문호,2,최원태,1
0,0,1,1,0,0,0,1,1,0,0,1 김문호,2,금민철,2
1,0,0,1,0,0,0,1,0,1,0,7 김문호,2,조상우,4
0,1,0,0,0,1,1,0,1,0,0,7 김문호,2,조상우,4
0,0,1,1,0,0,1,0,0,0,1,7 김문호,2,김상수,0
0,0,1,1,0,0,0,1,0,1,0,7 김문호,2,양훈,-1
1,0,0,0,1,0,0,1,1,0,0,6 김문호,2,비야누에바,-1
0,1,0,1,0,0,0,1,1,0,0,6 김문호,2,비야누에바,-1
0,1,0,0,1,0,1,0,1,0,0,6 김문호,2,비야누에바,-1
0,0,1,0,1,0,1,0,1,0,0,6 김문호,2,정우람,4
1,0,0,0,0,1,1,0,0,1,0,6 김문호,2,안영명,2
0,1,0,1,0,0,0,1,0,1,0,6 김문호,2,안영명,2
0,1,0,0,0,1,1,0,1,0,0,6 김문호,2,장민재,0
0,0,1,0,1,0,0,1,1,0,0,6 김문호,2,권혁,1
1,0,0,0,0,1,0,1,0,1,0,6 김문호,2,배영수,2
0,1,0,0,0,1,0,1,0,1,0,6 김문호,2,배영수,2
0,1,0,0,0,1,0,1,1,0,0,6 김문호,2,송창식,0
1,0,0,1,0,0,0,1,1,0,0,6 김문호,2,니퍼트,1
0,1,0,1,0,0,0,1,1,0,0,6 김문호,2,니퍼트,1
0,1,0,0,1,0,1,0,1,0,0,6 김문호,2,니퍼트,1
0,0,1,1,0,0,0,1,0,0,1,6 김문호,2,이용찬,1
1,0,0,1,0,0,0,1,1,0,0,1 김문호,2,장원준,2
1,0,0,0,0,1,0,1,0,1,0,1 김문호,2,장원준,2
0,1,0,0,1,0,0,1,1,0,0,1 김문호,2,장원준,2
0,1,0,1,0,0,0,1,0,0,1,1 김문호,2,김강률,2
0,0,1,0,0,1,1,0,1,0,0,1 김문호,2,이현호,0
1,0,0,0,1,0,0,1,1,0,0,6 김문호,2,함덕주,1
0,1,0,1,0,0,0,1,1,0,0,6 김문호,2,함덕주,1
0,1,0,0,0,1,0,1,0,1,0,6 김문호,2,함덕주,1
0,0,1,0,0,1,0,1,0,1,0,6 김문호,2,김승회,2
0,0,1,0,0,1,0,1,1,0,0,6 김문호,2,박치국,2
1,0,0,0,1,0,0,1,1,0,0,6 김문호,2,정대현,-1
0,1,0,1,0,0,0,1,1,0,0,6 김문호,2,정대현,-1
0,1,0,0,0,1,0,1,1,0,0,6 김문호,2,정대현,-1
0,0,1,1,0,0,1,0,0,1,0,6 김문호,2,배우열,0
0,0,1,1,0,0,1,0,0,1,0,6 김문호,2,배제성,0
1,0,0,0,1,0,1,0,1,0,0,6 김문호,2,피어밴드,1
1,0,0,0,1,0,1,0,0,1,0,6 김문호,2,피어밴드,1
0,1,0,0,0,1,0,1,1,0,0,6 김문호,2,피어밴드,1
0,0,1,0,0,1,1,0,1,0,0,6 김문호,2,엄상백,0
1,0,0,0,1,0,0,1,1,0,0,7 김문호,2,류희운,3
0,1,0,0,0,1,1,0,0,0,1,7 김문호,2,류희운,3
0,1,0,0,0,1,0,1,1,0,0,7 김문호,2,배우열,0
0,0,1,1,0,0,1,0,0,1,0,7 김문호,2,이상화,0
1,0,0,1,0,0,0,1,1,0,0,6 김문호,2,팻딘,-1
0,1,0,1,0,0,1,0,1,0,0,6 김문호,2,팻딘,-1
0,1,0,1,0,0,0,1,1,0,0,6 김문호,2,팻딘,-1
0,0,1,0,0,1,0,1,1,0,0,6 김문호,2,김윤동,2
0,0,1,0,0,1,1,0,1,0,0,6 김문호,2,임창용,-1
1,0,0,0,1,0,1,0,0,1,0,3 김문호,2,임기영,0
0,1,0,1,0,0,0,1,1,0,0,3 김문호,2,임기영,0
0,1,0,0,1,0,1,0,0,1,0,3 김문호,2,임기영,0
0,0,1,0,0,1,1,0,1,0,0,3 김문호,2,심동섭,-1
1,0,0,1,0,0,0,1,1,0,0,6 김문호,2,헥터,-1
1,0,0,0,0,1,1,0,1,0,0,6 김문호,2,헥터,-1
0,1,0,1,0,0,0,1,0,0,1,6 김문호,2,헥터,-1
0,0,1,0,1,0,0,1,1,0,0,6 김문호,2,김윤동,2
1,0,0,0,0,1,0,1,1,0,0,6 김문호,2,배영수,2
0,1,0,1,0,0,0,1,1,0,0,6 김문호,2,배영수,2
0,1,0,0,1,0,0,1,1,0,0,6 김문호,2,송창식,0
0,0,1,0,0,1,0,1,1,0,0,6 김문호,2,권혁,1
1,0,0,0,0,1,0,1,1,0,0,6 김문호,2,오간도,-1
0,1,0,0,0,1,0,1,0,1,0,6 김문호,2,오간도,-1
0,0,1,0,1,0,1,0,0,1,0,6 김문호,2,오간도,-1
0,0,1,0,0,1,0,1,1,0,0,6 김문호,2,정우람,4
1,0,0,1,0,0,1,0,0,1,0,5 김문호,2,홍상삼,2
1,0,0,1,0,0,1,0,1,0,0,5 김문호,2,함덕주,1
0,1,0,1,0,0,0,1,0,0,1,5 김문호,2,함덕주,1
