1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,1,0,1,0,0,8 ฑ่ป็ศฦ,1,ภฑม๖ฟ๕,2
0,1,0,0,1,0,0,1,1,0,0,8 ฑ่ป็ศฦ,1,ภฑม๖ฟ๕,2
0,1,0,0,0,1,0,1,1,0,0,8 ฑ่ป็ศฦ,1,ฑ่ด๋ว๖,3
1,0,0,0,1,0,0,1,1,0,0,8 ฑ่ป็ศฦ,1,ภำย๙ฑิ,0
0,1,0,1,0,0,0,1,0,0,1,8 ฑ่ป็ศฦ,1,ภำย๙ฑิ,0
0,1,0,0,1,0,1,0,1,0,0,8 ฑ่ป็ศฦ,1,รึตฟศฏ,0
0,0,1,1,0,0,0,1,1,0,0,8 ฑ่ป็ศฦ,1,รึผบศฦ,2
0,0,1,0,0,1,1,0,1,0,0,8 ฑ่ป็ศฦ,1,ฝลมคถ๔,0
1,0,0,0,0,1,1,0,1,0,0,8 ฑ่ป็ศฦ,1,ภฑผบศฏ,1
0,1,0,0,1,0,0,1,0,1,0,8 ฑ่ป็ศฦ,1,ภฑผบศฏ,1
0,0,1,1,0,0,0,1,1,0,0,8 ฑ่ป็ศฦ,1,ภฑผ๖ศฃ,0
1,0,0,1,0,0,0,1,1,0,0,8 ฑ่ป็ศฦ,1,รึฟ๘ลย,1
0,1,0,0,0,1,1,0,1,0,0,8 ฑ่ป็ศฦ,1,รึฟ๘ลย,1
1,0,0,0,1,0,1,0,0,1,0,8 ฑ่ป็ศฦ,1,ภๅฟ๘มุ,2
1,0,0,0,0,1,0,1,1,0,0,8 ฑ่ป็ศฦ,1,ภๅฟ๘มุ,2
1,0,0,1,0,0,1,0,1,0,0,9 ฑ่ป็ศฦ,1,วิด๖มึ,1
0,1,0,1,0,0,0,1,1,0,0,9 ฑ่ป็ศฦ,1,วิด๖มึ,1
0,0,1,0,1,0,0,1,1,0,0,9 ฑ่ป็ศฦ,1,ฑ่ฝยศธ,2
0,0,1,0,0,1,1,0,1,0,0,9 ฑ่ป็ศฦ,1,ภฬว๖ศฃ,0
1,0,0,0,1,0,1,0,1,0,0,8 ฑ่ป็ศฦ,1,ฦึต๒,-1
0,1,0,0,0,1,1,0,1,0,0,8 ฑ่ป็ศฦ,1,ฦึต๒,-1
0,1,0,0,1,0,1,0,1,0,0,8 ฑ่ป็ศฦ,1,ฦึต๒,-1
0,0,1,1,0,0,0,1,1,0,0,8 ฑ่ป็ศฦ,1,ฑ่ภฑตฟ,2
0,1,0,0,1,0,0,1,1,0,0,5 ฑ่ป็ศฦ,1,ภฏศ๑ฐü,2
0,0,1,0,1,0,1,0,0,1,0,5 ฑ่ป็ศฦ,1,ฑ่ฐญทü,2
1,0,0,0,1,0,0,1,1,0,0,9 ฑ่ป็ศฦ,1,วใวม,-1
0,1,0,0,0,1,1,0,0,1,0,9 ฑ่ป็ศฦ,1,วใวม,-1
0,1,0,0,0,1,0,1,1,0,0,9 ฑ่ป็ศฦ,1,วใวม,-1
1,0,0,0,1,0,1,0,1,0,0,9 ฑ่ป็ศฦ,1,ภำย๙ฑิ,0
0,0,1,0,1,0,0,1,1,0,0,5 ฑ่ป็ศฦ,1,วใฐวฟฑ,-1
1,0,0,1,0,0,1,0,1,0,0,9 ฑ่ป็ศฦ,1,พ็ว๖มพ,1
0,1,0,1,0,0,0,1,1,0,0,9 ฑ่ป็ศฦ,1,พ็ว๖มพ,1
0,1,0,0,1,0,0,1,1,0,0,9 ฑ่ป็ศฦ,1,วัฝยว๕,0
0,0,1,0,0,1,0,1,1,0,0,9 ฑ่ป็ศฦ,1,วัฝยว๕,0
0,0,1,0,1,0,1,0,1,0,0,6 ฑ่ป็ศฦ,1,ศซฐวศ๑,0
0,0,1,0,0,1,0,1,0,0,1,6 ฑ่ป็ศฦ,1,ภฬฝยว๖,2
1,0,0,0,1,0,1,0,1,0,0,9 ฑ่ป็ศฦ,1,ฟ์ฑินฮ,1
0,1,0,0,0,1,0,1,1,0,0,9 ฑ่ป็ศฦ,1,ฟ์ฑินฮ,1
0,0,1,1,0,0,0,1,1,0,0,9 ฑ่ป็ศฦ,1,รึรๆฟฌ,0
0,0,1,1,0,0,0,1,1,0,0,6 ฑ่ป็ศฦ,1,ศซผบนซ,0
0,0,1,0,1,0,1,0,1,0,0,6 ฑ่ป็ศฦ,1,ฑ่ม๘ผบ,2
0,1,0,0,1,0,0,1,0,1,0,6 ฑ่ป็ศฦ,1,ฑธรขธ๐,2
0,0,1,0,1,0,0,1,0,1,0,6 ฑ่ป็ศฦ,1,ฑธรขธ๐,2
0,0,1,0,0,1,1,0,1,0,0,6 ฑ่ป็ศฦ,1,รึผบฟต,0
1,0,0,0,1,0,1,0,1,0,0,9 ฑ่ป็ศฦ,1,วิด๖มึ,1
0,1,0,0,0,1,1,0,1,0,0,9 ฑ่ป็ศฦ,1,วิด๖มึ,1
0,0,1,0,0,1,0,1,0,0,1,9 ฑ่ป็ศฦ,1,วิด๖มึ,1
1,0,0,0,0,1,0,1,1,0,0,8 ฑ่ป็ศฦ,1,บ๊ธฎฐห,1
0,1,0,0,1,0,1,0,0,1,0,8 ฑ่ป็ศฦ,1,บ๊ธฎฐห,1
0,0,1,0,0,1,0,1,0,0,1,5 ฑ่ป็ศฦ,1,นฺฝยมึ,-1
1,0,0,1,0,0,0,1,1,0,0,9 ฑ่ป็ศฦ,1,ภๅฟ๘มุ,2
0,1,0,0,0,1,1,0,1,0,0,9 ฑ่ป็ศฦ,1,ภๅฟ๘มุ,2
