1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,1,0,1,0,0,1,0,6 ฑ่มุลย,4,ทฮภ๚ฝบ,-1
0,0,1,0,0,1,0,1,1,0,0,6 ฑ่มุลย,4,ทฮภ๚ฝบ,-1
0,0,1,0,0,1,0,1,0,1,0,9 ฑ่มุลย,4,ฟ๘มพว๖,1
0,0,1,1,0,0,1,0,0,1,0,9 ฑ่มุลย,4,ฑ่ม๘ผบ,2
0,0,1,0,0,1,1,0,0,0,1,5 ฑ่มุลย,4,ฑ่มึวั,2
0,0,1,0,0,1,0,1,1,0,0,6 ฑ่มุลย,4,ภฬว๖ฝย,2
0,0,1,1,0,0,0,1,1,0,0,9 ฑ่มุลย,4,มคภ็ศฦ,-1
1,0,0,1,0,0,0,1,0,1,0,8 ฑ่มุลย,4,รึฟ๘ลย,1
0,1,0,0,0,1,1,0,0,0,1,8 ฑ่มุลย,4,รึฟ๘ลย,1
0,1,0,1,0,0,0,1,1,0,0,8 ฑ่มุลย,4,ธถมคฑๆ,-1
0,0,1,0,1,0,1,0,1,0,0,8 ฑ่มุลย,4,ฑÝนฮรถ,2
1,0,0,0,0,1,0,1,1,0,0,8 ฑ่มุลย,4,นฺมึว๖,-1
0,1,0,1,0,0,0,1,0,1,0,8 ฑ่มุลย,4,นฺมึว๖,-1
0,1,0,0,0,1,1,0,0,1,0,8 ฑ่มุลย,4,มคฟ๋มุ,-1
0,1,0,0,1,0,0,1,1,0,0,8 ฑ่มุลย,4,ฑÝนฮรถ,2
0,0,1,1,0,0,0,1,1,0,0,8 ฑ่มุลย,4,ฑÝนฮรถ,2
1,0,0,1,0,0,0,1,0,1,0,8 ฑ่มุลย,4,ฝลภ็ฟต,2
0,1,0,0,1,0,0,1,1,0,0,8 ฑ่มุลย,4,ฝลภ็ฟต,2
0,0,1,1,0,0,0,1,1,0,0,8 ฑ่มุลย,4,ภฬบธฑู,2
0,0,1,1,0,0,1,0,0,0,1,8 ฑ่มุลย,4,ฑ่ป๓ผ๖,0
0,0,1,1,0,0,0,1,1,0,0,6 ฑ่มุลย,4,ฑ่มึวั,2
0,0,1,0,0,1,1,0,1,0,0,6 ฑ่มุลย,4,นฺศ๑ผ๖,4
0,0,1,0,0,1,1,0,0,0,1,5 ฑ่มุลย,4,ฐ๛มครถ,-1
0,0,1,0,1,0,1,0,1,0,0,5 ฑ่มุลย,4,ฝษตฟผท,-1
1,0,0,1,0,0,0,1,1,0,0,8 ฑ่มุลย,4,พ็ว๖มพ,1
0,1,0,0,0,1,1,0,1,0,0,8 ฑ่มุลย,4,พ็ว๖มพ,1
0,0,1,1,0,0,0,1,1,0,0,8 ฑ่มุลย,4,ฑ่ฑคผ๖,-1
1,0,0,0,1,0,0,1,0,1,0,7 ฑ่มุลย,4,ภฑผบศฏ,1
0,1,0,0,0,1,1,0,1,0,0,7 ฑ่มุลย,4,ภฑผบศฏ,1
0,0,1,1,0,0,1,0,0,0,1,7 ฑ่มุลย,4,ภฑผบศฏ,1
0,0,1,0,1,0,1,0,1,0,0,7 ฑ่มุลย,4,น้มคว๖,0
0,0,1,1,0,0,1,0,1,0,0,7 ฑ่มุลย,4,พศม๖ธธ,-1
1,0,0,0,1,0,1,0,1,0,0,8 ฑ่มุลย,4,ฑ่ฑโลย,-1
0,1,0,0,0,1,0,1,0,0,1,8 ฑ่มุลย,4,ฑ่ฑโลย,-1
0,0,1,1,0,0,0,1,1,0,0,8 ฑ่มุลย,4,ภๅวสมุ,1
0,0,1,1,0,0,0,1,1,0,0,8 ฑ่มุลย,4,ฝษรขนฮ,-1
0,0,1,0,0,1,1,0,0,0,1,8 ฑ่มุลย,4,ฝษรขนฮ,-1
0,0,1,0,0,1,1,0,0,1,0,6 ฑ่มุลย,4,ภำมคศฃ,-1
0,0,1,1,0,0,0,1,1,0,0,7 ฑ่มุลย,4,ฝลฝยว๖,-1
1,0,0,0,0,1,1,0,0,1,0,8 ฑ่มุลย,4,ฟ์ฑินฮ,1
0,1,0,0,0,1,0,1,1,0,0,8 ฑ่มุลย,4,ฟ์ฑินฮ,1
0,0,1,0,1,0,1,0,0,1,0,8 ฑ่มุลย,4,ฟ์ฑินฮ,1
0,0,1,0,0,1,0,1,0,0,1,8 ฑ่มุลย,4,ม๘วุผ๖,0
0,1,0,0,1,0,0,1,1,0,0,5 ฑ่มุลย,4,ย๗ฟ์ย๙,2
0,0,1,0,0,1,0,1,1,0,0,5 ฑ่มุลย,4,ฑ่ด๋ฟ์,0
0,0,1,1,0,0,1,0,1,0,0,2 ฑ่มุลย,4,ฝษรขนฮ,-1
0,0,1,0,0,1,1,0,1,0,0,6 ฑ่มุลย,4,มคตฟว๖,-1
0,0,1,0,0,1,0,1,1,0,0,5 ฑ่มุลย,4,ฤซฝบฦผฟไ,-1
0,0,1,0,1,0,1,0,1,0,0,5 ฑ่มุลย,4,ภฑม๖ฟ๕,2
1,0,0,0,1,0,0,1,1,0,0,8 ฑ่มุลย,4,วใวม,-1
0,1,0,1,0,0,1,0,1,0,0,8 ฑ่มุลย,4,วใวม,-1
0,0,1,0,1,0,0,1,0,0,1,8 ฑ่มุลย,4,ฑ่ม๖ฟ๋,2
0,0,1,0,0,1,1,0,1,0,0,9 ฑ่มุลย,4,ภฬบธฑู,2
0,0,1,1,0,0,0,1,1,0,0,5 ฑ่มุลย,4,ฑ่มคศฦ,-1
1,0,0,0,1,0,0,1,1,0,0,8 ฑ่มุลย,4,ฐํศฟมุ,0
0,1,0,0,1,0,1,0,0,0,1,8 ฑ่มุลย,4,ฐํศฟมุ,0
0,0,1,0,1,0,1,0,0,0,1,8 ฑ่มุลย,4,ฑ่ฑคผ๖,-1
0,0,1,1,0,0,1,0,0,1,0,8 ฑ่มุลย,4,ภำรขฟ๋,-1
0,0,1,0,1,0,1,0,0,0,1,8 ฑ่มุลย,4,ฐ๛มครถ,-1
0,0,1,0,0,1,1,0,0,0,1,8 ฑ่มุลย,4,ภำรขฟ๋,-1
1,0,0,1,0,0,0,1,1,0,0,8 ฑ่มุลย,4,นฺมพศฦ,2
0,1,0,0,0,1,0,1,1,0,0,8 ฑ่มุลย,4,นฺมพศฦ,2
0,0,1,1,0,0,0,1,1,0,0,8 ฑ่มุลย,4,ฑ่ฑคว๖,1
0,0,1,0,0,1,0,1,1,0,0,8 ฑ่มุลย,4,รคบดฟ๋,2
1,0,0,0,0,1,0,1,1,0,0,8 ฑ่มุลย,4,ถ๓ถ๓,-1
0,1,0,1,0,0,0,1,0,0,1,8 ฑ่มุลย,4,ถ๓ถ๓,-1
0,1,0,0,0,1,1,0,1,0,0,8 ฑ่มุลย,4,ถ๓ถ๓,-1
0,0,1,0,1,0,0,1,1,0,0,8 ฑ่มุลย,4,ภüภฏผ๖,0
1,0,0,0,0,1,1,0,0,0,1,8 ฑ่มุลย,4,มึฑว,0
0,1,0,1,0,0,0,1,1,0,0,8 ฑ่มุลย,4,ภฬรขภ็,-1
0,1,0,0,0,1,1,0,1,0,0,8 ฑ่มุลย,4,ภฬป๓ศญ,0
0,1,0,0,0,1,0,1,1,0,0,8 ฑ่มุลย,4,ศซผบฟ๋,-1
1,0,0,1,0,0,0,1,0,1,0,8 ฑ่มุลย,4,ววพ๎น๊ตๅ,1
0,1,0,1,0,0,0,1,1,0,0,8 ฑ่มุลย,4,ววพ๎น๊ตๅ,1
0,0,1,0,1,0,1,0,1,0,0,8 ฑ่มุลย,4,ววพ๎น๊ตๅ,1
1,0,0,0,0,1,0,1,0,1,0,8 ฑ่มุลย,4,ดฯฦÛฦฎ,1
0,1,0,0,1,0,0,1,1,0,0,8 ฑ่มุลย,4,ดฯฦÛฦฎ,1
0,1,0,1,0,0,0,1,0,0,1,8 ฑ่มุลย,4,ดฯฦÛฦฎ,1
1,0,0,1,0,0,0,1,1,0,0,8 ฑ่มุลย,4,ภฑผบศฏ,1
0,1,0,1,0,0,1,0,0,1,0,8 ฑ่มุลย,4,ภฑผบศฏ,1
0,0,1,0,1,0,1,0,1,0,0,8 ฑ่มุลย,4,ภฑผบศฏ,1
1,0,0,0,0,1,0,1,0,0,1,8 ฑ่มุลย,4,ฟ์ฑินฮ,1
0,1,0,1,0,0,0,1,1,0,0,8 ฑ่มุลย,4,ฟ์ฑินฮ,1
0,1,0,0,0,1,1,0,1,0,0,8 ฑ่มุลย,4,ภฑม๖ฟ๕,2
0,0,1,1,0,0,0,1,0,0,1,8 ฑ่มุลย,4,ภฏฟ๘ป๓,0
1,0,0,1,0,0,0,1,0,1,0,8 ฑ่มุลย,4,ภฬฝยว๖,2
1,0,0,0,1,0,0,1,1,0,0,8 ฑ่มุลย,4,บภม฿ฑู,-1
0,1,0,0,0,1,0,1,1,0,0,8 ฑ่มุลย,4,บภม฿ฑู,-1
0,0,1,0,1,0,0,1,1,0,0,8 ฑ่มุลย,4,ภüภฮศฏ,-1
1,0,0,0,0,1,1,0,0,0,1,8 ฑ่มุลย,4,ฝบฦฉพ๎ฦฎ,-1
0,1,0,0,0,1,0,1,1,0,0,8 ฑ่มุลย,4,ฝบฦฉพ๎ฦฎ,-1
0,1,0,0,1,0,1,0,1,0,0,8 ฑ่มุลย,4,ภฬนฮศฃ,2
1,0,0,0,0,1,0,1,1,0,0,8 ฑ่มุลย,4,พ็ว๖มพ,1
0,1,0,0,1,0,0,1,1,0,0,8 ฑ่มุลย,4,พ็ว๖มพ,1
0,1,0,0,0,1,0,1,1,0,0,8 ฑ่มุลย,4,พ็ว๖มพ,1
0,0,1,1,0,0,0,1,1,0,0,8 ฑ่มุลย,4,ภำรขฟ๋,-1
1,0,0,0,1,0,0,1,1,0,0,8 ฑ่มุลย,4,ฑ่ภฑตฟ,2
0,1,0,1,0,0,0,1,1,0,0,8 ฑ่มุลย,4,ฑ่ภฑตฟ,2
1,0,0,0,1,0,0,1,1,0,0,8 ฑ่มุลย,4,พศฑิฟต,-1
0,0,1,0,0,1,0,1,1,0,0,9 ฑ่มุลย,4,ภฬว๖ฝย,2
1,0,0,1,0,0,0,1,1,0,0,9 ฑ่มุลย,4,มคภฮฟํ,0
0,1,0,1,0,0,0,1,0,1,0,9 ฑ่มุลย,4,มคภฮฟํ,0
0,1,0,0,1,0,0,1,1,0,0,9 ฑ่มุลย,4,นฺฑูศซ,0
0,0,1,0,1,0,0,1,0,1,0,9 ฑ่มุลย,4,ภๅฟ๘ป๏,2
1,0,0,0,1,0,1,0,0,1,0,9 ฑ่มุลย,4,ภฑผบศฏ,1
0,1,0,0,0,1,0,1,1,0,0,9 ฑ่มุลย,4,ภฑผบศฏ,1
1,0,0,0,1,0,0,1,0,1,0,9 ฑ่มุลย,4,ภฬมุวü,0
0,1,0,0,1,0,0,1,0,1,0,9 ฑ่มุลย,4,รึผบศฦ,2
0,1,0,0,0,1,0,1,1,0,0,9 ฑ่มุลย,4,วใวม,-1
1,0,0,1,0,0,0,1,0,1,0,9 ฑ่มุลย,4,บภม฿ฑู,-1
0,1,0,1,0,0,0,1,1,0,0,9 ฑ่มุลย,4,ภüภฮศฏ,-1
1,0,0,1,0,0,1,0,1,0,0,9 ฑ่มุลย,4,น๊ฟอฦฎ,-1
0,1,0,0,1,0,0,1,1,0,0,9 ฑ่มุลย,4,น๊ฟอฦฎ,-1
0,1,0,1,0,0,0,1,1,0,0,9 ฑ่มุลย,4,ฝษภ็นฮ,-1
0,0,1,1,0,0,1,0,0,1,0,9 ฑ่มุลย,4,มถนซฑู,1
0,0,1,0,0,1,1,0,1,0,0,9 ฑ่มุลย,4,พ๖ป๓น้,0
1,0,0,1,0,0,0,1,1,0,0,9 ฑ่มุลย,4,ทฮภง,-1
0,1,0,1,0,0,1,0,1,0,0,9 ฑ่มุลย,4,ทฮภง,-1
0,1,0,0,1,0,0,1,0,1,0,9 ฑ่มุลย,4,น่ฟ์ฟญ,0
0,0,1,0,0,1,0,1,1,0,0,9 ฑ่มุลย,4,ภๅฝรศฏ,0
0,0,1,0,0,1,1,0,1,0,0,9 ฑ่มุลย,4,ศซผบฟ๋,-1
1,0,0,0,1,0,0,1,0,1,0,9 ฑ่มุลย,4,ผÛภบนü,2
0,1,0,1,0,0,0,1,1,0,0,9 ฑ่มุลย,4,ผÛภบนü,2
1,0,0,0,1,0,0,1,1,0,0,9 ฑ่มุลย,4,พ็ศฦ,-1
1,0,0,0,0,1,0,1,1,0,0,9 ฑ่มุลย,4,พ็ศฦ,-1
0,1,0,1,0,0,1,0,0,1,0,9 ฑ่มุลย,4,พ็ศฦ,-1
0,0,1,0,0,1,0,1,0,0,1,9 ฑ่มุลย,4,นฺมึว๖,-1
1,0,0,1,0,0,0,1,1,0,0,9 ฑ่มุลย,4,รึฑÝฐญ,-1
0,1,0,0,0,1,1,0,0,1,0,9 ฑ่มุลย,4,รึฑÝฐญ,-1
0,0,1,1,0,0,0,1,0,1,0,9 ฑ่มุลย,4,ภฬนฮศฃ,2
1,0,0,0,1,0,0,1,0,1,0,9 ฑ่มุลย,4,ทฮภง,-1
0,1,0,1,0,0,0,1,1,0,0,9 ฑ่มุลย,4,ทฮภง,-1
0,0,1,0,0,1,0,1,1,0,0,9 ฑ่มุลย,4,ฟ๘มพว๖,1
0,0,1,0,1,0,1,0,0,1,0,9 ฑ่มุลย,4,ภฬฟ๋ย๙,1
0,0,1,0,1,0,0,1,1,0,0,9 ฑ่มุลย,4,ฑ่ม๖ฟ๋,2
0,0,1,0,0,1,0,1,1,0,0,9 ฑ่มุลย,4,ภำมคฟ์,2
1,0,0,0,1,0,0,1,1,0,0,9 ฑ่มุลย,4,น๊ว์ฤห,-1
0,1,0,0,1,0,1,0,1,0,0,9 ฑ่มุลย,4,น๊ว์ฤห,-1
0,1,0,0,1,0,0,1,1,0,0,9 ฑ่มุลย,4,ศฒด๖ฑี,-1
0,0,1,0,0,1,1,0,0,1,0,9 ฑ่มุลย,4,ฑ่ป๓ผ๖,0
1,0,0,1,0,0,1,0,1,0,0,9 ฑ่มุลย,4,ฝลภ็ฟต,2
0,1,0,1,0,0,0,1,0,1,0,9 ฑ่มุลย,4,ธถมคฑๆ,-1
0,1,0,0,0,1,1,0,0,1,0,9 ฑ่มุลย,4,ฑ่มคศฦ,-1
0,0,1,0,1,0,1,0,0,0,1,9 ฑ่มุลย,4,ฑ่ผผว๖,2
0,0,1,0,1,0,1,0,0,0,1,5 ฑ่มุลย,4,ฝลฟ๋ฟ๎,-1
0,0,1,0,0,1,0,1,1,0,0,5 ฑ่มุลย,4,มถป๓ฟ์,4
1,0,0,0,1,0,0,1,0,1,0,8 ฑ่มุลย,4,วัว๖ศ๑,2
0,1,0,1,0,0,0,1,0,1,0,8 ฑ่มุลย,4,วัว๖ศ๑,2
0,1,0,0,0,1,0,1,1,0,0,8 ฑ่มุลย,4,วัว๖ศ๑,2
1,0,0,0,1,0,1,0,1,0,0,8 ฑ่มุลย,4,ภฬลยพ็,0
0,1,0,0,0,1,1,0,1,0,0,8 ฑ่มุลย,4,ภฬลยพ็,0
0,0,1,0,0,1,0,1,1,0,0,8 ฑ่มุลย,4,ภฬนฮศฃ,2
1,0,0,0,0,1,0,1,1,0,0,8 ฑ่มุลย,4,วุฤฟ,1
0,1,0,0,0,1,0,1,1,0,0,8 ฑ่มุลย,4,วุฤฟ,1
0,0,1,1,0,0,1,0,1,0,0,8 ฑ่มุลย,4,วุฤฟ,1
1,0,0,0,1,0,0,1,0,1,0,8 ฑ่มุลย,4,นฺมพศฦ,2
0,1,0,0,1,0,0,1,0,0,1,8 ฑ่มุลย,4,นฺมพศฦ,2
0,1,0,0,0,1,0,1,1,0,0,8 ฑ่มุลย,4,ภüภฏผ๖,0
0,0,1,0,0,1,0,1,1,0,0,9 ฑ่มุลย,4,ฤฬธฎ,4
0,0,1,1,0,0,0,1,1,0,0,8 ฑ่มุลย,4,ฟภว๖ลร,1
0,0,1,0,1,0,1,0,1,0,0,8 ฑ่มุลย,4,ภฬว๖ฝย,2
1,0,0,1,0,0,0,1,1,0,0,8 ฑ่มุลย,4,ฝบฦฉพ๎ฦฎ,-1
0,1,0,1,0,0,0,1,1,0,0,8 ฑ่มุลย,4,ฝบฦฉพ๎ฦฎ,-1
0,0,1,0,1,0,0,1,1,0,0,8 ฑ่มุลย,4,ผีนฮวั,-1
0,0,1,0,1,0,1,0,1,0,0,9 ฑ่มุลย,4,วัว๖ศ๑,2
0,1,0,1,0,0,1,0,1,0,0,6 ฑ่มุลย,4,ฑ่ลรวü,3
0,0,1,0,0,1,1,0,0,0,1,6 ฑ่มุลย,4,มถป๓ฟ์,4
1,0,0,1,0,0,1,0,1,0,0,8 ฑ่มุลย,4,ผาป็,-1
0,1,0,1,0,0,0,1,0,1,0,8 ฑ่มุลย,4,ผาป็,-1
0,0,1,1,0,0,0,1,1,0,0,6 ฑ่มุลย,4,มคภฮฟํ,0
0,0,1,0,1,0,0,1,0,0,1,6 ฑ่มุลย,4,ฑวฟภมุ,1
0,0,1,1,0,0,0,1,1,0,0,7 ฑ่มุลย,4,ม๘วุผ๖,0
0,0,1,1,0,0,1,0,1,0,0,5 ฑ่มุลย,4,นฺฑูศซ,0
0,0,1,1,0,0,0,1,1,0,0,5 ฑ่มุลย,4,ฝษรขนฮ,-1
0,0,1,1,0,0,0,1,1,0,0,8 ฑ่มุลย,4,ศซฐวศ๑,0
