1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,1,0,0,1,0,1,0,0,8 나경민,4,원종현,1
0,1,0,0,1,0,0,1,0,1,0,9 나경민,4,김주한,2
0,0,1,0,1,0,0,1,1,0,0,5 나경민,4,심창민,-1
0,0,1,1,0,0,1,0,0,0,1,7 나경민,4,이민호,2
1,0,0,1,0,0,1,0,0,1,0,2 나경민,4,최금강,-1
1,0,0,0,0,1,0,1,1,0,0,2 나경민,4,최금강,-1
0,1,0,0,1,0,0,1,1,0,0,2 나경민,4,최금강,-1
1,0,0,1,0,0,0,1,0,1,0,1 나경민,4,신재영,2
1,0,0,0,1,0,1,0,0,1,0,1 나경민,4,신재영,2
0,1,0,1,0,0,1,0,0,1,0,1 나경민,4,신재영,2
0,1,0,0,1,0,0,1,1,0,0,1 나경민,4,신재영,2
0,0,1,0,1,0,0,1,1,0,0,1 나경민,4,김상수,0
1,0,0,1,0,0,0,1,1,0,0,1 나경민,4,조상우,4
1,0,0,0,1,0,0,1,1,0,0,1 나경민,4,조상우,4
0,1,0,0,0,1,0,1,1,0,0,1 나경민,4,조상우,4
0,0,1,0,1,0,1,0,1,0,0,1 나경민,4,이보근,2
0,0,1,0,1,0,0,1,0,1,0,1 나경민,4,김세현,2
1,0,0,1,0,0,0,1,1,0,0,1 나경민,4,비야누에바,-1
1,0,0,1,0,0,0,1,1,0,0,1 나경민,4,비야누에바,-1
0,1,0,1,0,0,0,1,1,0,0,1 나경민,4,비야누에바,-1
1,0,0,1,0,0,0,1,1,0,0,1 나경민,4,안영명,2
1,0,0,0,0,1,0,1,0,1,0,1 나경민,4,안영명,2
0,1,0,0,0,1,0,1,1,0,0,1 나경민,4,장민재,0
0,1,0,0,0,1,1,0,0,1,0,1 나경민,4,심수창,0
0,0,1,0,0,1,0,1,1,0,0,1 나경민,4,송신영,-1
1,0,0,1,0,0,0,1,1,0,0,1 나경민,4,배영수,2
1,0,0,0,0,1,0,1,1,0,0,1 나경민,4,배영수,2
0,1,0,0,1,0,0,1,0,1,0,1 나경민,4,배영수,2
0,0,1,1,0,0,0,1,1,0,0,1 나경민,4,송창식,0
1,0,0,1,0,0,0,1,1,0,0,1 나경민,4,니퍼트,1
1,0,0,1,0,0,0,1,0,1,0,1 나경민,4,니퍼트,1
0,1,0,1,0,0,0,1,1,0,0,1 나경민,4,니퍼트,1
0,0,1,0,1,0,0,1,1,0,0,1 나경민,4,김승회,2
0,0,1,0,0,1,0,1,0,0,1,1 나경민,4,이현승,2
1,0,0,0,1,0,0,1,1,0,0,9 나경민,4,장원준,2
0,1,0,1,0,0,0,1,1,0,0,9 나경민,4,장원준,2
0,1,0,0,0,1,0,1,1,0,0,9 나경민,4,장원준,2
0,0,1,0,1,0,1,0,1,0,0,9 나경민,4,김성배,-1
0,0,1,0,1,0,0,1,1,0,0,8 나경민,4,심재민,-1
1,0,0,1,0,0,0,1,1,0,0,1 나경민,4,류희운,3
1,0,0,1,0,0,1,0,1,0,0,1 나경민,4,류희운,3
0,1,0,1,0,0,1,0,0,1,0,1 나경민,4,배우열,0
0,0,1,1,0,0,0,1,1,0,0,3 나경민,4,김윤동,2
1,0,0,0,1,0,0,1,0,1,0,2 나경민,4,임기영,0
1,0,0,0,0,1,0,1,1,0,0,2 나경민,4,임기영,0
0,1,0,0,1,0,0,1,0,1,0,2 나경민,4,임기영,0
1,0,0,0,1,0,0,1,1,0,0,2 나경민,4,헥터,-1
1,0,0,0,1,0,1,0,1,0,0,2 나경민,4,헥터,-1
0,1,0,0,0,1,0,1,1,0,0,2 나경민,4,헥터,-1
0,1,0,0,1,0,0,1,0,1,0,2 나경민,4,헥터,-1
0,0,1,1,0,0,0,1,1,0,0,2 나경민,4,임창용,-1
1,0,0,1,0,0,0,1,1,0,0,2 나경민,4,배영수,2
1,0,0,1,0,0,0,1,0,1,0,2 나경민,4,배영수,2
0,1,0,1,0,0,1,0,1,0,0,2 나경민,4,배영수,2
0,0,1,1,0,0,0,1,0,0,1,2 나경민,4,송창식,0
0,0,1,0,1,0,1,0,1,0,0,2 나경민,4,박정진,-1
1,0,0,0,1,0,0,1,1,0,0,2 나경민,4,오간도,-1
0,1,0,1,0,0,1,0,1,0,0,2 나경민,4,오간도,-1
0,1,0,0,1,0,1,0,1,0,0,2 나경민,4,오간도,-1
0,0,1,0,1,0,0,1,1,0,0,2 나경민,4,오간도,-1
0,0,1,0,0,1,0,1,1,0,0,1 나경민,4,이용찬,1
0,0,1,0,0,1,0,1,0,1,0,1 나경민,4,유희관,2
0,0,1,0,1,0,0,1,0,0,1,1 나경민,4,박치국,2
1,0,0,0,1,0,0,1,1,0,0,2 나경민,4,주권,0
1,0,0,1,0,0,1,0,1,0,0,2 나경민,4,주권,0
0,0,1,0,1,0,1,0,0,1,0,1 나경민,4,배우열,0
0,0,1,0,1,0,1,0,1,0,0,5 나경민,4,진해수,0
1,0,0,1,0,0,1,0,1,0,0,2 나경민,4,박진태,-1
1,0,0,0,0,1,1,0,0,1,0,2 나경민,4,박진태,-1
0,1,0,0,0,1,1,0,1,0,0,2 나경민,4,고효준,0
0,0,1,1,0,0,0,1,1,0,0,2 나경민,4,김진우,-1
0,0,1,0,1,0,1,0,1,0,0,2 나경민,4,한승혁,0
1,0,0,1,0,0,0,1,1,0,0,1 나경민,4,헥터,-1
0,1,0,1,0,0,0,1,1,0,0,1 나경민,4,헥터,-1
0,1,0,0,1,0,1,0,1,0,0,1 나경민,4,헥터,-1
0,0,1,1,0,0,0,1,0,0,1,2 나경민,4,박승주,-1
0,0,1,0,1,0,0,1,1,0,0,2 나경민,4,김성민,2
0,0,1,0,1,0,1,0,1,0,0,4 나경민,4,배우열,0
0,0,1,1,0,0,0,1,0,1,0,6 나경민,4,신정락,0
0,0,1,1,0,0,0,1,1,0,0,6 나경민,4,이동현,1
0,0,1,0,0,1,0,1,1,0,0,3 나경민,4,윤지웅,2
0,0,1,0,0,1,0,1,1,0,0,3 나경민,4,정수민,3
1,0,0,1,0,0,0,1,0,0,1,1 나경민,4,박종훈,2
1,0,0,0,0,1,0,1,1,0,0,1 나경민,4,박종훈,2
0,1,0,0,0,1,0,1,1,0,0,1 나경민,4,박종훈,2
0,0,1,0,1,0,0,1,1,0,0,6 나경민,4,심창민,-1
0,0,1,1,0,0,0,1,0,0,1,9 나경민,4,임창용,-1
0,1,0,1,0,0,0,1,1,0,0,1 나경민,4,정재원,3
0,1,0,1,0,0,0,1,0,1,0,1 나경민,4,이충호,-1
0,0,1,1,0,0,0,1,0,1,0,1 나경민,4,장민재,0
1,0,0,0,1,0,0,1,0,1,0,2 나경민,4,안영명,2
1,0,0,0,0,1,0,1,1,0,0,2 나경민,4,안영명,2
0,1,0,0,1,0,0,1,1,0,0,2 나경민,4,안영명,2
0,0,1,0,0,1,0,1,0,1,0,2 나경민,4,안영명,2
1,0,0,0,1,0,0,1,0,1,0,2 나경민,4,윤희상,2
1,0,0,0,0,1,0,1,1,0,0,2 나경민,4,윤희상,2
0,1,0,0,0,1,0,1,1,0,0,2 나경민,4,윤희상,2
0,1,0,0,1,0,0,1,0,1,0,2 나경민,4,김태훈,2
0,0,1,1,0,0,0,1,1,0,0,2 나경민,4,김주한,2
1,0,0,0,1,0,0,1,1,0,0,2 나경민,4,켈리,4
0,1,0,1,0,0,0,1,1,0,0,2 나경민,4,켈리,4
0,1,0,0,0,1,0,1,0,1,0,2 나경민,4,켈리,4
0,0,1,1,0,0,0,1,0,0,1,2 나경민,4,박희수,4
1,0,0,1,0,0,0,1,1,0,0,1 나경민,4,김대현,3
1,0,0,0,1,0,0,1,1,0,0,1 나경민,4,김대현,3
0,1,0,0,1,0,0,1,1,0,0,1 나경민,4,김대현,3
0,0,1,0,0,1,1,0,1,0,0,1 나경민,4,진해수,0
1,0,0,0,1,0,0,1,0,1,0,2 나경민,4,류제국,2
1,0,0,1,0,0,1,0,0,1,0,2 나경민,4,류제국,2
0,1,0,0,1,0,1,0,1,0,0,2 나경민,4,류제국,2
0,0,1,0,0,1,0,1,1,0,0,2 나경민,4,진해수,0
0,0,1,1,0,0,0,1,1,0,0,2 나경민,4,정찬헌,2
1,0,0,0,1,0,0,1,1,0,0,2 나경민,4,차우찬,2
0,1,0,1,0,0,0,1,1,0,0,2 나경민,4,차우찬,2
0,1,0,0,0,1,0,1,1,0,0,2 나경민,4,차우찬,2
0,0,1,0,1,0,0,1,1,0,0,3 나경민,4,임창민,1
0,0,1,0,1,0,0,1,1,0,0,3 나경민,4,류재인,-1
1,0,0,1,0,0,1,0,1,0,0,2 나경민,4,윤성환,1
1,0,0,0,1,0,1,0,1,0,0,2 나경민,4,윤성환,1
0,1,0,0,1,0,0,1,0,1,0,2 나경민,4,윤성환,1
0,0,1,1,0,0,0,1,1,0,0,2 나경민,4,윤성환,1
0,0,1,0,1,0,0,1,0,1,0,2 나경민,4,장원삼,2
0,0,1,0,0,1,1,0,0,0,1,3 나경민,4,김시현,-1
0,0,1,0,0,1,0,1,1,0,0,1 나경민,4,신재영,2
1,0,0,0,1,0,0,1,1,0,0,2 나경민,4,배영수,2
1,0,0,0,0,1,1,0,1,0,0,2 나경민,4,배영수,2
0,1,0,1,0,0,0,1,1,0,0,2 나경민,4,배영수,2
0,0,1,0,0,1,1,0,1,0,0,3 나경민,4,김세현,2
0,0,1,1,0,0,0,1,1,0,0,5 나경민,4,박진태,-1
0,0,1,0,1,0,0,1,1,0,0,2 나경민,4,임정호,-1
0,0,1,0,0,1,1,0,0,0,1,5 나경민,4,원종현,1
0,0,1,0,0,1,1,0,0,0,1,7 나경민,4,이동현,1
0,0,1,1,0,0,0,1,0,1,0,7 나경민,4,임정우,2
0,0,1,0,0,1,1,0,0,0,1,7 나경민,4,김지용,2
1,0,0,1,0,0,1,0,1,0,0,2 나경민,4,우규민,1
1,0,0,1,0,0,0,1,0,0,1,2 나경민,4,우규민,1
0,1,0,0,0,1,0,1,0,1,0,2 나경민,4,우규민,1
1,0,0,0,1,0,0,1,1,0,0,2 나경민,4,차우찬,2
1,0,0,1,0,0,0,1,0,1,0,2 나경민,4,차우찬,2
0,1,0,0,1,0,1,0,1,0,0,2 나경민,4,차우찬,2
0,0,1,0,1,0,0,1,1,0,0,2 나경민,4,차우찬,2
0,0,1,0,1,0,1,0,1,0,0,8 나경민,4,장필준,1
1,0,0,1,0,0,1,0,1,0,0,2 나경민,4,정인욱,0
1,0,0,0,1,0,0,1,1,0,0,2 나경민,4,정인욱,0
0,1,0,0,1,0,1,0,1,0,0,2 나경민,4,정인욱,0
0,0,1,1,0,0,1,0,1,0,0,8 나경민,4,홍건희,0
1,0,0,0,1,0,0,1,0,1,0,2 나경민,4,헥터,-1
1,0,0,1,0,0,0,1,1,0,0,2 나경민,4,헥터,-1
0,1,0,0,0,1,0,1,0,1,0,2 나경민,4,헥터,-1
0,0,1,0,1,0,0,1,0,1,0,2 나경민,4,김광수,-1
0,0,1,0,0,1,0,1,1,0,0,2 나경민,4,한승혁,0
1,0,0,0,1,0,0,1,0,0,1,2 나경민,4,지크,-1
1,0,0,1,0,0,0,1,0,0,1,2 나경민,4,지크,-1
0,1,0,0,1,0,0,1,0,0,1,2 나경민,4,지크,-1
0,1,0,1,0,0,0,1,1,0,0,2 나경민,4,한기주,1
0,0,1,0,0,1,1,0,1,0,0,2 나경민,4,김윤동,2
1,0,0,0,1,0,0,1,1,0,0,2 나경민,4,윤규진,2
1,0,0,1,0,0,1,0,1,0,0,2 나경민,4,윤규진,2
0,1,0,0,0,1,0,1,0,1,0,2 나경민,4,박정진,-1
0,1,0,0,1,0,1,0,0,1,0,2 나경민,4,정대훈,-1
0,0,1,0,0,1,0,1,0,0,1,2 나경민,4,김경태,0
1,0,0,0,1,0,0,1,0,1,0,2 나경민,4,이태양,0
1,0,0,1,0,0,0,1,1,0,0,2 나경민,4,장민재,0
0,1,0,1,0,0,0,1,0,1,0,2 나경민,4,박정진,-1
0,1,0,1,0,0,0,1,1,0,0,2 나경민,4,송창식,0
0,0,1,0,0,1,1,0,1,0,0,2 나경민,4,권혁,1
0,0,1,1,0,0,1,0,1,0,0,2 나경민,4,정우람,4
1,0,0,0,1,0,0,1,1,0,0,2 나경민,4,카스티요,-1
0,1,0,1,0,0,0,1,1,0,0,2 나경민,4,카스티요,-1
0,1,0,0,0,1,0,1,1,0,0,2 나경민,4,카스티요,-1
0,0,1,0,1,0,1,0,1,0,0,2 나경민,4,정대훈,-1
1,0,0,0,1,0,0,1,0,1,0,2 나경민,4,우규민,1
1,0,0,0,1,0,1,0,1,0,0,2 나경민,4,우규민,1
0,1,0,1,0,0,1,0,1,0,0,2 나경민,4,최동환,0
0,1,0,1,0,0,0,1,1,0,0,2 나경민,4,이승현,2
