1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,0,1,0,1,1,0,0,9 문규현,5,맨쉽,-1
0,1,0,1,0,0,0,1,1,0,0,9 문규현,5,맨쉽,-1
1,0,0,1,0,0,1,0,1,0,0,8 문규현,5,이재학,5
0,1,0,1,0,0,0,1,1,0,0,8 문규현,5,장현식,-1
0,1,0,0,1,0,1,0,1,0,0,8 문규현,5,장현식,-1
0,0,1,0,1,0,0,1,0,1,0,8 문규현,5,이형범,-1
1,0,0,0,1,0,0,1,0,1,0,8 문규현,5,구창모,-1
0,1,0,0,1,0,0,1,1,0,0,8 문규현,5,구창모,-1
0,1,0,0,1,0,0,1,1,0,0,8 문규현,5,김진성,0
0,0,1,1,0,0,0,1,1,0,0,8 문규현,5,윤수호,-1
1,0,0,1,0,0,0,1,0,1,0,8 문규현,5,최원태,-1
0,1,0,0,1,0,0,1,1,0,0,8 문규현,5,최원태,-1
0,0,1,0,1,0,0,1,1,0,0,8 문규현,5,한현희,-1
1,0,0,0,1,0,0,1,1,0,0,7 문규현,5,오주원,0
0,1,0,1,0,0,0,1,1,0,0,7 문규현,5,오주원,0
0,1,0,1,0,0,0,1,1,0,0,7 문규현,5,마정길,-1
0,0,1,0,0,1,1,0,0,1,0,7 문규현,5,박주현,-1
1,0,0,0,1,0,0,1,0,0,1,7 문규현,5,류제국,-1
0,1,0,0,1,0,0,1,1,0,0,7 문규현,5,류제국,-1
0,1,0,1,0,0,1,0,1,0,0,7 문규현,5,류제국,-1
0,0,1,0,0,1,0,1,1,0,0,7 문규현,5,김지용,-1
1,0,0,0,0,1,1,0,1,0,0,6 문규현,5,윤지웅,4
1,0,0,0,0,1,0,1,1,0,0,6 문규현,5,윤지웅,4
0,1,0,0,1,0,1,0,1,0,0,6 문규현,5,김대현,-1
0,0,1,0,1,0,0,1,0,1,0,6 문규현,5,신정락,-1
0,0,1,1,0,0,0,1,1,0,0,8 문규현,5,임준혁,4
0,0,1,0,1,0,0,1,1,0,0,8 문규현,5,전유수,2
1,0,0,1,0,0,1,0,1,0,0,8 문규현,5,켈리,-1
0,1,0,0,1,0,0,1,1,0,0,8 문규현,5,켈리,-1
0,1,0,1,0,0,0,1,1,0,0,9 문규현,5,김성민,-1
0,0,1,0,1,0,1,0,1,0,0,9 문규현,5,박정배,0
1,0,0,0,1,0,0,1,1,0,0,2 문규현,5,윤성환,5
