1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,1,0,0,1 ¹Îº´Çå,1,ºñ¾ß´©¿¡¹Ù,-1
1,0,0,0,1,0,0,1,1,0,0,1 ¹Îº´Çå,1,ºñ¾ß´©¿¡¹Ù,-1
0,1,0,1,0,0,1,0,1,0,0,1 ¹Îº´Çå,1,ºñ¾ß´©¿¡¹Ù,-1
0,0,1,1,0,0,0,1,0,1,0,1 ¹Îº´Çå,1,½É¼öÃ¢,4
1,0,0,1,0,0,0,1,1,0,0,1 ¹Îº´Çå,1,¿À°£µµ,-1
1,0,0,0,1,0,0,1,1,0,0,1 ¹Îº´Çå,1,¿À°£µµ,-1
0,1,0,1,0,0,0,1,1,0,0,1 ¹Îº´Çå,1,¿À°£µµ,-1
0,0,1,1,0,0,0,1,1,0,0,1 ¹Îº´Çå,1,¼ÛÃ¢½Ä,4
1,0,0,1,0,0,0,1,0,1,0,1 ¹Îº´Çå,1,¼ÛÀº¹ü,3
0,1,0,1,0,0,0,1,1,0,0,1 ¹Îº´Çå,1,¼ÛÀº¹ü,3
0,1,0,0,1,0,1,0,1,0,0,1 ¹Îº´Çå,1,¼ÛÀº¹ü,3
0,0,1,0,1,0,1,0,1,0,0,1 ¹Îº´Çå,1,Àå¹ÎÀç,-1
0,0,1,0,1,0,0,1,1,0,0,1 ¹Îº´Çå,1,Á¤¿ì¶÷,-1
0,0,1,0,1,0,0,1,0,1,0,1 ¹Îº´Çå,1,¼Û½Å¿µ,-1
1,0,0,1,0,0,0,1,1,0,0,1 ¹Îº´Çå,1,ÁÖ±Ç,-1
1,0,0,0,1,0,0,1,0,1,0,1 ¹Îº´Çå,1,ÁÖ±Ç,-1
0,1,0,0,1,0,0,1,0,1,0,1 ¹Îº´Çå,1,ÁÖ±Ç,-1
0,1,0,0,1,0,0,1,1,0,0,1 ¹Îº´Çå,1,¾ö»ó¹é,-1
0,0,1,1,0,0,0,1,1,0,0,1 ¹Îº´Çå,1,ÀÌ»óÈ­,4
1,0,0,1,0,0,0,1,1,0,0,1 ¹Îº´Çå,1,°í¿µÇ¥,-1
1,0,0,0,1,0,0,1,1,0,0,1 ¹Îº´Çå,1,°í¿µÇ¥,-1
0,1,0,0,0,1,0,1,0,1,0,1 ¹Îº´Çå,1,°í¿µÇ¥,-1
0,0,1,0,0,1,1,0,0,1,0,1 ¹Îº´Çå,1,½ÉÀç¹Î,-1
1,0,0,0,1,0,1,0,1,0,0,3 ¹Îº´Çå,1,¹êÇìÄË,-1
1,0,0,0,1,0,0,1,1,0,0,3 ¹Îº´Çå,1,¹êÇìÄË,-1
0,1,0,0,0,1,1,0,1,0,0,3 ¹Îº´Çå,1,¹êÇìÄË,-1
0,0,1,0,0,1,0,1,1,0,0,3 ¹Îº´Çå,1,±è»ó¼ö,-1
1,0,0,1,0,0,0,1,0,1,0,1 ¹Îº´Çå,1,¿À¼³¸®¹Ý,-1
1,0,0,0,1,0,1,0,0,1,0,1 ¹Îº´Çå,1,¿À¼³¸®¹Ý,-1
1,0,0,0,0,1,1,0,1,0,0,1 ¹Îº´Çå,1,ÇÑÇöÈñ,-1
0,1,0,0,1,0,0,1,1,0,0,1 ¹Îº´Çå,1,ÇÑÇöÈñ,-1
0,0,1,0,0,1,1,0,0,0,1,1 ¹Îº´Çå,1,ÀÌº¸±Ù,-1
0,0,1,0,0,1,0,1,1,0,0,1 ¹Îº´Çå,1,±è¼¼Çö,0
1,0,0,1,0,0,0,1,1,0,0,1 ¹Îº´Çå,1,ÃÖ¿øÅÂ,-1
0,1,0,1,0,0,0,1,1,0,0,1 ¹Îº´Çå,1,ÃÖ¿øÅÂ,-1
0,1,0,0,1,0,1,0,1,0,0,1 ¹Îº´Çå,1,ÃÖ¿øÅÂ,-1
1,0,0,1,0,0,0,1,0,1,0,1 ¹Îº´Çå,1,È«°ÇÈñ,-1
1,0,0,0,0,1,1,0,0,1,0,1 ¹Îº´Çå,1,È«°ÇÈñ,-1
1,0,0,0,0,1,0,1,0,1,0,1 ¹Îº´Çå,1,±è±¤¼ö,-1
0,1,0,0,0,1,0,1,0,0,1,1 ¹Îº´Çå,1,¹ÚÁøÅÂ,-1
0,1,0,1,0,0,0,1,0,1,0,1 ¹Îº´Çå,1,¹ÚÁøÅÂ,-1
1,0,0,1,0,0,0,1,1,0,0,1 ¹Îº´Çå,1,ÀÓ±â¿µ,-1
1,0,0,1,0,0,0,1,1,0,0,1 ¹Îº´Çå,1,ÀÓ±â¿µ,-1
0,1,0,1,0,0,0,1,1,0,0,1 ¹Îº´Çå,1,ÀÓ±â¿µ,-1
0,0,1,1,0,0,0,1,1,0,0,1 ¹Îº´Çå,1,±èÀ±µ¿,-1
0,0,1,0,1,0,1,0,1,0,0,1 ¹Îº´Çå,1,ÇÑ½ÂÇõ,3
