1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,0,1,0,1,1,0,0,3 손아섭,3,맨쉽,6
0,1,0,0,1,0,1,0,1,0,0,3 손아섭,3,맨쉽,6
0,0,1,1,0,0,0,1,1,0,0,3 손아섭,3,맨쉽,6
0,0,1,0,0,1,0,1,1,0,0,3 손아섭,3,김진성,3
1,0,0,1,0,0,1,0,1,0,0,3 손아섭,3,이재학,2
1,0,0,1,0,0,0,1,0,0,1,3 손아섭,3,이재학,2
0,1,0,0,1,0,0,1,1,0,0,3 손아섭,3,장현식,3
0,0,1,0,0,1,0,1,1,0,0,3 손아섭,3,장현식,3
1,0,0,0,0,1,0,1,0,1,0,3 손아섭,3,구창모,3
1,0,0,0,1,0,0,1,1,0,0,3 손아섭,3,구창모,3
0,1,0,0,1,0,0,1,1,0,0,3 손아섭,3,김진성,3
0,0,1,1,0,0,0,1,0,0,1,3 손아섭,3,원종현,3
0,0,1,0,0,1,1,0,1,0,0,3 손아섭,3,최성영,6
1,0,0,1,0,0,1,0,1,0,0,3 손아섭,3,최원태,3
1,0,0,0,0,1,1,0,1,0,0,3 손아섭,3,최원태,3
0,1,0,0,0,1,0,1,1,0,0,3 손아섭,3,최원태,3
0,0,1,0,0,1,0,1,0,1,0,3 손아섭,3,한현희,1
1,0,0,0,0,1,0,1,1,0,0,3 손아섭,3,오주원,2
1,0,0,0,1,0,1,0,0,1,0,3 손아섭,3,오주원,2
0,1,0,1,0,0,1,0,0,1,0,3 손아섭,3,마정길,-1
0,0,1,1,0,0,1,0,1,0,0,3 손아섭,3,박주현,-1
0,0,1,1,0,0,0,1,1,0,0,3 손아섭,3,박주현,-1
1,0,0,0,0,1,0,1,1,0,0,3 손아섭,3,류제국,1
1,0,0,1,0,0,1,0,1,0,0,3 손아섭,3,류제국,1
0,1,0,1,0,0,0,1,0,0,1,3 손아섭,3,류제국,1
0,0,1,0,1,0,0,1,1,0,0,3 손아섭,3,최동환,5
1,0,0,0,1,0,0,1,0,1,0,2 손아섭,3,윤지웅,5
1,0,0,0,1,0,0,1,1,0,0,2 손아섭,3,윤지웅,5
0,1,0,0,1,0,0,1,0,1,0,2 손아섭,3,윤지웅,5
0,0,1,0,0,1,0,1,1,0,0,2 손아섭,3,김대현,5
0,0,1,0,1,0,1,0,0,1,0,2 손아섭,3,진해수,3
1,0,0,0,1,0,0,1,1,0,0,2 손아섭,3,임찬규,1
1,0,0,0,1,0,0,1,1,0,0,2 손아섭,3,임찬규,1
0,1,0,0,1,0,1,0,0,0,1,2 손아섭,3,최동환,5
0,1,0,0,0,1,1,0,0,0,1,2 손아섭,3,최동환,5
0,0,1,0,0,1,0,1,0,0,1,2 손아섭,3,최성훈,5
1,0,0,1,0,0,0,1,0,1,0,1 손아섭,3,박종훈,1
1,0,0,0,1,0,1,0,1,0,0,1 손아섭,3,박종훈,1
0,1,0,0,1,0,0,1,1,0,0,1 손아섭,3,박종훈,1
