3,4,5,6,7,8,9,10,11,1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_1,base_2,base_3,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,6 안중열,B,진해수,A
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,9 안중열,B,이재학,A
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,9 안중열,B,이재학,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,9 안중열,B,박준영,A
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,9 안중열,B,임준혁,A
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,9 안중열,B,임기준,A
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,9 안중열,B,임기준,A
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,9 안중열,B,김윤동,A
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,9 안중열,B,한기주,A
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,6 안중열,B,지크,A
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,9 안중열,B,임창민,A
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,5 안중열,B,지크,A
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,5 안중열,B,배힘찬,A
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,9 안중열,B,신재영,A
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,9 안중열,B,신재영,A
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,9 안중열,B,하영민,A
0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,9 안중열,B,허준혁,A
0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,9 안중열,B,허준혁,A
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,9 안중열,B,허준혁,A
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,9 안중열,B,이현호,A
0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,8 안중열,B,보우덴,A
0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,8 안중열,B,보우덴,A
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,8 안중열,B,고봉재,A
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,8 안중열,B,강동연,A
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,5 안중열,B,윤명준,A
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,5 안중열,B,이현승,A
0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,8 안중열,B,스튜어트,A
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,8 안중열,B,스튜어트,A
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,8 안중열,B,김진성,A
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1 안중열,B,김승회,A
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,9 안중열,B,윤성환,A
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,9 안중열,B,윤성환,A
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,8 안중열,B,홍건희,A
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,8 안중열,B,험버,A
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,8 안중열,B,험버,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,8 안중열,B,최영필,A
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,7 안중열,B,채병용,A
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,7 안중열,B,고효준,A
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,8 안중열,B,한현희,A
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,8 안중열,B,한현희,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,8 안중열,B,김세현,A
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,8 안중열,B,오현택,A
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,8 안중열,B,오현택,A
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,8 안중열,B,이현호,A
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,8 안중열,B,피가로,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,8 안중열,B,김건한,A
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,8 안중열,B,장원삼,A
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,8 안중열,B,켈리,A
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,8 안중열,B,켈리,A
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,8 안중열,B,켈리,A
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,8 안중열,B,전유수,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2 안중열,B,정우람,A
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,8 안중열,B,피어밴드,A
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,8 안중열,B,피어밴드,A
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,9 안중열,B,밴헤켄,A
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,9 안중열,B,마정길,A
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,8 안중열,B,김강률,A
0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,8 안중열,B,송신영,A
0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,8 안중열,B,문성현,A
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,8 안중열,B,하영민,A
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,8 안중열,B,김세현,A
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,5 안중열,B,시스코,A
