1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,1,0,0,4 이대호,3,맨쉽,1
0,1,0,0,0,1,1,0,0,1,0,4 이대호,3,맨쉽,1
0,0,1,0,1,0,0,1,0,1,0,4 이대호,3,맨쉽,1
0,0,1,1,0,0,0,1,0,1,0,4 이대호,3,임창민,1
1,0,0,0,1,0,1,0,1,0,0,4 이대호,3,이재학,2
1,0,0,1,0,0,1,0,0,0,1,4 이대호,3,이재학,2
0,1,0,0,0,1,0,1,0,1,0,4 이대호,3,장현식,2
0,0,1,1,0,0,0,1,1,0,0,4 이대호,3,장현식,2
1,0,0,0,0,1,1,0,0,1,0,4 이대호,3,구창모,2
1,0,0,0,0,1,0,1,1,0,0,4 이대호,3,구창모,2
0,1,0,0,0,1,0,1,0,0,1,4 이대호,3,김진성,2
0,0,1,1,0,0,1,0,1,0,0,4 이대호,3,윤수호,0
1,0,0,0,1,0,1,0,0,1,0,4 이대호,3,최원태,1
1,0,0,1,0,0,0,1,0,1,0,4 이대호,3,최원태,1
0,1,0,1,0,0,0,1,1,0,0,4 이대호,3,최원태,1
0,0,1,0,0,1,1,0,1,0,0,4 이대호,3,한현희,2
1,0,0,1,0,0,0,1,0,1,0,4 이대호,3,오주원,2
1,0,0,0,1,0,1,0,1,0,0,4 이대호,3,오주원,2
0,1,0,1,0,0,1,0,1,0,0,4 이대호,3,마정길,-1
0,0,1,0,1,0,1,0,0,0,1,4 이대호,3,박주현,-1
1,0,0,1,0,0,0,1,0,0,1,4 이대호,3,류제국,2
1,0,0,0,1,0,1,0,1,0,0,4 이대호,3,류제국,2
0,1,0,1,0,0,1,0,1,0,0,4 이대호,3,류제국,2
0,0,1,0,0,1,0,1,1,0,0,4 이대호,3,김지용,2
1,0,0,0,1,0,0,1,1,0,0,4 이대호,3,윤지웅,2
1,0,0,0,0,1,0,1,0,1,0,4 이대호,3,윤지웅,2
0,1,0,1,0,0,0,1,0,1,0,4 이대호,3,김대현,3
0,0,1,1,0,0,0,1,0,1,0,4 이대호,3,김대현,3
1,0,0,0,0,1,1,0,1,0,0,4 이대호,3,임찬규,0
1,0,0,0,0,1,1,0,0,0,1,4 이대호,3,임찬규,0
0,1,0,0,0,1,1,0,0,1,0,4 이대호,3,최동환,0
0,1,0,1,0,0,0,1,0,1,0,4 이대호,3,최동환,0
0,0,1,0,0,1,0,1,1,0,0,4 이대호,3,신정락,0
1,0,0,0,1,0,0,1,0,0,1,4 이대호,3,박종훈,2
1,0,0,1,0,0,1,0,0,1,0,4 이대호,3,박종훈,2
0,1,0,0,1,0,0,1,1,0,0,4 이대호,3,박종훈,2
0,0,1,1,0,0,0,1,0,1,0,4 이대호,3,임준혁,-1
0,0,1,0,0,1,1,0,1,0,0,4 이대호,3,임준혁,-1
1,0,0,1,0,0,0,1,1,0,0,4 이대호,3,켈리,4
0,1,0,0,1,0,1,0,1,0,0,4 이대호,3,켈리,4
0,0,1,1,0,0,0,1,0,0,1,4 이대호,3,켈리,4
0,0,1,1,0,0,1,0,1,0,0,4 이대호,3,서진용,2
0,0,1,1,0,0,0,1,0,0,1,4 이대호,3,채병용,2
1,0,0,0,1,0,0,1,1,0,0,4 이대호,3,김주한,2
1,0,0,0,1,0,0,1,1,0,0,4 이대호,3,김주한,2
0,1,0,0,0,1,0,1,0,1,0,4 이대호,3,문광은,3
0,0,1,0,1,0,0,1,0,0,1,4 이대호,3,박정배,2
0,0,1,0,0,1,0,1,0,1,0,4 이대호,3,서진용,2
1,0,0,0,0,1,1,0,0,0,1,4 이대호,3,윤성환,1
1,0,0,1,0,0,0,1,1,0,0,4 이대호,3,윤성환,1
0,1,0,0,0,1,0,1,1,0,0,4 이대호,3,윤성환,1
0,0,1,0,1,0,0,1,0,1,0,4 이대호,3,김승현,2
1,0,0,0,1,0,0,1,0,1,0,4 이대호,3,최충연,0
1,0,0,0,1,0,0,1,0,0,1,4 이대호,3,최충연,0
0,1,0,1,0,0,0,1,1,0,0,4 이대호,3,김대우,0
0,0,1,1,0,0,0,1,0,1,0,4 이대호,3,권오준,1
0,0,1,0,1,0,0,1,0,1,0,4 이대호,3,김동호,-1
1,0,0,1,0,0,0,1,1,0,0,4 이대호,3,장원삼,2
0,1,0,0,0,1,1,0,0,1,0,4 이대호,3,장원삼,2
0,0,1,1,0,0,0,1,1,0,0,4 이대호,3,장필준,1
0,0,1,1,0,0,0,1,1,0,0,4 이대호,3,심창민,-1
1,0,0,0,1,0,0,1,0,1,0,4 이대호,3,해커,1
1,0,0,1,0,0,0,1,0,1,0,4 이대호,3,해커,1
0,1,0,0,1,0,0,1,0,1,0,4 이대호,3,해커,1
0,0,1,0,1,0,0,1,0,0,1,4 이대호,3,김진성,2
1,0,0,0,1,0,1,0,1,0,0,4 이대호,3,맨쉽,1
0,1,0,1,0,0,0,1,1,0,0,4 이대호,3,맨쉽,1
0,1,0,0,0,1,1,0,0,1,0,4 이대호,3,맨쉽,1
1,0,0,0,0,1,1,0,1,0,0,4 이대호,3,최금강,-1
0,1,0,1,0,0,1,0,0,0,1,4 이대호,3,최금강,-1
0,1,0,1,0,0,0,1,1,0,0,4 이대호,3,김진성,2
0,0,1,0,1,0,1,0,1,0,0,4 이대호,3,원종현,1
0,0,1,0,0,1,1,0,1,0,0,4 이대호,3,임창민,1
1,0,0,1,0,0,0,1,1,0,0,4 이대호,3,최원태,1
0,1,0,0,0,1,0,1,1,0,0,4 이대호,3,최원태,1
0,0,1,0,1,0,0,1,1,0,0,4 이대호,3,최원태,1
0,0,1,0,0,1,1,0,0,1,0,4 이대호,3,김세현,2
1,0,0,0,0,1,1,0,1,0,0,4 이대호,3,신재영,2
0,1,0,1,0,0,0,1,1,0,0,4 이대호,3,신재영,2
0,1,0,0,1,0,0,1,0,1,0,4 이대호,3,신재영,2
0,0,1,0,1,0,0,1,1,0,0,4 이대호,3,신재영,2
1,0,0,1,0,0,0,1,0,1,0,4 이대호,3,조상우,4
0,1,0,0,1,0,0,1,1,0,0,4 이대호,3,조상우,4
0,1,0,0,1,0,1,0,1,0,0,4 이대호,3,금민철,2
0,0,1,0,1,0,0,1,0,1,0,4 이대호,3,양훈,-1
0,0,1,0,0,1,0,1,0,1,0,4 이대호,3,김세현,2
1,0,0,1,0,0,0,1,0,1,0,4 이대호,3,비야누에바,-1
0,1,0,1,0,0,0,1,0,1,0,4 이대호,3,비야누에바,-1
0,1,0,1,0,0,0,1,0,1,0,4 이대호,3,비야누에바,-1
0,0,1,1,0,0,0,1,0,0,1,4 이대호,3,윤규진,2
1,0,0,0,0,1,1,0,0,0,1,4 이대호,3,안영명,2
1,0,0,0,1,0,0,1,1,0,0,4 이대호,3,안영명,2
0,1,0,1,0,0,0,1,1,0,0,4 이대호,3,장민재,0
0,1,0,0,0,1,1,0,1,0,0,4 이대호,3,심수창,0
