1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,1,0,0,6 이병규,0,정대현,-1
0,1,0,1,0,0,0,1,1,0,0,6 이병규,0,정대현,-1
0,1,0,0,0,1,1,0,0,0,1,6 이병규,0,엄상백,0
0,0,1,0,1,0,0,1,1,0,0,6 이병규,0,정성곤,0
1,0,0,0,1,0,0,1,1,0,0,6 이병규,0,피어밴드,1
0,1,0,0,0,1,1,0,1,0,0,6 이병규,0,피어밴드,1
0,0,1,0,1,0,0,1,1,0,0,6 이병규,0,피어밴드,1
0,0,1,1,0,0,0,1,0,0,1,6 이병규,0,김재윤,1
1,0,0,0,1,0,0,1,0,1,0,6 이병규,0,주권,0
1,0,0,0,1,0,0,1,1,0,0,6 이병규,0,이상화,0
0,1,0,0,0,1,1,0,0,0,1,6 이병규,0,정성곤,0
0,0,1,1,0,0,0,1,0,1,0,6 이병규,0,장시환,0
1,0,0,0,1,0,1,0,0,1,0,6 이병규,0,오간도,-1
0,1,0,0,1,0,0,1,0,1,0,6 이병규,0,오간도,-1
0,1,0,0,1,0,0,1,1,0,0,6 이병규,0,오간도,-1
0,0,1,0,0,1,0,1,1,0,0,6 이병규,0,송창식,0
1,0,0,0,1,0,1,0,1,0,0,6 이병규,0,비야누에바,-1
0,1,0,0,1,0,0,1,1,0,0,6 이병규,0,비야누에바,-1
0,0,1,0,1,0,1,0,1,0,0,6 이병규,0,비야누에바,-1
0,0,1,0,0,1,0,1,1,0,0,6 이병규,0,정우람,4
1,0,0,1,0,0,0,1,1,0,0,5 이병규,0,안영명,2
1,0,0,1,0,0,0,1,1,0,0,5 이병규,0,장민재,0
0,1,0,0,1,0,1,0,1,0,0,5 이병규,0,박정진,-1
0,0,1,0,0,1,0,1,1,0,0,5 이병규,0,윤규진,2
1,0,0,1,0,0,0,1,1,0,0,6 이병규,0,팻딘,-1
0,1,0,0,1,0,0,1,1,0,0,6 이병규,0,팻딘,-1
0,1,0,0,0,1,0,1,1,0,0,6 이병규,0,팻딘,-1
0,0,1,0,1,0,1,0,1,0,0,6 이병규,0,김윤동,2
1,0,0,1,0,0,0,1,1,0,0,6 이병규,0,양현종,1
0,1,0,1,0,0,0,1,1,0,0,6 이병규,0,양현종,1
