1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,1,0,0,1 전준우,-1,맨쉽,-1
0,1,0,1,0,0,0,1,1,0,0,1 전준우,-1,맨쉽,-1
0,1,0,0,1,0,0,1,1,0,0,1 전준우,-1,맨쉽,-1
0,0,1,0,1,0,1,0,0,1,0,1 전준우,-1,원종현,-1
1,0,0,1,0,0,0,1,0,1,0,1 전준우,-1,이재학,5
1,0,0,0,0,1,1,0,1,0,0,1 전준우,-1,이재학,5
0,1,0,0,0,1,0,1,1,0,0,1 전준우,-1,장현식,-1
0,0,1,1,0,0,0,1,1,0,0,1 전준우,-1,장현식,-1
0,0,1,0,0,1,1,0,0,1,0,1 전준우,-1,이형범,-1
1,0,0,1,0,0,0,1,1,0,0,1 전준우,-1,구창모,-1
1,0,0,0,1,0,0,1,1,0,0,1 전준우,-1,구창모,-1
0,1,0,0,0,1,0,1,1,0,0,1 전준우,-1,구창모,-1
0,0,1,1,0,0,0,1,0,0,1,1 전준우,-1,원종현,-1
0,0,1,0,0,1,0,1,0,1,0,1 전준우,-1,최성영,-1
1,0,0,1,0,0,0,1,0,1,0,1 전준우,-1,최원태,-1
1,0,0,1,0,0,0,1,0,1,0,1 전준우,-1,최원태,-1
0,1,0,1,0,0,0,1,1,0,0,1 전준우,-1,최원태,-1
0,0,1,1,0,0,0,1,1,0,0,1 전준우,-1,한현희,-1
1,0,0,1,0,0,0,1,1,0,0,1 전준우,-1,오주원,0
1,0,0,1,0,0,0,1,0,1,0,1 전준우,-1,오주원,0
0,1,0,0,0,1,0,1,1,0,0,1 전준우,-1,오주원,0
0,0,1,1,0,0,0,1,0,1,0,1 전준우,-1,박주현,-1
0,0,1,0,0,1,0,1,0,1,0,1 전준우,-1,박주현,-1
1,0,0,1,0,0,0,1,1,0,0,1 전준우,-1,류제국,-1
1,0,0,1,0,0,0,1,0,1,0,1 전준우,-1,류제국,-1
0,1,0,0,0,1,0,1,0,1,0,1 전준우,-1,류제국,-1
0,1,0,0,0,1,0,1,1,0,0,1 전준우,-1,류제국,-1
0,0,1,0,0,1,0,1,1,0,0,1 전준우,-1,신정락,-1
1,0,0,1,0,0,0,1,1,0,0,1 전준우,-1,윤지웅,4
1,0,0,1,0,0,0,1,1,0,0,1 전준우,-1,윤지웅,4
0,1,0,1,0,0,0,1,1,0,0,1 전준우,-1,윤지웅,4
0,0,1,0,1,0,0,1,1,0,0,1 전준우,-1,김대현,-1
0,0,1,1,0,0,1,0,1,0,0,1 전준우,-1,정찬헌,3
1,0,0,1,0,0,0,1,1,0,0,1 전준우,-1,임찬규,-1
1,0,0,1,0,0,0,1,1,0,0,1 전준우,-1,임찬규,-1
0,1,0,0,1,0,0,1,0,0,1,1 전준우,-1,임찬규,-1
0,1,0,0,0,1,0,1,0,1,0,1 전준우,-1,최동환,2
0,0,1,0,0,1,0,1,0,1,0,1 전준우,-1,최성훈,-1
1,0,0,0,1,0,0,1,1,0,0,6 전준우,-1,박종훈,-1
0,1,0,0,0,1,1,0,0,1,0,6 전준우,-1,박종훈,-1
0,0,1,1,0,0,0,1,1,0,0,6 전준우,-1,박종훈,-1
0,0,1,1,0,0,1,0,1,0,0,6 전준우,-1,박정배,0
0,0,1,0,0,1,1,0,0,0,1,6 전준우,-1,박희수,2
1,0,0,0,1,0,1,0,1,0,0,3 전준우,-1,켈리,-1
1,0,0,0,0,1,1,0,1,0,0,3 전준우,-1,켈리,-1
0,1,0,0,0,1,0,1,1,0,0,3 전준우,-1,켈리,-1
0,0,1,0,1,0,0,1,0,1,0,3 전준우,-1,켈리,-1
1,0,0,0,1,0,0,1,1,0,0,3 전준우,-1,윤희상,0
1,0,0,0,1,0,1,0,0,1,0,3 전준우,-1,윤희상,0
0,1,0,1,0,0,0,1,0,0,1,3 전준우,-1,윤희상,0
0,1,0,1,0,0,1,0,1,0,0,3 전준우,-1,신재웅,0
0,1,0,0,0,1,0,1,1,0,0,3 전준우,-1,김찬호,-1
1,0,0,0,0,1,0,1,1,0,0,3 전준우,-1,양현종,1
0,1,0,1,0,0,0,1,0,1,0,3 전준우,-1,양현종,1
0,1,0,0,1,0,0,1,0,1,0,3 전준우,-1,양현종,1
0,1,0,0,0,1,0,1,1,0,0,3 전준우,-1,한승혁,3
1,0,0,0,1,0,1,0,1,0,0,3 전준우,-1,김진우,-1
1,0,0,0,1,0,0,1,1,0,0,3 전준우,-1,김진우,-1
0,1,0,1,0,0,0,1,1,0,0,3 전준우,-1,김진우,-1
0,1,0,0,1,0,1,0,0,1,0,3 전준우,-1,고효준,2
0,0,1,0,0,1,0,1,1,0,0,3 전준우,-1,홍건희,-1
1,0,0,0,0,1,0,1,1,0,0,3 전준우,-1,팻딘,-1
1,0,0,0,1,0,1,0,1,0,0,3 전준우,-1,팻딘,-1
0,1,0,0,1,0,0,1,1,0,0,3 전준우,-1,팻딘,-1
0,0,1,0,1,0,1,0,1,0,0,3 전준우,-1,김윤동,-1
0,0,1,0,1,0,0,1,1,0,0,3 전준우,-1,임창용,3
1,0,0,0,1,0,1,0,1,0,0,3 전준우,-1,윤성환,5
0,1,0,1,0,0,0,1,0,1,0,3 전준우,-1,윤성환,5
0,0,1,1,0,0,0,1,0,1,0,3 전준우,-1,윤성환,5
0,0,1,0,1,0,0,1,0,1,0,3 전준우,-1,김승현,-1
1,0,0,0,1,0,1,0,0,0,1,3 전준우,-1,레나도,-1
1,0,0,0,1,0,0,1,1,0,0,3 전준우,-1,레나도,-1
0,1,0,0,0,1,0,1,1,0,0,3 전준우,-1,레나도,-1
0,0,1,0,1,0,0,1,0,0,1,3 전준우,-1,장원삼,0
0,0,1,1,0,0,0,1,0,1,0,3 전준우,-1,이승현,-1
1,0,0,0,0,1,0,1,1,0,0,3 전준우,-1,우규민,0
0,1,0,1,0,0,1,0,1,0,0,3 전준우,-1,우규민,0
0,1,0,0,0,1,0,1,1,0,0,3 전준우,-1,우규민,0
1,0,0,1,0,0,0,1,0,1,0,1 전준우,-1,김사율,0
1,0,0,0,0,1,0,1,1,0,0,1 전준우,-1,김사율,0
0,1,0,0,1,0,0,1,1,0,0,1 전준우,-1,김사율,0
0,0,1,1,0,0,1,0,0,1,0,1 전준우,-1,강장산,-1
0,0,1,1,0,0,1,0,1,0,0,1 전준우,-1,심재민,-1
1,0,0,1,0,0,0,1,1,0,0,1 전준우,-1,피어밴드,-1
0,1,0,1,0,0,0,1,1,0,0,1 전준우,-1,피어밴드,-1
0,1,0,0,1,0,0,1,0,1,0,1 전준우,-1,피어밴드,-1
1,0,0,0,1,0,0,1,1,0,0,5 전준우,-1,주권,-1
1,0,0,0,1,0,0,1,0,1,0,5 전준우,-1,주권,-1
0,1,0,0,0,1,1,0,1,0,0,5 전준우,-1,엄상백,-1
0,1,0,0,0,1,0,1,0,1,0,5 전준우,-1,심재민,-1
0,0,1,0,0,1,1,0,1,0,0,5 전준우,-1,강장산,-1
1,0,0,1,0,0,0,1,1,0,0,5 전준우,-1,이형범,-1
1,0,0,0,0,1,0,1,0,1,0,5 전준우,-1,이형범,-1
0,1,0,1,0,0,1,0,1,0,0,5 전준우,-1,이민호,0
0,1,0,0,0,1,1,0,1,0,0,5 전준우,-1,장현식,-1
0,0,1,1,0,0,0,1,1,0,0,5 전준우,-1,장현식,-1
1,0,0,0,1,0,0,1,0,1,0,5 전준우,-1,최금강,0
