3,4,5,6,7,8,9,10,11,1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_1,base_2,base_3,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,5 Á¤ÈÆ,0,ÃÖ¼º¿µ,A
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,5 Á¤ÈÆ,0,¹ÚÁÖÇö,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,8 Á¤ÈÆ,0,ÁøÇØ¼ö,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,8 Á¤ÈÆ,0,Á¤ÂùÇå,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,8 Á¤ÈÆ,0,ÄÌ¸®,A
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,8 Á¤ÈÆ,0,¼­Áø¿ë,A
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,8 Á¤ÈÆ,0,Ã¤º´¿ë,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,8 Á¤ÈÆ,0,ÀåÇÊÁØ,A
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,9 Á¤ÈÆ,0,ÀÌ¹ÎÈ£,A
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,4 Á¤ÈÆ,0,¿øÁ¾Çö,A
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,2 Á¤ÈÆ,0,À±¼öÈ£,A
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2 Á¤ÈÆ,0,ÀÓÃ¢¹Î,A
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,7 Á¤ÈÆ,0,ÃÖ¿øÅÂ,A
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,7 Á¤ÈÆ,0,ÃÖ¿øÅÂ,A
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,7 Á¤ÈÆ,0,ÀÌº¸±Ù,A
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,8 Á¤ÈÆ,0,½ÅÀç¿µ,A
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,8 Á¤ÈÆ,0,½ÅÀç¿µ,A
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,8 Á¤ÈÆ,0,½ÅÀç¿µ,A
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,8 Á¤ÈÆ,0,Á¶»ó¿ì,A
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,8 Á¤ÈÆ,0,Á¶»ó¿ì,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,8 Á¤ÈÆ,0,±è»ó¼ö,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,8 Á¤ÈÆ,0,¾çÈÆ,A
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,7 Á¤ÈÆ,0,ºñ¾ß´©¿¡¹Ù,A
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,7 Á¤ÈÆ,0,ºñ¾ß´©¿¡¹Ù,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,7 Á¤ÈÆ,0,¼ÛÃ¢½Ä,A
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,7 Á¤ÈÆ,0,¾È¿µ¸í,A
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,7 Á¤ÈÆ,0,Àå¹ÎÀç,A
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,7 Á¤ÈÆ,0,Àå¹ÎÀç,A
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,7 Á¤ÈÆ,0,¹è¿µ¼ö,A
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,7 Á¤ÈÆ,0,¹è¿µ¼ö,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,7 Á¤ÈÆ,0,¼ÛÃ¢½Ä,A
