1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,0,1,0,1,1,0,0,3 채태인,4,소사,-1
0,1,0,0,1,0,1,0,1,0,0,3 채태인,4,소사,-1
0,1,0,0,1,0,0,1,1,0,0,3 채태인,4,소사,-1
1,0,0,0,1,0,1,0,1,0,0,3 채태인,4,류제국,1
0,1,0,1,0,0,0,1,1,0,0,3 채태인,4,류제국,1
0,1,0,0,0,1,0,1,0,1,0,3 채태인,4,류제국,1
0,0,1,1,0,0,1,0,1,0,0,3 채태인,4,김지용,5
0,0,1,0,0,1,0,1,0,1,0,3 채태인,4,최성훈,5
1,0,0,0,0,1,0,1,1,0,0,3 채태인,4,윤지웅,5
0,1,0,0,0,1,0,1,1,0,0,3 채태인,4,윤지웅,5
0,1,0,0,0,1,0,1,1,0,0,3 채태인,4,진해수,3
0,0,1,1,0,0,0,1,1,0,0,3 채태인,4,최성훈,5
1,0,0,0,0,1,0,1,0,1,0,5 채태인,4,박세웅,1
0,1,0,0,1,0,0,1,0,1,0,5 채태인,4,박세웅,1
0,1,0,0,1,0,0,1,0,1,0,5 채태인,4,박세웅,1
0,0,1,0,1,0,0,1,1,0,0,5 채태인,4,박시영,5
1,0,0,1,0,0,0,1,1,0,0,5 채태인,4,니퍼트,4
0,1,0,1,0,0,1,0,1,0,0,5 채태인,4,니퍼트,4
0,1,0,0,0,1,1,0,0,1,0,5 채태인,4,니퍼트,4
0,0,1,0,1,0,1,0,1,0,0,5 채태인,4,이현호,5
0,0,1,0,0,1,1,0,1,0,0,5 채태인,4,홍상삼,3
1,0,0,1,0,0,1,0,0,1,0,5 채태인,4,유희관,4
1,0,0,0,0,1,1,0,1,0,0,5 채태인,4,유희관,4
0,1,0,0,1,0,1,0,1,0,0,5 채태인,4,유희관,4
0,0,1,0,1,0,1,0,0,1,0,5 채태인,4,이용찬,1
0,0,1,0,1,0,1,0,1,0,0,5 채태인,4,김승회,2
1,0,0,1,0,0,1,0,0,0,1,5 채태인,4,고원준,-1
