1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,0,1,0,6 권희동,2,레일리,1
0,1,0,0,1,0,1,0,0,0,1,6 권희동,2,레일리,1
0,1,0,0,1,0,1,0,0,1,0,6 권희동,2,레일리,1
0,0,1,0,1,0,1,0,1,0,0,6 권희동,2,배장호,2
1,0,0,0,0,1,0,1,0,1,0,6 권희동,2,김원중,0
0,1,0,0,0,1,1,0,0,1,0,6 권희동,2,김원중,0
0,1,0,0,0,1,0,1,0,0,1,6 권희동,2,박시영,3
0,0,1,0,1,0,0,1,1,0,0,6 권희동,2,손승락,1
1,0,0,1,0,0,1,0,1,0,0,6 권희동,2,박진형,2
0,1,0,0,0,1,1,0,0,0,1,6 권희동,2,박진형,2
0,1,0,0,1,0,1,0,0,1,0,6 권희동,2,배장호,2
0,0,1,0,0,1,0,1,1,0,0,6 권희동,2,송승준,2
1,0,0,1,0,0,1,0,1,0,0,5 권희동,2,배영수,2
0,1,0,0,1,0,0,1,1,0,0,5 권희동,2,배영수,2
0,1,0,0,0,1,0,1,0,1,0,5 권희동,2,배영수,2
0,0,1,1,0,0,0,1,1,0,0,5 권희동,2,송창식,0
1,0,0,0,1,0,0,1,0,1,0,6 권희동,2,오간도,-1
1,0,0,0,1,0,1,0,0,1,0,6 권희동,2,오간도,-1
0,1,0,0,0,1,0,1,1,0,0,6 권희동,2,오간도,-1
0,0,1,0,1,0,0,1,1,0,0,6 권희동,2,심수창,0
1,0,0,0,1,0,0,1,0,0,1,6 권희동,2,김주한,2
1,0,0,0,0,1,0,1,0,0,1,6 권희동,2,김주한,2
0,1,0,0,0,1,0,1,1,0,0,6 권희동,2,김성민,2
0,0,1,0,0,1,0,1,0,1,0,6 권희동,2,채병용,2
1,0,0,0,0,1,0,1,0,0,1,6 권희동,2,윤희상,2
0,1,0,0,1,0,0,1,0,0,1,6 권희동,2,윤희상,2
0,0,1,1,0,0,0,1,1,0,0,6 권희동,2,박정배,2
0,0,1,1,0,0,0,1,1,0,0,6 권희동,2,문광은,3
1,0,0,1,0,0,1,0,0,1,0,5 권희동,2,문승원,0
1,0,0,0,0,1,0,1,1,0,0,5 권희동,2,문승원,0
0,1,0,0,0,1,0,1,1,0,0,5 권희동,2,문승원,0
0,1,0,0,0,1,0,1,0,1,0,5 권희동,2,채병용,2
0,0,1,1,0,0,0,1,1,0,0,5 권희동,2,서진용,2
1,0,0,0,1,0,0,1,1,0,0,5 권희동,2,차우찬,2
0,1,0,0,1,0,1,0,1,0,0,5 권희동,2,차우찬,2
0,1,0,0,1,0,1,0,1,0,0,5 권희동,2,차우찬,2
0,0,1,0,1,0,1,0,1,0,0,5 권희동,2,김지용,2
1,0,0,0,0,1,1,0,0,1,0,5 권희동,2,소사,-1
0,1,0,1,0,0,1,0,1,0,0,5 권희동,2,소사,-1
0,1,0,0,1,0,1,0,0,1,0,5 권희동,2,소사,-1
0,0,1,0,1,0,0,1,1,0,0,5 권희동,2,신정락,0
1,0,0,0,1,0,0,1,1,0,0,5 권희동,2,윤지웅,2
0,1,0,1,0,0,0,1,1,0,0,5 권희동,2,윤지웅,2
0,1,0,0,0,1,0,1,1,0,0,5 권희동,2,김대현,3
0,0,1,0,0,1,1,0,1,0,0,5 권희동,2,정찬헌,2
1,0,0,1,0,0,0,1,0,0,1,5 권희동,2,유희관,2
0,1,0,1,0,0,0,1,1,0,0,5 권희동,2,유희관,2
0,1,0,0,0,1,1,0,1,0,0,5 권희동,2,유희관,2
0,0,1,0,0,1,0,1,1,0,0,5 권희동,2,유희관,2
1,0,0,1,0,0,0,1,1,0,0,5 권희동,2,김명신,-1
0,1,0,1,0,0,0,1,1,0,0,5 권희동,2,김명신,-1
0,1,0,1,0,0,0,1,0,1,0,5 권희동,2,김성배,-1
0,0,1,0,0,1,0,1,0,1,0,5 권희동,2,김승회,2
1,0,0,0,0,1,1,0,1,0,0,5 권희동,2,장원준,2
1,0,0,1,0,0,1,0,1,0,0,5 권희동,2,장원준,2
0,1,0,1,0,0,0,1,1,0,0,5 권희동,2,장원준,2
0,0,1,0,0,1,0,1,1,0,0,5 권희동,2,김강률,2
1,0,0,0,0,1,0,1,1,0,0,5 권희동,2,레일리,1
1,0,0,0,1,0,0,1,1,0,0,5 권희동,2,레일리,1
0,1,0,0,0,1,0,1,0,1,0,5 권희동,2,레일리,1
0,0,1,0,1,0,0,1,0,1,0,5 권희동,2,박시영,3
0,0,1,1,0,0,0,1,1,0,0,5 권희동,2,이정민,-1
1,0,0,1,0,0,0,1,0,1,0,5 권희동,2,김원중,0
1,0,0,1,0,0,1,0,1,0,0,5 권희동,2,김원중,0
0,1,0,0,0,1,0,1,1,0,0,5 권희동,2,김원중,0
0,0,1,1,0,0,0,1,1,0,0,5 권희동,2,송승준,2
0,0,1,0,1,0,0,1,0,1,0,5 권희동,2,김유영,-1
1,0,0,1,0,0,1,0,1,0,0,5 권희동,2,박진형,2
0,1,0,0,0,1,0,1,1,0,0,5 권희동,2,박진형,2
0,1,0,0,0,1,1,0,0,1,0,5 권희동,2,박진형,2
0,0,1,0,1,0,0,1,1,0,0,5 권희동,2,장시환,0
1,0,0,1,0,0,0,1,1,0,0,5 권희동,2,최충연,0
0,1,0,0,0,1,0,1,1,0,0,5 권희동,2,최충연,0
0,1,0,0,1,0,0,1,1,0,0,5 권희동,2,권오준,1
0,0,1,1,0,0,0,1,0,1,0,5 권희동,2,장필준,1
1,0,0,0,1,0,0,1,0,0,1,5 권희동,2,장원삼,2
1,0,0,0,0,1,0,1,0,0,1,5 권희동,2,장원삼,2
0,1,0,0,1,0,0,1,0,0,1,5 권희동,2,김대우,0
0,1,0,1,0,0,0,1,0,1,0,5 권희동,2,이수민,-1
0,0,1,1,0,0,1,0,1,0,0,5 권희동,2,김시현,-1
0,0,1,0,1,0,0,1,1,0,0,5 권희동,2,김승현,2
1,0,0,1,0,0,0,1,1,0,0,5 권희동,2,페트릭,-1
1,0,0,0,0,1,0,1,0,0,1,5 권희동,2,페트릭,-1
0,1,0,1,0,0,0,1,1,0,0,5 권희동,2,페트릭,-1
0,0,1,0,1,0,0,1,1,0,0,5 권희동,2,장필준,1
1,0,0,0,1,0,0,1,0,1,0,5 권희동,2,로치,-1
0,1,0,0,1,0,1,0,1,0,0,5 권희동,2,로치,-1
0,1,0,0,0,1,0,1,1,0,0,5 권희동,2,로치,-1
1,0,0,1,0,0,0,1,1,0,0,5 권희동,2,정대현,-1
1,0,0,0,1,0,0,1,1,0,0,5 권희동,2,정대현,-1
0,1,0,0,0,1,1,0,1,0,0,5 권희동,2,정대현,-1
0,0,1,0,0,1,0,1,0,1,0,5 권희동,2,배제성,0
1,0,0,0,0,1,1,0,1,0,0,5 권희동,2,피어밴드,1
1,0,0,0,0,1,0,1,1,0,0,5 권희동,2,피어밴드,1
0,1,0,0,1,0,0,1,1,0,0,5 권희동,2,피어밴드,1
0,0,1,0,0,1,1,0,1,0,0,5 권희동,2,이상화,0
1,0,0,0,0,1,1,0,0,1,0,5 권희동,2,양현종,1
0,1,0,1,0,0,0,1,1,0,0,5 권희동,2,양현종,1
0,1,0,0,0,1,0,1,1,0,0,5 권희동,2,양현종,1
0,0,1,0,0,1,0,1,1,0,0,5 권희동,2,심동섭,-1
1,0,0,1,0,0,1,0,1,0,0,5 권희동,2,김진우,-1
0,1,0,0,1,0,0,1,0,0,1,5 권희동,2,김진우,-1
0,0,1,0,0,1,1,0,1,0,0,1 권희동,2,심동섭,-1
1,0,0,0,0,1,0,1,0,1,0,6 권희동,2,류제국,2
0,1,0,0,1,0,0,1,1,0,0,6 권희동,2,류제국,2
0,0,1,0,1,0,1,0,1,0,0,6 권희동,2,류제국,2
1,0,0,1,0,0,0,1,1,0,0,6 권희동,2,임찬규,0
0,1,0,1,0,0,0,1,1,0,0,6 권희동,2,임찬규,0
0,0,1,1,0,0,0,1,1,0,0,6 권희동,2,정찬헌,2
1,0,0,0,0,1,0,1,1,0,0,5 권희동,2,차우찬,2
1,0,0,0,0,1,0,1,0,1,0,5 권희동,2,차우찬,2
0,1,0,1,0,0,0,1,1,0,0,5 권희동,2,차우찬,2
0,0,1,0,0,1,1,0,1,0,0,5 권희동,2,최동환,0
1,0,0,0,0,1,0,1,1,0,0,6 권희동,2,페트릭,-1
0,1,0,0,1,0,0,1,0,1,0,6 권희동,2,페트릭,-1
0,1,0,0,0,1,0,1,1,0,0,6 권희동,2,페트릭,-1
0,0,1,0,0,1,1,0,1,0,0,6 권희동,2,권오준,1
0,0,1,1,0,0,1,0,1,0,0,2 권희동,2,백정현,0
0,0,1,0,1,0,1,0,1,0,0,2 권희동,2,김시현,-1
1,0,0,1,0,0,0,1,0,0,1,7 권희동,2,우규민,1
1,0,0,0,0,1,1,0,1,0,0,7 권희동,2,우규민,1
0,1,0,0,0,1,0,1,0,0,1,7 권희동,2,김승현,2
0,1,0,0,1,0,1,0,1,0,0,7 권희동,2,이승현,2
0,0,1,0,0,1,1,0,0,1,0,7 권희동,2,심창민,-1
1,0,0,1,0,0,0,1,0,1,0,7 권희동,2,최원태,1
0,1,0,1,0,0,0,1,1,0,0,7 권희동,2,최원태,1
0,1,0,0,0,1,0,1,1,0,0,7 권희동,2,최원태,1
1,0,0,0,0,1,0,1,0,0,1,7 권희동,2,신재영,2
0,1,0,1,0,0,0,1,1,0,0,7 권희동,2,신재영,2
0,0,1,0,1,0,1,0,0,1,0,7 권희동,2,신재영,2
0,0,1,0,0,1,0,1,1,0,0,2 권희동,2,홍성용,-1
0,0,1,0,1,0,0,1,0,0,1,2 권희동,2,배제성,0
1,0,0,0,0,1,0,1,0,1,0,6 권희동,2,고영표,-1
0,1,0,0,1,0,0,1,1,0,0,6 권희동,2,고영표,-1
0,0,1,1,0,0,0,1,0,1,0,6 권희동,2,고영표,-1
0,0,1,0,0,1,1,0,1,0,0,6 권희동,2,배우열,0
1,0,0,1,0,0,1,0,1,0,0,5 권희동,2,정성곤,0
0,1,0,0,0,1,1,0,0,1,0,5 권희동,2,정성곤,0
0,1,0,0,0,1,0,1,0,1,0,5 권희동,2,심재민,-1
0,0,1,1,0,0,0,1,1,0,0,5 권희동,2,홍성용,-1
1,0,0,1,0,0,0,1,0,1,0,5 권희동,2,니퍼트,1
0,1,0,1,0,0,1,0,0,1,0,5 권희동,2,니퍼트,1
0,1,0,1,0,0,0,1,1,0,0,5 권희동,2,니퍼트,1
0,0,1,0,1,0,0,1,1,0,0,5 권희동,2,김승회,2
1,0,0,0,0,1,0,1,1,0,0,5 권희동,2,장원준,2
1,0,0,0,1,0,0,1,1,0,0,5 권희동,2,장원준,2
0,1,0,1,0,0,0,1,0,1,0,5 권희동,2,김승회,2
0,0,1,0,1,0,0,1,0,1,0,5 권희동,2,김강률,2
1,0,0,0,1,0,1,0,0,0,1,5 권희동,2,함덕주,1
1,0,0,1,0,0,0,1,1,0,0,5 권희동,2,함덕주,1
0,1,0,1,0,0,0,1,1,0,0,5 권희동,2,김승회,2
0,0,1,1,0,0,0,1,1,0,0,5 권희동,2,이현승,2
1,0,0,0,1,0,0,1,0,0,1,5 권희동,2,윤희상,2
0,1,0,0,1,0,0,1,1,0,0,5 권희동,2,윤희상,2
0,1,0,0,0,1,1,0,1,0,0,5 권희동,2,윤희상,2
0,0,1,1,0,0,1,0,1,0,0,5 권희동,2,허건엽,-1
1,0,0,1,0,0,0,1,1,0,0,6 권희동,2,김태훈,2
0,1,0,1,0,0,0,1,1,0,0,6 권희동,2,김태훈,2
0,1,0,0,1,0,1,0,1,0,0,6 권희동,2,문광은,3
0,0,1,0,1,0,0,1,1,0,0,6 권희동,2,김주한,2
1,0,0,0,1,0,0,1,1,0,0,6 권희동,2,문승원,0
0,1,0,1,0,0,0,1,1,0,0,6 권희동,2,문승원,0
0,0,1,1,0,0,1,0,0,1,0,6 권희동,2,채병용,2
0,0,1,1,0,0,1,0,1,0,0,6 권희동,2,박정배,2
0,0,1,0,0,1,0,1,1,0,0,6 권희동,2,박희수,4
1,0,0,0,1,0,0,1,0,0,1,5 권희동,2,신재영,2
1,0,0,1,0,0,1,0,0,1,0,5 권희동,2,하영민,0
0,1,0,0,0,1,0,1,0,0,1,5 권희동,2,하영민,0
0,1,0,0,1,0,0,1,1,0,0,5 권희동,2,마정길,-1
1,0,0,0,1,0,1,0,1,0,0,5 권희동,2,브리검,1
1,0,0,0,1,0,1,0,1,0,0,5 권희동,2,브리검,1
0,1,0,0,1,0,0,1,0,0,1,5 권희동,2,브리검,1
0,0,1,0,1,0,0,1,0,0,1,5 권희동,2,오주원,2
0,0,1,0,1,0,1,0,1,0,0,5 권희동,2,금민철,2
1,0,0,0,1,0,1,0,0,1,0,5 권희동,2,조상우,4
1,0,0,0,0,1,0,1,1,0,0,5 권희동,2,조상우,4
0,1,0,0,0,1,0,1,0,1,0,5 권희동,2,조상우,4
0,0,1,0,1,0,0,1,1,0,0,5 권희동,2,황덕균,-1
0,0,1,0,0,1,0,1,1,0,0,5 권희동,2,황덕균,-1
1,0,0,0,0,1,0,1,0,0,1,5 권희동,2,윤규진,2
1,0,0,0,1,0,0,1,1,0,0,5 권희동,2,윤규진,2
0,1,0,0,0,1,0,1,0,0,1,5 권희동,2,윤규진,2
0,0,1,0,1,0,0,1,0,0,1,5 권희동,2,송은범,2
1,0,0,0,1,0,1,0,1,0,0,5 권희동,2,안영명,2
1,0,0,0,0,1,1,0,1,0,0,5 권희동,2,장민재,0
0,1,0,1,0,0,0,1,0,0,1,5 권희동,2,장민재,0
0,0,1,0,1,0,0,1,1,0,0,5 권희동,2,권혁,1
1,0,0,0,1,0,0,1,1,0,0,5 권희동,2,배영수,2
0,1,0,0,1,0,0,1,1,0,0,5 권희동,2,배영수,2
0,1,0,0,0,1,0,1,1,0,0,5 권희동,2,배영수,2
0,0,1,0,0,1,0,1,1,0,0,5 권희동,2,박정진,-1
1,0,0,0,0,1,1,0,1,0,0,7 권희동,2,임기영,0
0,1,0,1,0,0,0,1,1,0,0,7 권희동,2,임기영,0
0,0,1,1,0,0,0,1,0,0,1,7 권희동,2,김윤동,2
1,0,0,1,0,0,0,1,1,0,0,4 권희동,2,헥터,-1
0,1,0,0,1,0,0,1,0,0,1,4 권희동,2,헥터,-1
0,1,0,0,1,0,0,1,1,0,0,4 권희동,2,헥터,-1
0,0,1,1,0,0,1,0,1,0,0,4 권희동,2,김윤동,2
1,0,0,0,1,0,0,1,0,0,1,6 권희동,2,양현종,1
1,0,0,0,0,1,0,1,1,0,0,6 권희동,2,양현종,1
0,1,0,0,0,1,1,0,0,1,0,2 권희동,2,임찬규,0
0,1,0,0,1,0,0,1,1,0,0,2 권희동,2,신정락,0
0,0,1,1,0,0,0,1,1,0,0,2 권희동,2,김대현,3
1,0,0,1,0,0,0,1,0,1,0,6 권희동,2,차우찬,2
0,1,0,1,0,0,0,1,1,0,0,6 권희동,2,차우찬,2
0,1,0,0,0,1,0,1,0,1,0,6 권희동,2,차우찬,2
0,0,1,1,0,0,1,0,1,0,0,6 권희동,2,김지용,2
1,0,0,0,0,1,1,0,1,0,0,6 권희동,2,류제국,2
1,0,0,0,1,0,1,0,1,0,0,6 권희동,2,류제국,2
0,1,0,0,0,1,1,0,1,0,0,6 권희동,2,정찬헌,2
0,0,1,0,1,0,0,1,1,0,0,6 권희동,2,이동현,1
0,0,1,1,0,0,1,0,0,0,1,6 권희동,2,김지용,2
1,0,0,0,0,1,0,1,1,0,0,7 권희동,2,박세웅,2
0,1,0,1,0,0,0,1,0,0,1,7 권희동,2,박세웅,2
1,0,0,0,0,1,1,0,0,1,0,6 권희동,2,레일리,1
1,0,0,0,0,1,0,1,0,0,1,6 권희동,2,레일리,1
0,1,0,0,1,0,0,1,1,0,0,6 권희동,2,배장호,2
0,1,0,0,1,0,0,1,1,0,0,6 권희동,2,김유영,-1
0,0,1,0,1,0,1,0,0,1,0,6 권희동,2,이명우,-1
1,0,0,0,1,0,1,0,0,1,0,6 권희동,2,애디튼,-1
1,0,0,1,0,0,0,1,0,1,0,6 권희동,2,애디튼,-1
0,1,0,0,1,0,1,0,1,0,0,6 권희동,2,애디튼,-1
0,1,0,1,0,0,0,1,0,1,0,6 권희동,2,노경은,-1
1,0,0,0,0,1,0,1,0,1,0,6 권희동,2,피어밴드,1
0,1,0,1,0,0,0,1,1,0,0,6 권희동,2,피어밴드,1
0,1,0,1,0,0,1,0,1,0,0,6 권희동,2,피어밴드,1
0,0,1,1,0,0,0,1,1,0,0,6 권희동,2,심재민,-1
0,0,1,0,0,1,1,0,1,0,0,6 권희동,2,김재윤,1
1,0,0,0,0,1,0,1,0,1,0,6 권희동,2,주권,0
0,1,0,1,0,0,0,1,0,1,0,6 권희동,2,주권,0
