1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,1,0,0,1 김성욱,0,레일리,2
1,0,0,0,1,0,0,1,1,0,0,1 김성욱,0,레일리,2
0,1,0,0,1,0,0,1,1,0,0,1 김성욱,0,레일리,2
0,1,0,0,0,1,1,0,1,0,0,1 김성욱,0,박시영,5
0,0,1,1,0,0,0,1,1,0,0,1 김성욱,0,윤길현,2
1,0,0,1,0,0,0,1,1,0,0,1 김성욱,0,김원중,3
1,0,0,0,1,0,0,1,1,0,0,1 김성욱,0,김원중,3
0,1,0,0,1,0,1,0,0,1,0,1 김성욱,0,김원중,3
0,0,1,0,0,1,0,1,0,1,0,1 김성욱,0,박시영,5
0,0,1,0,1,0,1,0,1,0,0,1 김성욱,0,손승락,2
1,0,0,1,0,0,0,1,1,0,0,1 김성욱,0,박진형,5
1,0,0,0,1,0,0,1,1,0,0,1 김성욱,0,박진형,5
0,1,0,1,0,0,0,1,1,0,0,1 김성욱,0,배장호,3
0,0,1,1,0,0,0,1,1,0,0,1 김성욱,0,송승준,0
1,0,0,0,1,0,0,1,1,0,0,2 김성욱,0,배영수,0
1,0,0,0,1,0,0,1,1,0,0,2 김성욱,0,배영수,0
0,1,0,0,0,1,0,1,1,0,0,2 김성욱,0,배영수,0
0,0,1,0,0,1,1,0,1,0,0,6 김성욱,0,임준혁,-1
1,0,0,0,1,0,0,1,1,0,0,2 김성욱,0,윤희상,2
0,1,0,1,0,0,0,1,0,1,0,2 김성욱,0,윤희상,2
0,1,0,0,0,1,0,1,1,0,0,2 김성욱,0,윤희상,2
0,0,1,0,1,0,0,1,1,0,0,2 김성욱,0,박희수,3
1,0,0,0,1,0,0,1,1,0,0,2 김성욱,0,차우찬,0
1,0,0,0,0,1,1,0,1,0,0,2 김성욱,0,차우찬,0
0,1,0,1,0,0,1,0,0,0,1,2 김성욱,0,차우찬,0
0,0,1,0,0,1,0,1,1,0,0,2 김성욱,0,차우찬,0
1,0,0,1,0,0,0,1,1,0,0,7 김성욱,0,소사,-1
0,1,0,0,0,1,1,0,1,0,0,7 김성욱,0,소사,-1
0,1,0,0,0,1,0,1,0,0,1,7 김성욱,0,소사,-1
0,0,1,0,1,0,0,1,1,0,0,7 김성욱,0,신정락,3
1,0,0,0,0,1,1,0,1,0,0,7 김성욱,0,윤지웅,5
0,1,0,0,0,1,0,1,0,1,0,7 김성욱,0,윤지웅,5
0,0,1,0,1,0,0,1,1,0,0,7 김성욱,0,김대현,5
1,0,0,0,1,0,1,0,1,0,0,7 김성욱,0,유희관,4
0,1,0,0,0,1,0,1,0,0,1,7 김성욱,0,유희관,4
0,1,0,0,1,0,0,1,1,0,0,7 김성욱,0,유희관,4
0,0,1,1,0,0,1,0,1,0,0,7 김성욱,0,이용찬,1
1,0,0,1,0,0,0,1,1,0,0,1 김성욱,0,김명신,-1
1,0,0,1,0,0,0,1,0,1,0,1 김성욱,0,김명신,-1
0,1,0,0,1,0,0,1,1,0,0,1 김성욱,0,김명신,-1
0,0,1,0,0,1,0,1,0,1,0,1 김성욱,0,김성배,-1
0,0,1,0,1,0,0,1,1,0,0,1 김성욱,0,김강률,3
1,0,0,1,0,0,0,1,0,0,1,6 김성욱,0,장원준,0
1,0,0,0,0,1,0,1,0,0,1,6 김성욱,0,장원준,0
0,1,0,0,1,0,0,1,1,0,0,6 김성욱,0,장원준,0
0,0,1,1,0,0,0,1,1,0,0,6 김성욱,0,김강률,3
0,0,1,1,0,0,1,0,0,1,0,1 김성욱,0,김유영,-1
0,0,1,0,0,1,1,0,1,0,0,2 김성욱,0,김유영,-1
0,0,1,0,0,1,0,1,1,0,0,2 김성욱,0,장시환,3
0,0,1,0,1,0,1,0,1,0,0,1 김성욱,0,배장호,3
0,0,1,0,0,1,0,1,1,0,0,5 김성욱,0,심창민,-1
0,1,0,0,0,1,0,1,1,0,0,1 김성욱,0,이수민,-1
0,0,1,0,0,1,0,1,1,0,0,1 김성욱,0,김승현,6
1,0,0,1,0,0,0,1,1,0,0,1 김성욱,0,정대현,-1
1,0,0,0,0,1,1,0,1,0,0,1 김성욱,0,정대현,-1
0,1,0,1,0,0,0,1,0,1,0,1 김성욱,0,정대현,-1
0,0,1,1,0,0,1,0,1,0,0,1 김성욱,0,배제성,6
0,0,1,0,1,0,0,1,1,0,0,1 김성욱,0,배우열,6
1,0,0,1,0,0,0,1,0,1,0,1 김성욱,0,양현종,0
1,0,0,1,0,0,1,0,1,0,0,1 김성욱,0,양현종,0
0,1,0,0,1,0,0,1,1,0,0,1 김성욱,0,양현종,0
0,0,1,0,0,1,1,0,0,0,1,1 김성욱,0,박지훈,6
1,0,0,1,0,0,0,1,0,0,1,1 김성욱,0,김진우,-1
1,0,0,1,0,0,0,1,1,0,0,1 김성욱,0,김진우,-1
0,1,0,1,0,0,0,1,1,0,0,1 김성욱,0,김진우,-1
0,1,0,0,0,1,0,1,1,0,0,1 김성욱,0,김윤동,5
0,0,1,0,1,0,1,0,0,1,0,1 김성욱,0,김광수,-1
0,0,1,0,1,0,0,1,1,0,0,8 김성욱,0,최동환,5
0,0,1,1,0,0,0,1,1,0,0,1 김성욱,0,고우석,6
0,0,1,1,0,0,1,0,1,0,0,9 김성욱,0,김지용,5
1,0,0,1,0,0,0,1,1,0,0,1 김성욱,0,페트릭,-1
1,0,0,0,0,1,1,0,0,1,0,1 김성욱,0,페트릭,-1
0,1,0,0,0,1,0,1,0,1,0,1 김성욱,0,페트릭,-1
0,1,0,0,0,1,0,1,1,0,0,1 김성욱,0,페트릭,-1
1,0,0,1,0,0,1,0,1,0,0,2 김성욱,0,최지광,6
1,0,0,0,1,0,0,1,1,0,0,2 김성욱,0,최지광,6
0,1,0,0,0,1,0,1,1,0,0,2 김성욱,0,백정현,1
0,0,1,1,0,0,0,1,1,0,0,1 김성욱,0,이승현,5
0,0,1,0,0,1,0,1,1,0,0,1 김성욱,0,김상수,1
0,0,1,1,0,0,0,1,1,0,0,6 김성욱,0,이보근,1
0,0,1,0,1,0,0,1,1,0,0,1 김성욱,0,홍성용,-1
0,0,1,1,0,0,0,1,1,0,0,1 김성욱,0,배제성,6
0,0,1,0,0,1,0,1,1,0,0,2 김성욱,0,심재민,-1
1,0,0,1,0,0,0,1,1,0,0,1 김성욱,0,정성곤,3
0,1,0,1,0,0,0,1,1,0,0,1 김성욱,0,정성곤,3
0,1,0,0,1,0,0,1,1,0,0,1 김성욱,0,정성곤,3
1,0,0,0,1,0,0,1,1,0,0,3 김성욱,0,장민재,3
0,1,0,0,0,1,0,1,0,1,0,3 김성욱,0,장민재,3
0,0,1,0,0,1,0,1,1,0,0,3 김성욱,0,송창식,2
1,0,0,0,1,0,0,1,1,0,0,2 김성욱,0,배영수,0
1,0,0,0,1,0,1,0,1,0,0,2 김성욱,0,배영수,0
0,1,0,0,1,0,0,1,1,0,0,2 김성욱,0,배영수,0
0,0,1,1,0,0,1,0,1,0,0,2 김성욱,0,박정진,-1
1,0,0,0,1,0,1,0,0,1,0,3 김성욱,0,임기영,3
1,0,0,1,0,0,1,0,0,1,0,3 김성욱,0,임기영,3
0,1,0,0,0,1,0,1,0,1,0,3 김성욱,0,임기영,3
0,0,1,0,0,1,1,0,0,1,0,3 김성욱,0,최영필,-1
0,0,1,0,0,1,0,1,1,0,0,3 김성욱,0,임창용,-1
1,0,0,0,0,1,0,1,1,0,0,3 김성욱,0,헥터,-1
0,1,0,1,0,0,0,1,1,0,0,3 김성욱,0,헥터,-1
0,1,0,1,0,0,0,1,1,0,0,3 김성욱,0,헥터,-1
0,0,1,1,0,0,0,1,0,1,0,3 김성욱,0,정용운,6
0,0,1,0,0,1,1,0,1,0,0,3 김성욱,0,최영필,-1
1,0,0,0,1,0,1,0,0,1,0,3 김성욱,0,양현종,0
1,0,0,0,1,0,0,1,0,1,0,3 김성욱,0,양현종,0
0,1,0,1,0,0,1,0,1,0,0,3 김성욱,0,김광수,-1
0,1,0,0,0,1,0,1,1,0,0,3 김성욱,0,고효준,2
0,0,1,0,1,0,1,0,1,0,0,3 김성욱,0,임창용,-1
1,0,0,1,0,0,0,1,1,0,0,7 김성욱,0,임찬규,1
0,1,0,1,0,0,1,0,1,0,0,7 김성욱,0,임찬규,1
0,1,0,1,0,0,0,1,0,1,0,7 김성욱,0,신정락,3
0,0,1,0,1,0,0,1,1,0,0,7 김성욱,0,정찬헌,3
1,0,0,1,0,0,1,0,0,0,1,7 김성욱,0,차우찬,0
0,1,0,0,1,0,0,1,1,0,0,7 김성욱,0,차우찬,0
0,1,0,0,0,1,1,0,1,0,0,7 김성욱,0,차우찬,0
0,0,1,0,1,0,1,0,1,0,0,7 김성욱,0,김지용,5
1,0,0,1,0,0,0,1,0,0,1,7 김성욱,0,류제국,1
1,0,0,0,0,1,1,0,1,0,0,7 김성욱,0,류제국,1
0,1,0,1,0,0,0,1,1,0,0,7 김성욱,0,정찬헌,3
0,0,1,0,0,1,0,1,1,0,0,7 김성욱,0,이동현,2
0,1,0,0,1,0,1,0,1,0,0,7 김성욱,0,윤길현,2
0,0,1,0,0,1,1,0,1,0,0,7 김성욱,0,손승락,2
1,0,0,1,0,0,0,1,0,0,1,8 김성욱,0,레일리,2
0,1,0,1,0,0,0,1,0,0,1,8 김성욱,0,레일리,2
0,1,0,0,0,1,1,0,0,1,0,8 김성욱,0,노경은,-1
0,0,1,1,0,0,0,1,0,1,0,8 김성욱,0,김유영,-1
0,0,1,0,1,0,0,1,1,0,0,8 김성욱,0,이명우,-1
1,0,0,0,1,0,1,0,1,0,0,8 김성욱,0,애디튼,-1
1,0,0,1,0,0,1,0,1,0,0,8 김성욱,0,애디튼,-1
0,1,0,0,0,1,1,0,1,0,0,8 김성욱,0,애디튼,-1
0,1,0,0,1,0,1,0,1,0,0,8 김성욱,0,노경은,-1
0,0,1,0,1,0,0,1,0,1,0,8 김성욱,0,강동호,-1
1,0,0,1,0,0,0,1,0,1,0,8 김성욱,0,피어밴드,1
0,1,0,0,0,1,0,1,0,1,0,8 김성욱,0,피어밴드,1
0,1,0,0,0,1,1,0,0,1,0,8 김성욱,0,피어밴드,1
0,0,1,0,1,0,1,0,1,0,0,8 김성욱,0,심재민,-1
0,0,1,0,1,0,0,1,1,0,0,8 김성욱,0,김재윤,5
1,0,0,0,0,1,1,0,0,1,0,7 김성욱,0,한현희,1
1,0,0,0,1,0,0,1,0,1,0,7 김성욱,0,오윤성,-1
0,1,0,0,1,0,0,1,1,0,0,7 김성욱,0,오윤성,-1
0,1,0,0,0,1,1,0,0,1,0,7 김성욱,0,금민철,2
0,0,1,1,0,0,0,1,0,1,0,7 김성욱,0,금민철,2
1,0,0,0,1,0,0,1,1,0,0,2 김성욱,0,최원태,3
1,0,0,0,0,1,0,1,1,0,0,2 김성욱,0,최원태,3
0,1,0,0,1,0,1,0,1,0,0,2 김성욱,0,최원태,3
0,1,0,0,1,0,1,0,1,0,0,2 김성욱,0,하영민,5
0,0,1,0,1,0,1,0,1,0,0,2 김성욱,0,김상수,1
1,0,0,0,1,0,0,1,1,0,0,8 김성욱,0,신재영,3
0,1,0,0,1,0,1,0,0,1,0,8 김성욱,0,김세현,1
0,1,0,1,0,0,0,1,0,0,1,8 김성욱,0,윤영삼,6
0,0,1,0,0,1,0,1,1,0,0,8 김성욱,0,윤영삼,6
0,0,1,0,0,1,1,0,1,0,0,8 김성욱,0,하영민,5
1,0,0,1,0,0,0,1,1,0,0,8 김성욱,0,이영하,5
0,1,0,0,0,1,0,1,0,1,0,8 김성욱,0,이영하,5
0,1,0,0,0,1,0,1,0,0,1,8 김성욱,0,김강률,3
0,0,1,0,0,1,0,1,0,1,0,8 김성욱,0,임진우,-1
0,0,1,0,1,0,1,0,1,0,0,8 김성욱,0,박치국,6
1,0,0,1,0,0,0,1,0,1,0,6 김성욱,0,장원준,0
0,1,0,1,0,0,0,1,1,0,0,6 김성욱,0,장원준,0
0,1,0,0,0,1,0,1,1,0,0,6 김성욱,0,김승회,2
0,0,1,0,1,0,0,1,1,0,0,6 김성욱,0,김성배,-1
