1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,0,1,0,1,1,0,0,8 김진형,-1,김민우,3
0,0,1,1,0,0,0,1,1,0,0,2 김진형,-1,이명우,-1
0,0,1,0,1,0,0,1,1,0,0,8 김진형,-1,최대성,2
1,0,0,0,0,1,1,0,1,0,0,7 김진형,-1,피어밴드,1
0,1,0,1,0,0,1,0,1,0,0,7 김진형,-1,피어밴드,1
0,0,1,0,0,1,1,0,0,1,0,5 김진형,-1,신재웅,1
0,0,1,1,0,0,0,1,1,0,0,5 김진형,-1,김지용,2
0,0,1,1,0,0,0,1,1,0,0,7 김진형,-1,김선규,-1
1,0,0,1,0,0,1,0,0,0,1,8 김진형,-1,정대현,-1
0,1,0,0,0,1,0,1,0,1,0,8 김진형,-1,심재민,-1
0,1,0,1,0,0,0,1,1,0,0,8 김진형,-1,이윤학,-1
0,0,1,1,0,0,1,0,0,1,0,8 김진형,-1,이윤학,-1
0,0,1,1,0,0,1,0,1,0,0,8 김진형,-1,정성곤,0
0,0,1,0,1,0,0,1,1,0,0,8 김진형,-1,이성민,-1
1,0,0,1,0,0,0,1,0,0,1,7 김진형,-1,시스코,-1
0,0,1,0,0,1,1,0,1,0,0,7 김진형,-1,정우람,4
0,0,1,0,1,0,1,0,0,0,1,3 김진형,-1,심동섭,-1
0,0,1,0,0,1,0,1,1,0,0,3 김진형,-1,최영필,-1
1,0,0,0,0,1,0,1,1,0,0,8 김진형,-1,양현종,1
0,1,0,0,1,0,1,0,1,0,0,8 김진형,-1,양현종,1
0,0,1,0,0,1,0,1,1,0,0,8 김진형,-1,권오준,1
0,0,1,0,1,0,0,1,1,0,0,2 김진형,-1,임정우,2
0,0,1,0,0,1,0,1,0,1,0,3 김진형,-1,김승회,2
0,0,1,0,0,1,0,1,1,0,0,3 김진형,-1,김건한,-1
0,0,1,0,0,1,1,0,1,0,0,3 김진형,-1,김진성,2
0,0,1,0,1,0,1,0,1,0,0,9 김진형,-1,전유수,0
0,0,1,0,0,1,1,0,1,0,0,3 김진형,-1,윤길현,2
0,1,0,0,1,0,0,1,1,0,0,5 김진형,-1,박정진,-1
0,0,1,1,0,0,0,1,1,0,0,2 김진형,-1,차우찬,2
0,0,1,0,0,1,0,1,1,0,0,2 김진형,-1,박근홍,0
1,0,0,0,1,0,0,1,1,0,0,2 김진형,-1,양현종,1
1,0,0,0,1,0,1,0,0,0,1,2 김진형,-1,양현종,1
0,1,0,0,1,0,1,0,1,0,0,2 김진형,-1,양현종,1
0,1,0,0,0,1,1,0,0,1,0,2 김진형,-1,송은범,2
1,0,0,0,1,0,0,1,1,0,0,2 김진형,-1,유창식,-1
1,0,0,0,1,0,0,1,1,0,0,2 김진형,-1,유창식,-1
0,1,0,1,0,0,0,1,1,0,0,2 김진형,-1,유창식,-1
0,1,0,0,0,1,1,0,0,1,0,3 김진형,-1,타투스코,-1
0,1,0,0,0,1,0,1,1,0,0,3 김진형,-1,최영환,3
0,0,1,0,1,0,1,0,1,0,0,3 김진형,-1,정대훈,-1
0,1,0,0,0,1,1,0,1,0,0,5 김진형,-1,우규민,1
0,0,1,0,0,1,0,1,1,0,0,5 김진형,-1,유원상,0
0,0,1,0,0,1,0,1,1,0,0,6 김진형,-1,신정락,0
1,0,0,0,1,0,1,0,1,0,0,9 김진형,-1,여건욱,3
0,1,0,1,0,0,0,1,0,0,1,9 김진형,-1,여건욱,3
0,1,0,0,0,1,0,1,0,1,0,9 김진형,-1,여건욱,3
0,0,1,1,0,0,0,1,0,1,0,9 김진형,-1,전유수,0
1,0,0,1,0,0,1,0,0,1,0,2 김진형,-1,문광은,3
1,0,0,1,0,0,0,1,1,0,0,2 김진형,-1,문광은,3
0,1,0,0,1,0,0,1,1,0,0,2 김진형,-1,문광은,3
0,1,0,0,1,0,0,1,1,0,0,2 김진형,-1,진해수,0
0,0,1,0,1,0,0,1,1,0,0,2 김진형,-1,고효준,0
1,0,0,1,0,0,1,0,1,0,0,2 김진형,-1,김광현,1
1,0,0,1,0,0,0,1,0,1,0,2 김진형,-1,김광현,1
0,1,0,1,0,0,0,1,0,1,0,2 김진형,-1,김광현,1
0,0,1,1,0,0,0,1,1,0,0,2 김진형,-1,전유수,0
0,0,1,0,0,1,0,1,1,0,0,2 김진형,-1,전유수,0
1,0,0,0,1,0,0,1,1,0,0,2 김진형,-1,손민한,-1
0,1,0,1,0,0,1,0,1,0,0,2 김진형,-1,임창민,1
0,1,0,0,1,0,0,1,1,0,0,2 김진형,-1,이혜천,-1
0,0,1,0,1,0,0,1,1,0,0,2 김진형,-1,김진성,2
0,0,1,0,1,0,0,1,0,0,1,2 김진형,-1,박명환,-1
0,0,1,0,1,0,0,1,0,1,0,2 김진형,-1,박명환,-1
