1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,1,0,1,0,0,0,1,1,0,0,7 노진혁,-1,신재영,-1
0,0,1,0,1,0,0,1,1,0,0,7 노진혁,-1,금민철,1
1,0,0,0,1,0,1,0,0,1,0,7 노진혁,-1,김민우,-1
0,1,0,0,1,0,0,1,0,1,0,7 노진혁,-1,강승현,-1
0,0,1,1,0,0,0,1,1,0,0,7 노진혁,-1,박상원,-1
0,0,1,0,1,0,1,0,1,0,0,7 노진혁,-1,정우람,-1
0,0,1,0,1,0,0,1,1,0,0,7 노진혁,-1,이동걸,4
0,0,1,0,1,0,0,1,1,0,0,8 노진혁,-1,손승락,0
0,0,1,1,0,0,1,0,1,0,0,8 노진혁,-1,이명우,0
1,0,0,0,0,1,1,0,0,1,0,6 노진혁,-1,송승준,3
0,1,0,0,0,1,0,1,0,1,0,6 노진혁,-1,김원중,-1
0,1,0,0,0,1,0,1,0,1,0,6 노진혁,-1,장시환,2
0,0,1,0,0,1,0,1,0,1,0,6 노진혁,-1,김유영,-1
1,0,0,0,1,0,1,0,1,0,0,7 노진혁,-1,린드블럼,-1
0,1,0,0,1,0,1,0,1,0,0,7 노진혁,-1,린드블럼,-1
0,0,1,0,1,0,0,1,1,0,0,7 노진혁,-1,린드블럼,-1
0,0,1,0,0,1,1,0,1,0,0,7 노진혁,-1,박진형,-1
0,0,1,0,0,1,0,1,1,0,0,7 노진혁,-1,이용찬,-1
0,0,1,0,0,1,0,1,0,1,0,7 노진혁,-1,김명신,-1
1,0,0,0,1,0,0,1,1,0,0,2 노진혁,-1,보우덴,-1
1,0,0,0,0,1,0,1,0,0,1,2 노진혁,-1,보우덴,-1
0,1,0,1,0,0,1,0,1,0,0,2 노진혁,-1,함덕주,0
0,0,1,1,0,0,0,1,1,0,0,2 노진혁,-1,김승회,0
0,0,1,0,1,0,1,0,1,0,0,2 노진혁,-1,김명신,-1
0,0,1,0,0,1,0,1,1,0,0,7 노진혁,-1,장민재,-1
0,0,1,0,0,1,0,1,1,0,0,5 노진혁,-1,홍건희,-1
0,0,1,0,0,1,0,1,1,0,0,9 노진혁,-1,고효준,2
0,0,1,0,1,0,1,0,1,0,0,9 노진혁,-1,정재훈,-1
0,0,1,0,0,1,1,0,1,0,0,1 노진혁,-1,김지용,-1
0,0,1,1,0,0,0,1,1,0,0,8 노진혁,-1,김민수,-1
0,0,1,0,1,0,1,0,1,0,0,8 노진혁,-1,김민수,-1
1,0,0,1,0,0,0,1,1,0,0,8 노진혁,-1,정성곤,-1
0,1,0,1,0,0,1,0,1,0,0,8 노진혁,-1,정성곤,-1
0,1,0,1,0,0,0,1,1,0,0,8 노진혁,-1,김재윤,-1
0,0,1,0,1,0,1,0,1,0,0,8 노진혁,-1,최대성,-1
0,0,1,0,0,1,0,1,1,0,0,7 노진혁,-1,하영민,2
0,0,1,0,1,0,0,1,1,0,0,8 노진혁,-1,마정길,-1
0,0,1,0,1,0,1,0,0,1,0,9 노진혁,-1,클로이드,-1
0,1,0,0,1,0,0,1,1,0,0,7 노진혁,-1,켈리,-1
0,0,1,1,0,0,0,1,1,0,0,7 노진혁,-1,문광은,-1
