1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,1,0,0,1,1,0,0,2 ¹Ú¹Î¿ì,4,±èÁÖÇÑ,5
1,0,0,1,0,0,1,0,1,0,0,2 ¹Ú¹Î¿ì,4,±èÁÖÇÑ,5
0,1,0,1,0,0,0,1,0,1,0,2 ¹Ú¹Î¿ì,4,±è¼º¹Î,5
0,0,1,0,1,0,0,1,0,1,0,2 ¹Ú¹Î¿ì,4,Ã¤º´¿ë,4
0,0,1,0,0,1,1,0,1,0,0,2 ¹Ú¹Î¿ì,4,¹ÚÁ¤¹è,3
1,0,0,1,0,0,0,1,1,0,0,1 ¹Ú¹Î¿ì,4,À±Èñ»ó,2
1,0,0,0,0,1,0,1,1,0,0,1 ¹Ú¹Î¿ì,4,À±Èñ»ó,2
0,1,0,0,1,0,0,1,1,0,0,1 ¹Ú¹Î¿ì,4,À±Èñ»ó,2
0,0,1,1,0,0,0,1,1,0,0,1 ¹Ú¹Î¿ì,4,¹ÚÈñ¼ö,3
1,0,0,1,0,0,1,0,0,1,0,2 ¹Ú¹Î¿ì,4,¹®½Â¿ø,3
1,0,0,1,0,0,0,1,0,1,0,2 ¹Ú¹Î¿ì,4,¹®½Â¿ø,3
0,1,0,0,1,0,0,1,0,1,0,2 ¹Ú¹Î¿ì,4,¹®½Â¿ø,3
0,1,0,0,1,0,0,1,1,0,0,2 ¹Ú¹Î¿ì,4,±è¼º¹Î,5
0,0,1,0,1,0,0,1,1,0,0,2 ¹Ú¹Î¿ì,4,Ã¤º´¿ë,4
1,0,0,1,0,0,0,1,1,0,0,1 ¹Ú¹Î¿ì,4,Â÷¿ìÂù,0
1,0,0,0,1,0,1,0,1,0,0,1 ¹Ú¹Î¿ì,4,Â÷¿ìÂù,0
0,1,0,1,0,0,0,1,0,1,0,1 ¹Ú¹Î¿ì,4,Â÷¿ìÂù,0
0,0,1,0,0,1,1,0,0,1,0,1 ¹Ú¹Î¿ì,4,Â÷¿ìÂù,0
1,0,0,0,1,0,0,1,1,0,0,2 ¹Ú¹Î¿ì,4,¼Ò»ç,-1
1,0,0,0,1,0,0,1,1,0,0,2 ¹Ú¹Î¿ì,4,¼Ò»ç,-1
0,1,0,0,0,1,1,0,1,0,0,2 ¹Ú¹Î¿ì,4,¼Ò»ç,-1
0,0,1,0,0,1,0,1,1,0,0,2 ¹Ú¹Î¿ì,4,¼Ò»ç,-1
0,0,1,0,0,1,0,1,0,1,0,2 ¹Ú¹Î¿ì,4,ÃÖµ¿È¯,5
1,0,0,1,0,0,0,1,1,0,0,1 ¹Ú¹Î¿ì,4,À±Áö¿õ,5
1,0,0,0,1,0,1,0,0,1,0,1 ¹Ú¹Î¿ì,4,À±Áö¿õ,5
0,1,0,1,0,0,1,0,1,0,0,1 ¹Ú¹Î¿ì,4,±è´ëÇö,5
0,0,1,0,1,0,0,1,1,0,0,1 ¹Ú¹Î¿ì,4,±è´ëÇö,5
1,0,0,1,0,0,0,1,0,1,0,1 ¹Ú¹Î¿ì,4,À¯Èñ°ü,4
1,0,0,0,1,0,0,1,1,0,0,2 ¹Ú¹Î¿ì,4,ÃÖ¿øÅÂ,3
0,1,0,1,0,0,0,1,1,0,0,2 ¹Ú¹Î¿ì,4,ÃÖ¿øÅÂ,3
0,1,0,0,1,0,0,1,0,1,0,2 ¹Ú¹Î¿ì,4,ÃÖ¿øÅÂ,3
0,0,1,1,0,0,0,1,0,1,0,2 ¹Ú¹Î¿ì,4,ÇÏ¿µ¹Î,5
1,0,0,0,1,0,0,1,0,0,1,2 ¹Ú¹Î¿ì,4,½ÅÀç¿µ,3
1,0,0,0,0,1,0,1,0,1,0,2 ¹Ú¹Î¿ì,4,½ÅÀç¿µ,3
0,1,0,1,0,0,1,0,1,0,0,2 ¹Ú¹Î¿ì,4,½ÅÀç¿µ,3
0,0,1,0,1,0,0,1,0,1,0,2 ¹Ú¹Î¿ì,4,±è¼¼Çö,1
0,0,1,0,1,0,1,0,1,0,0,2 ¹Ú¹Î¿ì,4,ÀÓÁØÇõ,-1
1,0,0,1,0,0,1,0,1,0,0,2 ¹Ú¹Î¿ì,4,¹®½Â¿ø,3
1,0,0,0,0,1,1,0,1,0,0,2 ¹Ú¹Î¿ì,4,¹®½Â¿ø,3
0,1,0,0,1,0,1,0,1,0,0,2 ¹Ú¹Î¿ì,4,¹®½Â¿ø,3
0,0,1,0,1,0,1,0,0,1,0,2 ¹Ú¹Î¿ì,4,Ã¤º´¿ë,4
1,0,0,1,0,0,1,0,0,0,1,2 ¹Ú¹Î¿ì,4,½ÅÀç¿µ,3
1,0,0,1,0,0,0,1,0,1,0,2 ¹Ú¹Î¿ì,4,½ÅÀç¿µ,3
1,0,0,0,0,1,0,1,1,0,0,2 ¹Ú¹Î¿ì,4,ÇÏ¿µ¹Î,5
0,1,0,1,0,0,1,0,0,1,0,2 ¹Ú¹Î¿ì,4,¸¶Á¤±æ,-1
1,0,0,0,1,0,0,1,0,1,0,2 ¹Ú¹Î¿ì,4,ºê¸®°Ë,3
1,0,0,0,0,1,1,0,1,0,0,2 ¹Ú¹Î¿ì,4,ºê¸®°Ë,3
0,1,0,0,1,0,0,1,1,0,0,2 ¹Ú¹Î¿ì,4,ºê¸®°Ë,3
0,1,0,0,1,0,0,1,1,0,0,2 ¹Ú¹Î¿ì,4,ºê¸®°Ë,3
0,0,1,0,1,0,1,0,1,0,0,2 ¹Ú¹Î¿ì,4,±è»ó¼ö,1
1,0,0,1,0,0,1,0,0,1,0,2 ¹Ú¹Î¿ì,4,Á¶»ó¿ì,5
1,0,0,0,1,0,0,1,0,0,1,2 ¹Ú¹Î¿ì,4,Á¶»ó¿ì,5
1,0,0,0,0,1,0,1,1,0,0,2 ¹Ú¹Î¿ì,4,Á¶»ó¿ì,5
0,1,0,0,1,0,0,1,1,0,0,2 ¹Ú¹Î¿ì,4,ÇÏ¿µ¹Î,5
0,0,1,0,0,1,1,0,0,1,0,2 ¹Ú¹Î¿ì,4,È²´ö±Õ,-1
1,0,0,1,0,0,1,0,1,0,0,2 ¹Ú¹Î¿ì,4,À±±ÔÁø,2
1,0,0,0,0,1,0,1,0,0,1,2 ¹Ú¹Î¿ì,4,À±±ÔÁø,2
0,1,0,0,0,1,0,1,1,0,0,2 ¹Ú¹Î¿ì,4,À±±ÔÁø,2
0,1,0,0,1,0,1,0,1,0,0,2 ¹Ú¹Î¿ì,4,±ÇÇõ,2
0,0,1,0,1,0,0,1,0,1,0,2 ¹Ú¹Î¿ì,4,¼ÛÀº¹ü,4
1,0,0,0,1,0,0,1,0,1,0,2 ¹Ú¹Î¿ì,4,¾È¿µ¸í,2
1,0,0,1,0,0,0,1,1,0,0,2 ¹Ú¹Î¿ì,4,Àå¹ÎÀç,3
1,0,0,0,0,1,0,1,1,0,0,3 ¹Ú¹Î¿ì,4,¹è¿µ¼ö,0
1,0,0,0,0,1,1,0,1,0,0,3 ¹Ú¹Î¿ì,4,¹è¿µ¼ö,0
0,1,0,1,0,0,0,1,1,0,0,3 ¹Ú¹Î¿ì,4,¹è¿µ¼ö,0
0,0,1,0,1,0,1,0,1,0,0,3 ¹Ú¹Î¿ì,4,¹ÚÁ¤Áø,-1
1,0,0,1,0,0,1,0,1,0,0,2 ¹Ú¹Î¿ì,4,ÀÓ±â¿µ,3
1,0,0,1,0,0,0,1,0,1,0,2 ¹Ú¹Î¿ì,4,ÀÓ±â¿µ,3
0,1,0,0,1,0,0,1,1,0,0,2 ¹Ú¹Î¿ì,4,ÀÓ±â¿µ,3
0,0,1,0,1,0,0,1,1,0,0,2 ¹Ú¹Î¿ì,4,½Éµ¿¼·,-1
