1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,0,1,0,1,1,0,0,5 박석민,3,레일리,1
0,1,0,1,0,0,1,0,1,0,0,5 박석민,3,레일리,1
0,1,0,1,0,0,1,0,1,0,0,5 박석민,3,레일리,1
0,0,1,0,1,0,0,1,0,0,1,5 박석민,3,이정민,-1
1,0,0,0,1,0,0,1,1,0,0,5 박석민,3,김원중,0
0,1,0,0,0,1,0,1,0,0,1,5 박석민,3,김원중,0
0,1,0,0,1,0,0,1,1,0,0,5 박석민,3,박시영,3
0,0,1,0,1,0,1,0,0,1,0,5 박석민,3,윤길현,2
1,0,0,1,0,0,0,1,0,0,1,5 박석민,3,박진형,2
0,1,0,0,1,0,1,0,1,0,0,5 박석민,3,박진형,2
0,1,0,1,0,0,1,0,1,0,0,5 박석민,3,배장호,2
0,0,1,1,0,0,1,0,1,0,0,5 박석민,3,송승준,2
1,0,0,1,0,0,0,1,1,0,0,5 박석민,3,오간도,-1
1,0,0,1,0,0,1,0,1,0,0,5 박석민,3,오간도,-1
0,1,0,1,0,0,0,1,1,0,0,5 박석민,3,오간도,-1
0,0,1,0,1,0,1,0,0,1,0,5 박석민,3,심수창,0
1,0,0,1,0,0,0,1,1,0,0,5 박석민,3,김주한,2
1,0,0,0,1,0,0,1,1,0,0,5 박석민,3,김주한,2
0,1,0,0,1,0,0,1,1,0,0,5 박석민,3,김성민,2
0,0,1,0,1,0,0,1,1,0,0,5 박석민,3,채병용,2
0,0,1,0,1,0,1,0,1,0,0,5 박석민,3,임준혁,-1
1,0,0,0,1,0,0,1,1,0,0,5 박석민,3,윤희상,2
0,1,0,0,1,0,0,1,0,1,0,5 박석민,3,윤희상,2
0,1,0,0,0,1,0,1,1,0,0,5 박석민,3,윤희상,2
1,0,0,1,0,0,0,1,1,0,0,6 박석민,3,문승원,0
1,0,0,0,0,1,1,0,1,0,0,6 박석민,3,문승원,0
0,1,0,1,0,0,0,1,1,0,0,6 박석민,3,임준혁,-1
0,1,0,0,0,1,0,1,1,0,0,6 박석민,3,채병용,2
0,0,1,1,0,0,0,1,1,0,0,7 박석민,3,차우찬,2
1,0,0,0,0,1,0,1,1,0,0,6 박석민,3,소사,-1
0,1,0,0,1,0,1,0,1,0,0,6 박석민,3,소사,-1
0,1,0,0,1,0,0,1,1,0,0,6 박석민,3,소사,-1
0,0,1,0,1,0,1,0,0,0,1,6 박석민,3,신정락,0
1,0,0,0,0,1,0,1,0,0,1,6 박석민,3,윤지웅,2
0,1,0,0,1,0,0,1,1,0,0,6 박석민,3,윤지웅,2
0,0,1,1,0,0,0,1,1,0,0,6 박석민,3,김대현,3
1,0,0,1,0,0,1,0,1,0,0,6 박석민,3,유희관,2
0,1,0,0,1,0,0,1,1,0,0,6 박석민,3,유희관,2
0,1,0,1,0,0,0,1,1,0,0,6 박석민,3,유희관,2
1,0,0,0,0,1,1,0,1,0,0,7 박석민,3,로치,-1
0,1,0,0,0,1,0,1,1,0,0,7 박석민,3,로치,-1
0,0,1,0,1,0,0,1,1,0,0,7 박석민,3,엄상백,0
1,0,0,1,0,0,1,0,0,1,0,6 박석민,3,정대현,-1
1,0,0,0,0,1,0,1,1,0,0,6 박석민,3,정대현,-1
0,1,0,1,0,0,0,1,1,0,0,6 박석민,3,정대현,-1
0,0,1,0,0,1,0,1,0,1,0,6 박석민,3,배우열,0
1,0,0,1,0,0,0,1,1,0,0,6 박석민,3,피어밴드,1
0,1,0,1,0,0,0,1,1,0,0,6 박석민,3,피어밴드,1
0,1,0,0,0,1,0,1,1,0,0,6 박석민,3,피어밴드,1
1,0,0,1,0,0,0,1,1,0,0,6 박석민,3,양현종,1
0,1,0,0,1,0,0,1,1,0,0,6 박석민,3,양현종,1
0,0,1,1,0,0,0,1,1,0,0,6 박석민,3,양현종,1
0,0,1,1,0,0,0,1,1,0,0,6 박석민,3,임창용,-1
1,0,0,0,1,0,1,0,1,0,0,6 박석민,3,김진우,-1
0,1,0,0,1,0,1,0,1,0,0,6 박석민,3,김진우,-1
0,1,0,0,0,1,1,0,0,1,0,6 박석민,3,고효준,0
0,0,1,0,1,0,0,1,0,1,0,6 박석민,3,김윤동,2
1,0,0,0,1,0,0,1,0,1,0,5 박석민,3,임기영,0
0,1,0,1,0,0,0,1,0,1,0,5 박석민,3,임기영,0
0,1,0,0,1,0,0,1,1,0,0,5 박석민,3,임기영,0
0,0,1,0,0,1,1,0,0,1,0,5 박석민,3,손영민,-1
0,0,1,0,0,1,0,1,0,1,0,5 박석민,3,김광수,-1
1,0,0,1,0,0,1,0,1,0,0,5 박석민,3,류제국,2
0,1,0,1,0,0,0,1,1,0,0,5 박석민,3,류제국,2
0,0,1,0,1,0,0,1,0,1,0,5 박석민,3,류제국,2
1,0,0,1,0,0,1,0,0,1,0,5 박석민,3,임찬규,0
0,1,0,0,0,1,1,0,1,0,0,5 박석민,3,임찬규,0
0,0,1,0,0,1,0,1,1,0,0,5 박석민,3,임찬규,0
1,0,0,1,0,0,0,1,0,1,0,6 박석민,3,차우찬,2
1,0,0,0,0,1,1,0,1,0,0,6 박석민,3,차우찬,2
0,1,0,0,1,0,0,1,1,0,0,6 박석민,3,차우찬,2
0,0,1,1,0,0,0,1,1,0,0,6 박석민,3,최동환,0
1,0,0,0,1,0,0,1,1,0,0,5 박석민,3,페트릭,-1
0,1,0,1,0,0,0,1,1,0,0,5 박석민,3,페트릭,-1
0,1,0,0,1,0,0,1,1,0,0,5 박석민,3,페트릭,-1
0,0,1,0,0,1,0,1,0,0,1,5 박석민,3,권오준,1
1,0,0,0,0,1,0,1,0,0,1,6 박석민,3,최지광,0
1,0,0,1,0,0,0,1,1,0,0,6 박석민,3,백정현,0
0,1,0,0,0,1,1,0,1,0,0,6 박석민,3,백정현,0
0,0,1,0,1,0,0,1,1,0,0,6 박석민,3,장필준,1
1,0,0,1,0,0,1,0,0,1,0,6 박석민,3,우규민,1
1,0,0,0,0,1,1,0,0,1,0,6 박석민,3,우규민,1
0,1,0,1,0,0,0,1,1,0,0,6 박석민,3,김승현,2
0,1,0,0,1,0,0,1,0,0,1,6 박석민,3,이승현,2
0,0,1,0,1,0,1,0,1,0,0,6 박석민,3,심창민,-1
1,0,0,0,0,1,0,1,1,0,0,6 박석민,3,최원태,1
0,1,0,0,0,1,1,0,1,0,0,6 박석민,3,최원태,1
0,1,0,0,1,0,0,1,1,0,0,6 박석민,3,최원태,1
1,0,0,0,1,0,0,1,1,0,0,6 박석민,3,신재영,2
0,1,0,1,0,0,0,1,1,0,0,6 박석민,3,로치,-1
0,0,1,0,1,0,0,1,0,1,0,6 박석민,3,이상화,0
1,0,0,0,1,0,0,1,1,0,0,5 박석민,3,고영표,-1
0,1,0,1,0,0,0,1,1,0,0,5 박석민,3,고영표,-1
0,1,0,0,0,1,0,1,1,0,0,5 박석민,3,고영표,-1
0,0,1,0,0,1,0,1,0,1,0,5 박석민,3,엄상백,0
1,0,0,0,0,1,0,1,1,0,0,6 박석민,3,정성곤,0
0,1,0,0,0,1,1,0,1,0,0,6 박석민,3,정성곤,0
0,1,0,0,0,1,1,0,0,0,1,6 박석민,3,심재민,-1
0,0,1,0,1,0,0,1,1,0,0,6 박석민,3,홍성용,-1
1,0,0,0,0,1,0,1,1,0,0,7 박석민,3,니퍼트,1
0,1,0,0,1,0,0,1,0,0,1,7 박석민,3,니퍼트,1
0,1,0,0,1,0,1,0,1,0,0,7 박석민,3,니퍼트,1
0,0,1,1,0,0,0,1,1,0,0,7 박석민,3,이용찬,1
1,0,0,1,0,0,0,1,1,0,0,6 박석민,3,장원준,2
1,0,0,0,0,1,0,1,1,0,0,6 박석민,3,장원준,2
0,1,0,1,0,0,1,0,0,0,1,6 박석민,3,김승회,2
0,0,1,0,1,0,1,0,1,0,0,6 박석민,3,김성배,-1
1,0,0,1,0,0,0,1,1,0,0,7 박석민,3,함덕주,1
1,0,0,0,0,1,1,0,0,0,1,7 박석민,3,함덕주,1
1,0,0,0,0,1,1,0,1,0,0,7 박석민,3,윤희상,2
0,1,0,1,0,0,0,1,1,0,0,7 박석민,3,윤희상,2
1,0,0,1,0,0,1,0,0,0,1,5 박석민,3,김태훈,2
1,0,0,0,1,0,0,1,1,0,0,5 박석민,3,김태훈,2
0,1,0,1,0,0,1,0,1,0,0,5 박석민,3,문광은,3
0,0,1,1,0,0,0,1,1,0,0,5 박석민,3,김주한,2
1,0,0,1,0,0,0,1,1,0,0,5 박석민,3,문승원,0
0,1,0,0,0,1,0,1,1,0,0,5 박석민,3,문승원,0
0,0,1,1,0,0,0,1,1,0,0,5 박석민,3,채병용,2
1,0,0,0,0,1,1,0,1,0,0,7 박석민,3,신재영,2
1,0,0,0,1,0,1,0,0,0,1,7 박석민,3,하영민,0
0,1,0,0,0,1,0,1,1,0,0,7 박석민,3,하영민,0
0,1,0,1,0,0,0,1,1,0,0,7 박석민,3,마정길,-1
0,0,1,0,1,0,0,1,0,1,0,7 박석민,3,오윤성,-1
1,0,0,0,0,1,1,0,1,0,0,7 박석민,3,브리검,1
1,0,0,0,0,1,1,0,1,0,0,7 박석민,3,브리검,1
0,1,0,0,1,0,0,1,1,0,0,7 박석민,3,브리검,1
