1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,0,1,1,0,0,0,1,4 스크럭스,3,레일리,2
0,1,0,1,0,0,0,1,0,1,0,4 스크럭스,3,레일리,2
0,1,0,1,0,0,0,1,0,0,1,4 스크럭스,3,레일리,2
0,0,1,0,1,0,1,0,0,1,0,4 스크럭스,3,이정민,-1
1,0,0,1,0,0,0,1,1,0,0,4 스크럭스,3,김원중,3
0,1,0,0,1,0,0,1,1,0,0,4 스크럭스,3,김원중,3
0,1,0,1,0,0,0,1,1,0,0,4 스크럭스,3,박시영,5
0,0,1,0,1,0,0,1,0,0,1,4 스크럭스,3,윤길현,2
1,0,0,0,0,1,1,0,1,0,0,4 스크럭스,3,박진형,5
0,1,0,1,0,0,1,0,1,0,0,4 스크럭스,3,박진형,5
0,1,0,1,0,0,0,1,0,0,1,4 스크럭스,3,배장호,3
0,0,1,1,0,0,0,1,1,0,0,4 스크럭스,3,송승준,0
1,0,0,1,0,0,0,1,0,1,0,4 스크럭스,3,배영수,0
0,1,0,1,0,0,0,1,1,0,0,4 스크럭스,3,배영수,0
0,1,0,0,1,0,0,1,1,0,0,4 스크럭스,3,배영수,0
0,0,1,0,0,1,1,0,1,0,0,4 스크럭스,3,박정진,-1
1,0,0,0,0,1,1,0,1,0,0,4 스크럭스,3,오간도,-1
1,0,0,1,0,0,0,1,0,0,1,4 스크럭스,3,오간도,-1
0,1,0,1,0,0,1,0,0,1,0,4 스크럭스,3,오간도,-1
0,0,1,0,1,0,0,1,0,1,0,4 스크럭스,3,장민재,3
1,0,0,0,0,1,1,0,1,0,0,4 스크럭스,3,김주한,5
1,0,0,0,1,0,1,0,0,0,1,4 스크럭스,3,김주한,5
0,1,0,0,1,0,1,0,0,1,0,4 스크럭스,3,김성민,5
0,0,1,0,1,0,1,0,0,0,1,4 스크럭스,3,채병용,4
0,0,1,0,1,0,0,1,0,1,0,4 스크럭스,3,임준혁,-1
1,0,0,1,0,0,0,1,1,0,0,4 스크럭스,3,윤희상,2
0,1,0,0,1,0,1,0,0,0,1,4 스크럭스,3,윤희상,2
0,1,0,0,1,0,0,1,1,0,0,4 스크럭스,3,윤희상,2
0,0,1,0,0,1,1,0,0,0,1,4 스크럭스,3,박희수,3
1,0,0,1,0,0,0,1,0,0,1,4 스크럭스,3,문승원,3
1,0,0,0,1,0,1,0,1,0,0,4 스크럭스,3,문승원,3
0,1,0,0,1,0,0,1,1,0,0,4 스크럭스,3,문승원,3
0,1,0,0,0,1,1,0,0,0,1,4 스크럭스,3,김성민,5
0,0,1,0,0,1,1,0,1,0,0,4 스크럭스,3,채병용,4
1,0,0,1,0,0,0,1,1,0,0,4 스크럭스,3,차우찬,0
0,1,0,1,0,0,1,0,1,0,0,4 스크럭스,3,차우찬,0
