1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,1,0,0,9 신진호,-1,백정현,1
0,1,0,1,0,0,0,1,0,1,0,9 신진호,-1,백정현,1
0,1,0,0,1,0,0,1,1,0,0,9 신진호,-1,최충연,5
0,0,1,0,1,0,0,1,1,0,0,9 신진호,-1,이보근,1
1,0,0,0,1,0,0,1,1,0,0,9 신진호,-1,소사,-1
0,1,0,1,0,0,0,1,1,0,0,9 신진호,-1,소사,-1
0,1,0,1,0,0,0,1,1,0,0,9 신진호,-1,소사,-1
0,0,1,0,0,1,0,1,1,0,0,9 신진호,-1,임정우,3
0,0,1,1,0,0,0,1,1,0,0,9 신진호,-1,김성민,5
1,0,0,0,0,1,1,0,1,0,0,9 신진호,-1,김민우,5
0,1,0,1,0,0,0,1,1,0,0,9 신진호,-1,강승현,-1
0,0,1,0,0,1,0,1,1,0,0,9 신진호,-1,박상원,6
0,0,1,1,0,0,0,1,1,0,0,9 신진호,-1,린드블럼,1
0,0,1,0,1,0,0,1,1,0,0,9 신진호,-1,함덕주,3
0,0,1,0,0,1,0,1,1,0,0,9 신진호,-1,김강률,3
