1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,1,0,1,0,1,0,0,8 정범모,4,해커,1
0,1,0,0,1,0,0,1,0,1,0,8 정범모,4,해커,1
0,0,1,0,1,0,0,1,0,0,1,8 정범모,4,심재민,-1
1,0,0,0,1,0,0,1,1,0,0,8 정범모,4,류희운,3
0,1,0,1,0,0,1,0,0,1,0,8 정범모,4,류희운,3
0,1,0,1,0,0,0,1,0,0,1,8 정범모,4,이종혁,2
0,0,1,0,0,1,0,1,1,0,0,8 정범모,4,홍성용,-1
0,0,1,0,1,0,0,1,1,0,0,8 정범모,4,이상화,0
1,0,0,1,0,0,0,1,1,0,0,8 정범모,4,박종훈,2
0,1,0,0,1,0,0,1,1,0,0,8 정범모,4,박종훈,2
0,0,1,1,0,0,0,1,1,0,0,8 정범모,4,문광은,3
1,0,0,1,0,0,0,1,1,0,0,7 정범모,4,로치,-1
0,1,0,1,0,0,1,0,1,0,0,7 정범모,4,로치,-1
0,1,0,0,1,0,0,1,0,1,0,7 정범모,4,로치,-1
0,0,1,0,1,0,0,1,1,0,0,7 정범모,4,심재민,-1
0,0,1,0,0,1,1,0,1,0,0,7 정범모,4,홍성용,-1
1,0,0,0,1,0,0,1,1,0,0,7 정범모,4,정성곤,0
0,1,0,1,0,0,0,1,1,0,0,7 정범모,4,정성곤,0
0,0,1,0,0,1,0,1,1,0,0,3 정범모,4,장시환,0
1,0,0,0,0,1,1,0,1,0,0,7 정범모,4,함덕주,1
0,1,0,0,0,1,1,0,1,0,0,7 정범모,4,함덕주,1
0,0,1,0,0,1,1,0,1,0,0,7 정범모,4,고원준,-1
1,0,0,0,1,0,0,1,1,0,0,8 정범모,4,니퍼트,1
0,1,0,0,1,0,0,1,1,0,0,8 정범모,4,니퍼트,1
0,1,0,1,0,0,0,1,0,1,0,8 정범모,4,김승회,2
0,0,1,1,0,0,1,0,1,0,0,8 정범모,4,김강률,2
0,0,1,1,0,0,0,1,1,0,0,7 정범모,4,김세현,2
1,0,0,0,1,0,1,0,0,1,0,8 정범모,4,맨쉽,1
1,0,0,0,0,1,1,0,1,0,0,8 정범모,4,맨쉽,1
0,1,0,0,1,0,0,1,0,1,0,8 정범모,4,맨쉽,1
0,0,1,1,0,0,0,1,1,0,0,8 정범모,4,임창민,1
0,0,1,1,0,0,0,1,0,0,1,8 정범모,4,김시현,-1
1,0,0,0,1,0,0,1,1,0,0,8 정범모,4,한현희,2
0,1,0,0,0,1,0,1,0,1,0,8 정범모,4,한현희,2
0,1,0,0,1,0,0,1,1,0,0,8 정범모,4,윤영삼,0
0,0,1,1,0,0,0,1,0,1,0,8 정범모,4,오주원,2
1,0,0,0,0,1,0,1,1,0,0,8 정범모,4,밴헤켄,-1
0,1,0,0,1,0,1,0,0,0,1,8 정범모,4,밴헤켄,-1
0,1,0,1,0,0,0,1,1,0,0,8 정범모,4,밴헤켄,-1
0,0,1,1,0,0,0,1,0,1,0,8 정범모,4,오주원,2
0,0,1,0,1,0,1,0,0,1,0,6 정범모,4,신정락,0
1,0,0,0,1,0,0,1,0,0,1,8 정범모,4,김대현,3
0,1,0,1,0,0,0,1,1,0,0,8 정범모,4,김대현,3
0,0,1,1,0,0,0,1,1,0,0,8 정범모,4,임정우,2
1,0,0,0,0,1,0,1,1,0,0,8 정범모,4,황수범,-1
0,0,1,0,1,0,0,1,1,0,0,5 정범모,4,손승락,1
1,0,0,0,0,1,1,0,1,0,0,8 정범모,4,팻딘,-1
0,1,0,0,1,0,0,1,1,0,0,8 정범모,4,팻딘,-1
0,0,1,0,1,0,1,0,1,0,0,8 정범모,4,팻딘,-1
0,0,1,0,0,1,1,0,0,1,0,8 정범모,4,임창용,-1
0,0,1,1,0,0,0,1,1,0,0,9 정범모,4,박민호,2
0,0,1,0,0,1,0,1,1,0,0,9 정범모,4,진해수,0
0,0,1,0,0,1,0,1,1,0,0,9 정범모,4,이현승,2
0,0,1,0,0,1,0,1,1,0,0,9 정범모,4,진야곱,-1
1,0,0,0,0,1,1,0,1,0,0,7 정범모,4,밴헤켄,-1
0,1,0,1,0,0,1,0,1,0,0,7 정범모,4,밴헤켄,-1
0,1,0,1,0,0,1,0,1,0,0,7 정범모,4,밴헤켄,-1
0,0,1,1,0,0,1,0,1,0,0,7 정범모,4,조상우,4
0,0,1,0,0,1,1,0,1,0,0,7 정범모,4,손승락,1
0,0,1,1,0,0,1,0,1,0,0,7 정범모,4,김택형,3
1,0,0,1,0,0,0,1,1,0,0,6 정범모,4,한현희,2
1,0,0,0,0,1,0,1,1,0,0,6 정범모,4,한현희,2
0,1,0,1,0,0,0,1,0,1,0,6 정범모,4,김세현,2
0,0,1,0,1,0,1,0,0,1,0,6 정범모,4,조상우,4
1,0,0,0,0,1,1,0,1,0,0,7 정범모,4,유희관,2
0,1,0,0,0,1,0,1,1,0,0,7 정범모,4,유희관,2
1,0,0,1,0,0,0,1,0,0,1,7 정범모,4,진야곱,-1
0,1,0,1,0,0,1,0,0,0,1,7 정범모,4,진야곱,-1
0,1,0,0,1,0,0,1,0,0,1,7 정범모,4,장민익,3
0,0,1,0,1,0,0,1,1,0,0,7 정범모,4,이재우,-1
1,0,0,0,1,0,1,0,1,0,0,6 정범모,4,찰리,-1
0,1,0,1,0,0,1,0,1,0,0,6 정범모,4,찰리,-1
0,1,0,0,0,1,0,1,1,0,0,6 정범모,4,이민호,2
1,0,0,1,0,0,0,1,1,0,0,7 정범모,4,손민한,-1
0,1,0,0,1,0,0,1,0,1,0,7 정범모,4,손민한,-1
0,0,1,0,0,1,0,1,1,0,0,7 정범모,4,이민호,2
1,0,0,0,0,1,0,1,1,0,0,8 정범모,4,임정우,2
0,1,0,0,1,0,0,1,0,0,1,8 정범모,4,임정우,2
1,0,0,0,0,1,0,1,1,0,0,8 정범모,4,소사,-1
0,1,0,0,0,1,0,1,1,0,0,8 정범모,4,소사,-1
0,0,1,1,0,0,1,0,1,0,0,8 정범모,4,소사,-1
0,0,1,0,1,0,0,1,0,0,1,8 정범모,4,봉중근,-1
1,0,0,0,0,1,1,0,1,0,0,8 정범모,4,장진용,-1
0,1,0,0,0,1,0,1,1,0,0,8 정범모,4,장진용,-1
0,1,0,0,0,1,0,1,1,0,0,8 정범모,4,김선규,-1
1,0,0,0,1,0,0,1,1,0,0,8 정범모,4,심수창,0
1,0,0,0,1,0,1,0,1,0,0,7 정범모,4,송승준,2
0,1,0,0,0,1,0,1,1,0,0,7 정범모,4,송승준,2
0,1,0,0,1,0,1,0,1,0,0,7 정범모,4,송승준,2
0,0,1,0,0,1,1,0,0,1,0,7 정범모,4,이인복,3
1,0,0,0,0,1,0,1,0,1,0,7 정범모,4,윤성환,1
1,0,0,0,0,1,1,0,1,0,0,7 정범모,4,윤성환,1
0,1,0,0,1,0,0,1,1,0,0,7 정범모,4,윤성환,1
0,0,1,1,0,0,1,0,1,0,0,7 정범모,4,신용운,-1
1,0,0,0,1,0,1,0,1,0,0,7 정범모,4,클로이드,-1
0,1,0,0,0,1,1,0,1,0,0,7 정범모,4,클로이드,-1
0,1,0,1,0,0,1,0,1,0,0,7 정범모,4,클로이드,-1
1,0,0,0,0,1,0,1,1,0,0,7 정범모,4,손민한,-1
0,1,0,0,1,0,0,1,1,0,0,7 정범모,4,손민한,-1
0,1,0,1,0,0,0,1,1,0,0,7 정범모,4,최금강,-1
0,0,1,0,0,1,1,0,0,1,0,7 정범모,4,강장산,-1
1,0,0,0,1,0,0,1,1,0,0,8 정범모,4,해커,1
0,1,0,0,1,0,1,0,0,0,1,8 정범모,4,해커,1
0,1,0,1,0,0,0,1,1,0,0,8 정범모,4,해커,1
0,0,1,0,0,1,0,1,0,0,1,8 정범모,4,이민호,2
1,0,0,1,0,0,0,1,1,0,0,8 정범모,4,소사,-1
0,1,0,0,1,0,1,0,1,0,0,8 정범모,4,소사,-1
1,0,0,1,0,0,0,1,1,0,0,8 정범모,4,임지섭,3
0,1,0,0,1,0,1,0,0,1,0,8 정범모,4,김선규,-1
0,1,0,0,1,0,0,1,1,0,0,8 정범모,4,장진용,-1
0,0,1,1,0,0,0,1,1,0,0,8 정범모,4,유원상,0
1,0,0,0,1,0,1,0,1,0,0,7 정범모,4,루카스,-1
0,1,0,1,0,0,0,1,1,0,0,7 정범모,4,루카스,-1
0,1,0,0,0,1,1,0,1,0,0,7 정범모,4,루카스,-1
0,0,1,0,1,0,0,1,1,0,0,7 정범모,4,정찬헌,2
1,0,0,1,0,0,0,1,1,0,0,8 정범모,4,채병용,2
0,1,0,1,0,0,0,1,1,0,0,8 정범모,4,채병용,2
0,0,1,0,0,1,0,1,1,0,0,8 정범모,4,전유수,0
1,0,0,1,0,0,0,1,0,1,0,7 정범모,4,김광현,1
0,1,0,0,0,1,1,0,0,1,0,7 정범모,4,김광현,1
0,1,0,0,0,1,1,0,1,0,0,7 정범모,4,김광현,1
0,0,1,0,0,1,0,1,1,0,0,7 정범모,4,정우람,4
1,0,0,0,0,1,0,1,1,0,0,7 정범모,4,켈리,4
0,1,0,0,1,0,0,1,1,0,0,7 정범모,4,켈리,4
0,1,0,1,0,0,0,1,1,0,0,7 정범모,4,켈리,4
0,0,1,1,0,0,1,0,1,0,0,7 정범모,4,전유수,0
1,0,0,0,0,1,1,0,1,0,0,7 정범모,4,험버,-1
1,0,0,0,0,1,1,0,0,0,1,7 정범모,4,험버,-1
0,1,0,0,1,0,0,1,1,0,0,7 정범모,4,험버,-1
1,0,0,0,0,1,1,0,1,0,0,7 정범모,4,양현종,1
0,1,0,0,0,1,0,1,1,0,0,7 정범모,4,양현종,1
0,0,1,1,0,0,0,1,1,0,0,7 정범모,4,양현종,1
0,0,1,1,0,0,1,0,1,0,0,7 정범모,4,임준섭,0
1,0,0,0,0,1,0,1,1,0,0,7 정범모,4,송승준,2
0,1,0,0,1,0,1,0,0,1,0,7 정범모,4,송승준,2
0,0,1,0,1,0,0,1,1,0,0,8 정범모,4,정우람,4
1,0,0,0,1,0,0,1,1,0,0,9 정범모,4,해커,1
0,1,0,0,0,1,0,1,1,0,0,9 정범모,4,해커,1
0,0,1,0,1,0,1,0,0,1,0,9 정범모,4,김진성,2
