1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,1,0,0,1,1,0,0,2 지석훈,4,레일리,1
1,0,0,0,0,1,0,1,0,1,0,2 지석훈,4,레일리,1
0,1,0,0,0,1,0,1,0,0,1,2 지석훈,4,레일리,1
0,0,1,1,0,0,0,1,1,0,0,2 지석훈,4,이정민,-1
0,0,1,0,1,0,0,1,1,0,0,2 지석훈,4,윤길현,2
1,0,0,0,0,1,1,0,1,0,0,7 지석훈,4,김원중,0
0,1,0,0,0,1,0,1,1,0,0,7 지석훈,4,김원중,0
0,1,0,0,0,1,1,0,1,0,0,7 지석훈,4,박시영,3
0,0,1,0,0,1,0,1,1,0,0,7 지석훈,4,손승락,1
1,0,0,0,1,0,1,0,1,0,0,7 지석훈,4,박진형,2
0,1,0,0,0,1,0,1,0,0,1,7 지석훈,4,박진형,2
0,1,0,0,1,0,0,1,1,0,0,7 지석훈,4,송승준,2
0,0,1,0,1,0,0,1,1,0,0,6 지석훈,4,송창식,0
1,0,0,0,1,0,1,0,0,1,0,7 지석훈,4,오간도,-1
1,0,0,0,1,0,0,1,1,0,0,7 지석훈,4,오간도,-1
0,1,0,1,0,0,0,1,0,0,1,7 지석훈,4,오간도,-1
0,0,1,1,0,0,0,1,1,0,0,7 지석훈,4,심수창,0
1,0,0,0,1,0,1,0,1,0,0,7 지석훈,4,김주한,2
1,0,0,0,0,1,1,0,1,0,0,7 지석훈,4,김주한,2
0,1,0,1,0,0,0,1,1,0,0,7 지석훈,4,김성민,2
0,0,1,0,0,1,0,1,1,0,0,7 지석훈,4,채병용,2
1,0,0,0,0,1,1,0,1,0,0,7 지석훈,4,윤희상,2
0,1,0,0,1,0,1,0,1,0,0,7 지석훈,4,윤희상,2
0,0,1,0,1,0,0,1,1,0,0,7 지석훈,4,박정배,2
1,0,0,1,0,0,0,1,0,1,0,8 지석훈,4,차우찬,2
0,1,0,0,1,0,0,1,1,0,0,8 지석훈,4,차우찬,2
0,0,1,0,1,0,0,1,0,1,0,8 지석훈,4,차우찬,2
1,0,0,0,1,0,0,1,1,0,0,8 지석훈,4,소사,-1
0,1,0,1,0,0,0,1,1,0,0,8 지석훈,4,소사,-1
0,1,0,0,0,1,1,0,1,0,0,8 지석훈,4,소사,-1
0,0,1,0,1,0,1,0,1,0,0,8 지석훈,4,신정락,0
1,0,0,1,0,0,0,1,1,0,0,8 지석훈,4,윤지웅,2
0,1,0,0,0,1,1,0,1,0,0,8 지석훈,4,윤지웅,2
1,0,0,0,1,0,0,1,0,1,0,1 지석훈,4,유희관,2
0,1,0,1,0,0,1,0,0,1,0,1 지석훈,4,유희관,2
0,0,1,0,1,0,0,1,1,0,0,1 지석훈,4,유희관,2
0,0,1,0,0,1,0,1,1,0,0,1 지석훈,4,이용찬,1
1,0,0,0,0,1,0,1,1,0,0,7 지석훈,4,김명신,-1
0,1,0,0,0,1,0,1,0,0,1,7 지석훈,4,김명신,-1
1,0,0,1,0,0,1,0,0,1,0,7 지석훈,4,장원준,2
1,0,0,0,0,1,1,0,1,0,0,7 지석훈,4,장원준,2
0,1,0,0,0,1,0,1,0,1,0,7 지석훈,4,장원준,2
0,0,1,0,1,0,0,1,1,0,0,7 지석훈,4,김강률,2
1,0,0,1,0,0,1,0,1,0,0,7 지석훈,4,레일리,1
0,1,0,1,0,0,0,1,0,0,1,7 지석훈,4,레일리,1
0,1,0,1,0,0,0,1,1,0,0,7 지석훈,4,레일리,1
0,0,1,0,1,0,0,1,1,0,0,7 지석훈,4,윤길현,2
0,0,1,0,0,1,0,1,1,0,0,7 지석훈,4,이정민,-1
1,0,0,0,0,1,1,0,0,1,0,8 지석훈,4,김원중,0
1,0,0,0,1,0,0,1,1,0,0,8 지석훈,4,김원중,0
0,1,0,0,1,0,1,0,0,1,0,8 지석훈,4,송승준,2
0,0,1,0,1,0,1,0,0,0,1,8 지석훈,4,송승준,2
0,0,1,0,1,0,0,1,0,1,0,8 지석훈,4,이정민,-1
1,0,0,1,0,0,0,1,0,1,0,7 지석훈,4,박진형,2
0,1,0,0,1,0,0,1,0,0,1,7 지석훈,4,박진형,2
0,1,0,0,0,1,0,1,1,0,0,7 지석훈,4,박진형,2
0,0,1,0,0,1,1,0,1,0,0,7 지석훈,4,장시환,0
1,0,0,0,0,1,0,1,1,0,0,7 지석훈,4,최충연,0
0,1,0,0,1,0,0,1,0,0,1,7 지석훈,4,최충연,0
0,0,1,1,0,0,0,1,1,0,0,7 지석훈,4,권오준,1
0,0,1,0,1,0,1,0,0,1,0,7 지석훈,4,장필준,1
1,0,0,0,1,0,0,1,0,1,0,7 지석훈,4,장원삼,2
0,1,0,1,0,0,0,1,0,1,0,7 지석훈,4,장원삼,2
0,1,0,0,0,1,1,0,0,0,1,7 지석훈,4,이수민,-1
0,1,0,1,0,0,1,0,1,0,0,7 지석훈,4,이수민,-1
0,0,1,0,0,1,1,0,0,1,0,7 지석훈,4,김시현,-1
1,0,0,0,0,1,0,1,0,1,0,7 지석훈,4,페트릭,-1
0,1,0,1,0,0,0,1,1,0,0,7 지석훈,4,페트릭,-1
0,1,0,0,0,1,0,1,1,0,0,7 지석훈,4,페트릭,-1
0,0,1,0,0,1,1,0,0,1,0,7 지석훈,4,장필준,1
1,0,0,0,1,0,0,1,1,0,0,2 지석훈,4,로치,-1
0,1,0,1,0,0,0,1,1,0,0,2 지석훈,4,로치,-1
0,1,0,1,0,0,0,1,1,0,0,2 지석훈,4,로치,-1
0,0,1,1,0,0,0,1,1,0,0,2 지석훈,4,이상화,0
1,0,0,1,0,0,0,1,1,0,0,7 지석훈,4,정대현,-1
0,1,0,1,0,0,0,1,1,0,0,7 지석훈,4,정대현,-1
0,1,0,0,1,0,0,1,1,0,0,7 지석훈,4,정대현,-1
