1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,0,1,0,1,1,0,0,6 강민호,4,맨쉽,6
0,1,0,1,0,0,0,1,1,0,0,6 강민호,4,맨쉽,6
0,0,1,0,0,1,1,0,1,0,0,6 강민호,4,맨쉽,6
0,0,1,0,1,0,0,1,0,1,0,6 강민호,4,임창민,3
1,0,0,1,0,0,0,1,0,0,1,7 강민호,4,이재학,2
1,0,0,0,0,1,0,1,1,0,0,7 강민호,4,장현식,3
0,1,0,0,1,0,0,1,0,0,1,7 강민호,4,장현식,3
0,0,1,1,0,0,0,1,1,0,0,7 강민호,4,이형범,6
1,0,0,0,0,1,1,0,1,0,0,6 강민호,4,구창모,3
0,1,0,1,0,0,1,0,1,0,0,6 강민호,4,구창모,3
0,1,0,1,0,0,0,1,0,1,0,6 강민호,4,김진성,3
0,0,1,0,0,1,0,1,0,1,0,6 강민호,4,윤수호,6
0,0,1,0,1,0,0,1,0,1,0,6 강민호,4,최성영,6
1,0,0,0,1,0,0,1,1,0,0,6 강민호,4,최원태,3
1,0,0,0,0,1,0,1,1,0,0,6 강민호,4,최원태,3
0,1,0,0,0,1,0,1,1,0,0,6 강민호,4,최원태,3
1,0,0,0,1,0,1,0,0,1,0,6 강민호,4,오주원,2
1,0,0,0,0,1,0,1,1,0,0,6 강민호,4,오주원,2
0,1,0,0,0,1,0,1,1,0,0,6 강민호,4,마정길,-1
0,0,1,0,1,0,0,1,1,0,0,6 강민호,4,박주현,-1
1,0,0,1,0,0,0,1,1,0,0,6 강민호,4,류제국,1
0,1,0,1,0,0,0,1,1,0,0,6 강민호,4,류제국,1
0,1,0,1,0,0,0,1,0,0,1,6 강민호,4,류제국,1
0,0,1,0,1,0,0,1,1,0,0,6 강민호,4,김지용,5
1,0,0,1,0,0,0,1,0,0,1,6 강민호,4,박종훈,1
1,0,0,1,0,0,1,0,1,0,0,6 강민호,4,박종훈,1
0,1,0,1,0,0,0,1,0,1,0,6 강민호,4,박종훈,1
0,0,1,0,1,0,1,0,1,0,0,6 강민호,4,임준혁,-1
0,0,1,1,0,0,1,0,0,1,0,6 강민호,4,박정배,3
1,0,0,0,1,0,1,0,1,0,0,6 강민호,4,켈리,6
