1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,0,1,0,1,0,1,0,6 ±èµ¿¿±,0,·ÎÄ¡,-1
0,1,0,0,1,0,0,1,1,0,0,6 ±èµ¿¿±,0,·ÎÄ¡,-1
0,1,0,0,1,0,0,1,1,0,0,6 ±èµ¿¿±,0,·ÎÄ¡,-1
0,0,1,1,0,0,0,1,1,0,0,6 ±èµ¿¿±,0,±èÀçÀ±,1
1,0,0,0,1,0,0,1,0,1,0,5 ±èµ¿¿±,0,Á¤´ëÇö,-1
0,1,0,0,0,1,0,1,1,0,0,5 ±èµ¿¿±,0,Á¤´ëÇö,-1
0,0,1,0,1,0,0,1,1,0,0,5 ±èµ¿¿±,0,Àå½ÃÈ¯,0
0,0,1,0,0,1,1,0,1,0,0,5 ±èµ¿¿±,0,±èÀçÀ±,1
1,0,0,1,0,0,0,1,1,0,0,5 ±èµ¿¿±,0,ÇÇ¾î¹êµå,1
0,1,0,1,0,0,0,1,1,0,0,5 ±èµ¿¿±,0,ÇÇ¾î¹êµå,1
0,0,1,1,0,0,0,1,1,0,0,5 ±èµ¿¿±,0,½ÉÀç¹Î,-1
1,0,0,1,0,0,0,1,0,1,0,5 ±èµ¿¿±,0,¾çÇöÁ¾,1
1,0,0,0,0,1,1,0,1,0,0,5 ±èµ¿¿±,0,¾çÇöÁ¾,1
0,1,0,0,1,0,1,0,1,0,0,5 ±èµ¿¿±,0,¾çÇöÁ¾,1
0,0,1,0,1,0,0,1,1,0,0,5 ±èµ¿¿±,0,¹ÚÁöÈÆ,3
1,0,0,0,1,0,1,0,0,1,0,6 ±èµ¿¿±,0,ÀÓ±â¿µ,0
0,1,0,0,0,1,0,1,1,0,0,6 ±èµ¿¿±,0,ÀÓ±â¿µ,0
0,0,1,1,0,0,0,1,1,0,0,6 ±èµ¿¿±,0,½Éµ¿¼·,-1
1,0,0,1,0,0,0,1,0,1,0,4 ±èµ¿¿±,0,¸Ç½±,1
