1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,1,0,0,1,1,0,0,9 ±è¹Î¼ö,-1,±è¼º¹è,-1
1,0,0,0,1,0,1,0,1,0,0,9 ±è¹Î¼ö,-1,ÀÓ±â¿µ,0
0,1,0,0,0,1,0,1,1,0,0,9 ±è¹Î¼ö,-1,ÀÓ±â¿µ,0
0,1,0,1,0,0,0,1,0,1,0,9 ±è¹Î¼ö,-1,ÃÖ±Ý°­,-1
0,1,0,0,0,1,1,0,1,0,0,9 ±è¹Î¼ö,-1,±èÁø¼º,2
1,0,0,0,1,0,1,0,1,0,0,9 ±è¹Î¼ö,-1,¸Ç½±,1
0,1,0,1,0,0,0,1,1,0,0,9 ±è¹Î¼ö,-1,¸Ç½±,1
0,1,0,0,1,0,0,1,1,0,0,9 ±è¹Î¼ö,-1,°­À±±¸,2
0,0,1,0,1,0,0,1,1,0,0,9 ±è¹Î¼ö,-1,¹ÎÅÂÈ£,-1
0,1,0,0,1,0,1,0,1,0,0,9 ±è¹Î¼ö,-1,¹ÚÄ¡±¹,2
1,0,0,0,0,1,0,1,1,0,0,9 ±è¹Î¼ö,-1,Â÷¿ìÂù,2
0,1,0,0,1,0,0,1,1,0,0,9 ±è¹Î¼ö,-1,Â÷¿ìÂù,2
1,0,0,0,0,1,1,0,0,1,0,9 ±è¹Î¼ö,-1,À±±ÔÁø,2
0,1,0,0,1,0,0,1,1,0,0,9 ±è¹Î¼ö,-1,À±±ÔÁø,2
1,0,0,1,0,0,0,1,1,0,0,9 ±è¹Î¼ö,-1,ÀåÇö½Ä,2
0,1,0,0,0,1,0,1,0,0,1,9 ±è¹Î¼ö,-1,ÀåÇö½Ä,2
1,0,0,0,1,0,1,0,1,0,0,9 ±è¹Î¼ö,-1,ÀÓÂù±Ô,0
0,1,0,0,0,1,0,1,1,0,0,9 ±è¹Î¼ö,-1,ÀÓÂù±Ô,0
1,0,0,0,0,1,1,0,1,0,0,9 ±è¹Î¼ö,-1,ÇÑÇöÈñ,2
0,1,0,1,0,0,1,0,1,0,0,9 ±è¹Î¼ö,-1,ÀÌº¸±Ù,2
0,1,0,0,0,1,1,0,0,1,0,9 ±è¹Î¼ö,-1,½ÅÀç¿µ,2
0,0,1,0,1,0,0,1,1,0,0,9 ±è¹Î¼ö,-1,¿ÀÁÖ¿ø,2
1,0,0,0,0,1,0,1,0,1,0,9 ±è¹Î¼ö,-1,¼Û½ÂÁØ,2
1,0,0,0,0,1,0,1,1,0,0,9 ±è¹Î¼ö,-1,¼Û½ÂÁØ,2
0,1,0,1,0,0,0,1,1,0,0,9 ±è¹Î¼ö,-1,°­¿µ½Ä,-1
0,0,1,0,1,0,0,1,1,0,0,9 ±è¹Î¼ö,-1,¿Á½ºÇÁ¸µ,-1
1,0,0,0,0,1,1,0,1,0,0,9 ±è¹Î¼ö,-1,Àå¿øÁØ,2
0,1,0,1,0,0,0,1,1,0,0,9 ±è¹Î¼ö,-1,Àå¿øÁØ,2
1,0,0,0,1,0,0,1,1,0,0,9 ±è¹Î¼ö,-1,Àå¿ø»ï,2
1,0,0,0,0,1,1,0,1,0,0,9 ±è¹Î¼ö,-1,Àå¿ø»ï,2
0,1,0,1,0,0,1,0,1,0,0,9 ±è¹Î¼ö,-1,Àå¿ø»ï,2
0,0,1,1,0,0,1,0,1,0,0,9 ±è¹Î¼ö,-1,±è°ÇÇÑ,-1
1,0,0,0,1,0,0,1,1,0,0,9 ±è¹Î¼ö,-1,¹è¿µ¼ö,2
1,0,0,0,0,1,1,0,1,0,0,9 ±è¹Î¼ö,-1,±è±¤Çö,1
1,0,0,0,0,1,1,0,0,1,0,9 ±è¹Î¼ö,-1,¿ïÇÁ,-1
0,1,0,0,0,1,0,1,1,0,0,9 ±è¹Î¼ö,-1,¿ïÇÁ,-1
0,0,1,1,0,0,0,1,1,0,0,9 ±è¹Î¼ö,-1,¿þ¹ö,-1
0,0,1,1,0,0,1,0,1,0,0,9 ±è¹Î¼ö,-1,ÀÓÃ¢¹Î,1
1,0,0,0,1,0,0,1,1,0,0,9 ±è¹Î¼ö,-1,ÇØÄ¿,1
0,1,0,1,0,0,0,1,1,0,0,9 ±è¹Î¼ö,-1,ÇØÄ¿,1
0,1,0,1,0,0,0,1,1,0,0,9 ±è¹Î¼ö,-1,ÇØÄ¿,1
1,0,0,1,0,0,1,0,1,0,0,9 ±è¹Î¼ö,-1,°­À±±¸,2
0,1,0,0,1,0,0,1,1,0,0,9 ±è¹Î¼ö,-1,¸¶Á¤±æ,-1
0,1,0,1,0,0,1,0,0,1,0,9 ±è¹Î¼ö,-1,±è´ë¿ì,0
1,0,0,1,0,0,0,1,1,0,0,9 ±è¹Î¼ö,-1,³ªÀÌÆ®,-1
1,0,0,1,0,0,1,0,1,0,0,9 ±è¹Î¼ö,-1,ÇÏ¿µ¹Î,0
0,0,1,0,0,1,0,1,1,0,0,9 ±è¹Î¼ö,-1,ºÀÁß±Ù,-1
1,0,0,0,0,1,0,1,0,1,0,9 ±è¹Î¼ö,-1,¿ì±Ô¹Î,1
0,1,0,0,1,0,1,0,0,1,0,9 ±è¹Î¼ö,-1,¿ì±Ô¹Î,1
0,1,0,0,0,1,1,0,1,0,0,9 ±è¹Î¼ö,-1,½Å½ÂÇö,-1
0,0,1,0,1,0,1,0,1,0,0,9 ±è¹Î¼ö,-1,Á¤ÂùÇå,2
1,0,0,0,0,1,0,1,1,0,0,9 ±è¹Î¼ö,-1,´ÏÆÛÆ®,1
0,1,0,0,0,1,1,0,1,0,0,9 ±è¹Î¼ö,-1,´ÏÆÛÆ®,1
1,0,0,0,0,1,1,0,1,0,0,9 ±è¹Î¼ö,-1,º¼½ºÅ×µå,-1
0,1,0,0,0,1,0,1,1,0,0,9 ±è¹Î¼ö,-1,º¼½ºÅ×µå,-1
1,0,0,0,0,1,0,1,1,0,0,9 ±è¹Î¼ö,-1,È«»ó»ï,2
0,1,0,1,0,0,0,1,1,0,0,9 ±è¹Î¼ö,-1,È«»ó»ï,2
1,0,0,0,0,1,1,0,1,0,0,9 ±è¹Î¼ö,-1,À¯¸Õ,-1
0,1,0,0,0,1,0,1,1,0,0,9 ±è¹Î¼ö,-1,À¯¸Õ,-1
