1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,0,1,1,0,1,0,0,9 김상수,2,박종훈,2
0,1,0,0,1,0,0,1,1,0,0,9 김상수,2,박종훈,2
0,1,0,0,0,1,1,0,1,0,0,9 김상수,2,채병용,2
0,0,1,0,0,1,1,0,1,0,0,9 김상수,2,박정배,2
1,0,0,0,0,1,1,0,1,0,0,9 김상수,2,켈리,4
0,1,0,0,0,1,1,0,0,1,0,9 김상수,2,켈리,4
0,1,0,0,1,0,0,1,1,0,0,9 김상수,2,켈리,4
0,0,1,0,0,1,1,0,0,1,0,9 김상수,2,김성민,2
0,0,1,0,0,1,1,0,1,0,0,9 김상수,2,김성민,2
1,0,0,0,0,1,0,1,0,1,0,9 김상수,2,다이아몬드,-1
0,1,0,0,1,0,0,1,1,0,0,9 김상수,2,다이아몬드,-1
0,1,0,0,1,0,0,1,1,0,0,9 김상수,2,박정배,2
1,0,0,1,0,0,0,1,1,0,0,9 김상수,2,유희관,2
0,1,0,0,1,0,0,1,1,0,0,9 김상수,2,유희관,2
0,0,1,0,0,1,0,1,1,0,0,9 김상수,2,유희관,2
0,0,1,0,0,1,0,1,0,1,0,9 김상수,2,이용찬,1
1,0,0,0,0,1,1,0,0,1,0,9 김상수,2,홍상삼,2
0,1,0,0,1,0,0,1,0,0,1,9 김상수,2,홍상삼,2
0,1,0,1,0,0,0,1,1,0,0,9 김상수,2,김승회,2
1,0,0,0,1,0,0,1,0,1,0,2 김상수,2,니퍼트,1
1,0,0,1,0,0,1,0,0,1,0,2 김상수,2,니퍼트,1
0,1,0,0,1,0,0,1,1,0,0,2 김상수,2,니퍼트,1
0,0,1,1,0,0,0,1,1,0,0,2 김상수,2,이현호,0
1,0,0,0,1,0,0,1,0,1,0,2 김상수,2,해커,1
0,1,0,0,1,0,0,1,1,0,0,2 김상수,2,해커,1
0,1,0,0,1,0,1,0,1,0,0,2 김상수,2,해커,1
0,0,1,1,0,0,0,1,1,0,0,2 김상수,2,해커,1
1,0,0,1,0,0,0,1,0,1,0,1 김상수,2,구창모,2
1,0,0,1,0,0,1,0,1,0,0,1 김상수,2,구창모,2
1,0,0,1,0,0,0,1,1,0,0,7 김상수,2,차우찬,2
0,1,0,0,0,1,0,1,0,1,0,7 김상수,2,차우찬,2
0,0,1,0,0,1,1,0,1,0,0,7 김상수,2,차우찬,2
1,0,0,1,0,0,0,1,1,0,0,1 김상수,2,소사,-1
1,0,0,1,0,0,0,1,0,1,0,1 김상수,2,소사,-1
0,1,0,1,0,0,1,0,1,0,0,1 김상수,2,소사,-1
0,0,1,1,0,0,0,1,1,0,0,1 김상수,2,정찬헌,2
0,0,1,0,1,0,1,0,1,0,0,1 김상수,2,신정락,0
1,0,0,1,0,0,0,1,0,1,0,1 김상수,2,밴헤켄,-1
1,0,0,0,0,1,1,0,0,1,0,1 김상수,2,밴헤켄,-1
0,1,0,1,0,0,0,1,0,1,0,1 김상수,2,밴헤켄,-1
0,0,1,0,0,1,0,1,1,0,0,1 김상수,2,김상수,0
1,0,0,1,0,0,0,1,1,0,0,1 김상수,2,조상우,4
1,0,0,0,0,1,0,1,1,0,0,1 김상수,2,조상우,4
0,1,0,0,0,1,0,1,0,1,0,1 김상수,2,조상우,4
0,0,1,0,1,0,0,1,1,0,0,1 김상수,2,오주원,2
1,0,0,1,0,0,0,1,1,0,0,1 김상수,2,한현희,2
1,0,0,0,1,0,0,1,1,0,0,1 김상수,2,한현희,2
0,1,0,1,0,0,1,0,1,0,0,1 김상수,2,한현희,2
0,0,1,1,0,0,0,1,1,0,0,1 김상수,2,한현희,2
1,0,0,0,1,0,0,1,1,0,0,2 김상수,2,문승원,0
1,0,0,0,1,0,0,1,1,0,0,2 김상수,2,문승원,0
0,1,0,1,0,0,0,1,1,0,0,2 김상수,2,문승원,0
0,0,1,1,0,0,0,1,1,0,0,2 김상수,2,신재웅,1
0,0,1,1,0,0,0,1,1,0,0,2 김상수,2,허건엽,-1
1,0,0,0,1,0,0,1,1,0,0,2 김상수,2,박종훈,2
1,0,0,0,1,0,0,1,0,0,1,2 김상수,2,박종훈,2
0,1,0,1,0,0,0,1,0,1,0,2 김상수,2,박종훈,2
0,0,1,0,1,0,1,0,1,0,0,2 김상수,2,김주한,2
0,0,1,1,0,0,1,0,0,1,0,2 김상수,2,채병용,2
1,0,0,0,1,0,0,1,1,0,0,2 김상수,2,켈리,4
0,1,0,1,0,0,0,1,1,0,0,2 김상수,2,켈리,4
0,0,1,1,0,0,0,1,1,0,0,2 김상수,2,켈리,4
0,0,1,1,0,0,0,1,1,0,0,2 김상수,2,박희수,4
1,0,0,1,0,0,1,0,1,0,0,2 김상수,2,오간도,-1
1,0,0,0,1,0,0,1,1,0,0,2 김상수,2,오간도,-1
0,1,0,1,0,0,0,1,1,0,0,2 김상수,2,오간도,-1
0,0,1,1,0,0,0,1,1,0,0,2 김상수,2,김재영,0
0,0,1,0,0,1,1,0,1,0,0,2 김상수,2,김범수,3
0,1,0,0,0,1,0,1,1,0,0,9 김상수,2,송창식,0
1,0,0,1,0,0,1,0,0,1,0,2 김상수,2,피어밴드,1
1,0,0,0,1,0,0,1,1,0,0,2 김상수,2,피어밴드,1
0,1,0,1,0,0,0,1,1,0,0,2 김상수,2,피어밴드,1
1,0,0,0,1,0,1,0,1,0,0,7 김상수,2,로치,-1
0,1,0,0,1,0,1,0,1,0,0,7 김상수,2,로치,-1
0,1,0,0,1,0,0,1,1,0,0,7 김상수,2,로치,-1
0,0,1,0,0,1,0,1,0,0,1,7 김상수,2,심재민,-1
0,0,1,1,0,0,0,1,1,0,0,7 김상수,2,엄상백,0
1,0,0,0,0,1,0,1,1,0,0,7 김상수,2,최원태,1
0,1,0,0,1,0,0,1,1,0,0,7 김상수,2,최원태,1
0,1,0,0,0,1,1,0,0,1,0,7 김상수,2,최원태,1
0,0,1,0,1,0,0,1,1,0,0,7 김상수,2,김상수,0
1,0,0,0,1,0,0,1,1,0,0,6 김상수,2,김성민,2
0,1,0,1,0,0,0,1,0,0,1,6 김상수,2,김성민,2
0,1,0,0,0,1,1,0,0,0,1,6 김상수,2,금민철,2
0,0,1,0,0,1,0,1,1,0,0,6 김상수,2,김상수,0
1,0,0,0,1,0,0,1,0,1,0,2 김상수,2,박세웅,2
1,0,0,1,0,0,1,0,1,0,0,2 김상수,2,박세웅,2
0,1,0,1,0,0,0,1,1,0,0,2 김상수,2,박세웅,2
0,0,1,0,0,1,1,0,1,0,0,2 김상수,2,박세웅,2
1,0,0,1,0,0,0,1,1,0,0,1 김상수,2,레일리,1
1,0,0,0,0,1,0,1,1,0,0,1 김상수,2,레일리,1
0,1,0,0,0,1,0,1,1,0,0,1 김상수,2,레일리,1
0,0,1,0,1,0,1,0,1,0,0,1 김상수,2,이명우,-1
0,0,1,0,0,1,1,0,1,0,0,1 김상수,2,이명우,-1
1,0,0,0,0,1,0,1,1,0,0,6 김상수,2,애디튼,-1
0,1,0,0,1,0,0,1,1,0,0,6 김상수,2,애디튼,-1
0,1,0,0,0,1,1,0,0,1,0,6 김상수,2,윤길현,2
0,0,1,0,1,0,0,1,1,0,0,6 김상수,2,배장호,2
1,0,0,1,0,0,0,1,1,0,0,7 김상수,2,김진우,-1
1,0,0,0,1,0,1,0,1,0,0,7 김상수,2,고효준,0
0,1,0,0,1,0,0,1,0,1,0,7 김상수,2,고효준,0
0,0,1,0,0,1,0,1,0,1,0,7 김상수,2,김광수,-1
1,0,0,0,1,0,0,1,0,1,0,7 김상수,2,팻딘,-1
0,1,0,0,1,0,1,0,1,0,0,7 김상수,2,팻딘,-1
0,1,0,0,1,0,1,0,1,0,0,7 김상수,2,팻딘,-1
0,0,1,1,0,0,0,1,1,0,0,7 김상수,2,김윤동,2
0,0,1,0,0,1,0,1,1,0,0,7 김상수,2,임창용,-1
1,0,0,1,0,0,0,1,1,0,0,6 김상수,2,정용운,3
1,0,0,0,0,1,1,0,1,0,0,6 김상수,2,정용운,3
0,1,0,1,0,0,0,1,1,0,0,6 김상수,2,남재현,-1
0,0,1,0,0,1,1,0,0,1,0,6 김상수,2,심동섭,-1
1,0,0,0,1,0,0,1,1,0,0,7 김상수,2,장원준,2
0,1,0,0,1,0,0,1,1,0,0,7 김상수,2,장원준,2
0,1,0,1,0,0,0,1,1,0,0,7 김상수,2,장원준,2
0,0,1,0,0,1,1,0,1,0,0,7 김상수,2,김승회,2
0,0,1,0,1,0,1,0,1,0,0,7 김상수,2,김강률,2
0,0,1,0,1,0,0,1,1,0,0,7 김상수,2,이용찬,1
0,0,1,0,1,0,0,1,1,0,0,1 김상수,2,이용찬,1
1,0,0,1,0,0,1,0,0,1,0,8 김상수,2,니퍼트,1
0,1,0,0,0,1,0,1,1,0,0,8 김상수,2,니퍼트,1
0,0,1,0,1,0,1,0,1,0,0,8 김상수,2,김강률,2
0,0,1,1,0,0,0,1,0,1,0,8 김상수,2,김승회,2
1,0,0,0,1,0,0,1,1,0,0,2 김상수,2,오간도,-1
1,0,0,0,1,0,0,1,1,0,0,2 김상수,2,오간도,-1
0,1,0,0,1,0,0,1,1,0,0,2 김상수,2,심수창,0
0,0,1,0,1,0,0,1,1,0,0,2 김상수,2,송창식,0
0,0,1,1,0,0,0,1,0,1,0,2 김상수,2,정우람,4
1,0,0,0,1,0,0,1,1,0,0,2 김상수,2,배영수,2
0,1,0,1,0,0,1,0,1,0,0,2 김상수,2,배영수,2
0,1,0,0,1,0,0,1,0,1,0,2 김상수,2,배영수,2
1,0,0,1,0,0,0,1,1,0,0,8 김상수,2,비야누에바,-1
0,1,0,0,0,1,0,1,1,0,0,8 김상수,2,비야누에바,-1
0,0,1,1,0,0,0,1,1,0,0,8 김상수,2,송창식,0
1,0,0,0,0,1,1,0,1,0,0,8 김상수,2,로치,-1
0,1,0,1,0,0,0,1,1,0,0,8 김상수,2,로치,-1
0,0,1,0,1,0,0,1,0,1,0,2 김상수,2,임정호,-1
0,0,1,1,0,0,1,0,1,0,0,2 김상수,2,임창민,1
0,0,1,0,1,0,1,0,1,0,0,2 김상수,2,원종현,1
1,0,0,0,1,0,0,1,0,1,0,8 김상수,2,맨쉽,1
1,0,0,0,0,1,0,1,1,0,0,8 김상수,2,맨쉽,1
0,1,0,1,0,0,0,1,1,0,0,8 김상수,2,강윤구,2
0,0,1,1,0,0,0,1,1,0,0,8 김상수,2,민태호,-1
1,0,0,1,0,0,0,1,0,1,0,8 김상수,2,고원준,-1
0,1,0,0,1,0,0,1,0,1,0,8 김상수,2,이영하,2
0,0,1,1,0,0,0,1,1,0,0,8 김상수,2,이영하,2
1,0,0,0,1,0,0,1,1,0,0,8 김상수,2,니퍼트,1
1,0,0,0,0,1,1,0,0,1,0,8 김상수,2,임찬규,0
1,0,0,0,0,1,1,0,1,0,0,8 김상수,2,임찬규,0
0,1,0,1,0,0,0,1,0,1,0,8 김상수,2,배민관,-1
0,0,1,0,0,1,1,0,1,0,0,8 김상수,2,고우석,2
0,0,1,0,0,1,0,1,0,0,1,9 김상수,2,김진성,2
1,0,0,1,0,0,1,0,0,1,0,8 김상수,2,허프,-1
0,1,0,0,0,1,1,0,1,0,0,8 김상수,2,허프,-1
0,0,1,0,1,0,0,1,1,0,0,8 김상수,2,허프,-1
1,0,0,0,0,1,0,1,1,0,0,9 김상수,2,니퍼트,1
0,1,0,0,1,0,0,1,1,0,0,9 김상수,2,니퍼트,1
0,0,1,0,0,1,1,0,0,1,0,9 김상수,2,김강률,2
1,0,0,1,0,0,0,1,1,0,0,9 김상수,2,유희관,2
0,1,0,0,1,0,0,1,1,0,0,9 김상수,2,유희관,2
0,1,0,1,0,0,1,0,1,0,0,9 김상수,2,유희관,2
0,0,1,1,0,0,0,1,0,1,0,9 김상수,2,김강률,2
1,0,0,0,1,0,0,1,1,0,0,9 김상수,2,밴와트,-1
0,1,0,0,1,0,0,1,1,0,0,9 김상수,2,밴와트,-1
0,1,0,0,1,0,1,0,1,0,0,9 김상수,2,고영표,-1
1,0,0,0,0,1,0,1,0,1,0,9 김상수,2,정성곤,0
0,1,0,0,1,0,1,0,1,0,0,9 김상수,2,정성곤,0
0,1,0,0,0,1,0,1,0,1,0,9 김상수,2,조무근,1
0,1,0,0,0,1,1,0,1,0,0,9 김상수,2,김사율,-1
1,0,0,1,0,0,0,1,0,1,0,9 김상수,2,엄상백,0
0,1,0,0,0,1,1,0,1,0,0,9 김상수,2,엄상백,0
0,1,0,0,1,0,1,0,0,1,0,9 김상수,2,고영표,-1
0,0,1,0,0,1,0,1,1,0,0,9 김상수,2,주권,0
1,0,0,0,1,0,0,1,1,0,0,9 김상수,2,레일리,1
1,0,0,0,0,1,0,1,1,0,0,9 김상수,2,레일리,1
0,1,0,0,1,0,0,1,1,0,0,9 김상수,2,레일리,1
0,0,1,0,1,0,0,1,1,0,0,9 김상수,2,김성배,-1
1,0,0,1,0,0,0,1,0,1,0,9 김상수,2,송승준,2
0,1,0,0,0,1,1,0,1,0,0,9 김상수,2,송승준,2
0,0,1,1,0,0,0,1,1,0,0,9 김상수,2,윤길현,2
0,0,1,0,1,0,0,1,1,0,0,9 김상수,2,김성배,-1
1,0,0,0,1,0,0,1,1,0,0,9 김상수,2,박세웅,2
0,1,0,1,0,0,1,0,1,0,0,9 김상수,2,박세웅,2
0,1,0,1,0,0,1,0,1,0,0,9 김상수,2,정대현,-1
1,0,0,1,0,0,0,1,1,0,0,9 김상수,2,이민호,2
