3,4,5,6,7,8,9,10,11,1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_1,base_2,base_3,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,7 ±è¼ºÈÆ,-1,ÀÌ¿µÁØ,A
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6 ±è¼ºÈÆ,-1,ÇÏ¿µ¹Î,A
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,8 ±è¼ºÈÆ,-1,ºê¸®°Ë,A
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,8 ±è¼ºÈÆ,-1,ºê¸®°Ë,A
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,8 ±è¼ºÈÆ,-1,ºê¸®°Ë,A
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,8 ±è¼ºÈÆ,-1,ÇÑÇöÈñ,A
0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,7 ±è¼ºÈÆ,-1,±è½ÂÈ¸,A
0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2 ±è¼ºÈÆ,-1,´ÏÆÛÆ®,A
0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2 ±è¼ºÈÆ,-1,´ÏÆÛÆ®,A
0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2 ±è¼ºÈÆ,-1,´ÏÆÛÆ®,A
0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2 ±è¼ºÈÆ,-1,±è¸í½Å,A
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2 ±è¼ºÈÆ,-1,ÀÌ¿ëÂù,A
0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2 ±è¼ºÈÆ,-1,À¯Èñ°ü,A
0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2 ±è¼ºÈÆ,-1,À¯Èñ°ü,A
0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,2 ±è¼ºÈÆ,-1,À¯Èñ°ü,A
0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2 ±è¼ºÈÆ,-1,À¯Èñ°ü,A
0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2 ±è¼ºÈÆ,-1,±è¼º¹è,A
0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,2 ±è¼ºÈÆ,-1,ÀÌÀçÇÐ,A
0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2 ±è¼ºÈÆ,-1,ÀÌÀçÇÐ,A
0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,2 ±è¼ºÈÆ,-1,ÀÌÀçÇÐ,A
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2 ±è¼ºÈÆ,-1,±èÁø¼º,A
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,2 ±è¼ºÈÆ,-1,ÀÓÃ¢¹Î,A
0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,2 ±è¼ºÈÆ,-1,¸Ç½±,A
0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2 ±è¼ºÈÆ,-1,¸Ç½±,A
0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2 ±è¼ºÈÆ,-1,¸Ç½±,A
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,2 ±è¼ºÈÆ,-1,¿øÁ¾Çö,A
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,2 ±è¼ºÈÆ,-1,À±¼öÈ£,A
0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2 ±è¼ºÈÆ,-1,ÀåÇö½Ä,A
0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,2 ±è¼ºÈÆ,-1,ÀåÇö½Ä,A
0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2 ±è¼ºÈÆ,-1,ÀåÇö½Ä,A
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2 ±è¼ºÈÆ,-1,±èÁø¼º,A
0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2 ±è¼ºÈÆ,-1,·ùÁ¦±¹,A
0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,2 ±è¼ºÈÆ,-1,·ùÁ¦±¹,A
0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2 ±è¼ºÈÆ,-1,·ùÁ¦±¹,A
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2 ±è¼ºÈÆ,-1,ÃÖ¼ºÈÆ,A
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2 ±è¼ºÈÆ,-1,Á¤ÂùÇå,A
