1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,1,0,0,0,1,1,0,0,1,0,5 김재현,1,최금강,-1
0,0,1,1,0,0,0,1,1,0,0,5 김재현,1,박민석,-1
0,0,1,0,0,1,0,1,0,1,0,7 김재현,1,유희관,2
0,0,1,1,0,0,0,1,1,0,0,7 김재현,1,이현승,2
0,0,1,1,0,0,0,1,1,0,0,7 김재현,1,김민수,0
1,0,0,0,1,0,0,1,1,0,0,9 김재현,1,우규민,1
0,1,0,1,0,0,1,0,1,0,0,9 김재현,1,우규민,1
1,0,0,0,0,1,0,1,1,0,0,9 김재현,1,코프랜드,-1
0,1,0,0,0,1,0,1,1,0,0,9 김재현,1,코프랜드,-1
1,0,0,0,1,0,0,1,0,1,0,9 김재현,1,심수창,0
0,1,0,0,1,0,0,1,0,0,1,9 김재현,1,박정진,-1
0,0,1,1,0,0,0,1,1,0,0,9 김재현,1,권혁,1
1,0,0,1,0,0,1,0,1,0,0,9 김재현,1,이태양,0
0,1,0,1,0,0,1,0,1,0,0,9 김재현,1,이태양,0
0,0,1,1,0,0,0,1,0,1,0,9 김재현,1,안영명,2
0,0,1,0,1,0,1,0,1,0,0,9 김재현,1,장민재,0
1,0,0,0,0,1,0,1,0,0,1,9 김재현,1,마에스트리,-1
1,0,0,0,0,1,0,1,1,0,0,9 김재현,1,김민우,3
0,1,0,0,1,0,0,1,0,1,0,9 김재현,1,김민우,3
0,0,1,0,1,0,1,0,1,0,0,9 김재현,1,송창식,0
1,0,0,0,1,0,0,1,0,1,0,9 김재현,1,양훈,-1
0,1,0,0,0,1,1,0,1,0,0,9 김재현,1,양훈,-1
1,0,0,0,1,0,1,0,1,0,0,9 김재현,1,코엘로,-1
0,1,0,1,0,0,0,1,1,0,0,9 김재현,1,코엘로,-1
0,0,1,1,0,0,0,1,1,0,0,9 김재현,1,이보근,2
0,0,1,0,1,0,0,1,0,1,0,9 김재현,1,김세현,2
1,0,0,0,0,1,0,1,1,0,0,9 김재현,1,신재영,2
0,1,0,0,0,1,1,0,1,0,0,9 김재현,1,신재영,2
0,1,0,0,0,1,0,1,1,0,0,9 김재현,1,하영민,0
1,0,0,0,1,0,0,1,1,0,0,9 김재현,1,김광현,1
0,1,0,0,1,0,1,0,1,0,0,9 김재현,1,김광현,1
0,0,1,0,0,1,0,1,1,0,0,9 김재현,1,김광현,1
1,0,0,0,1,0,1,0,1,0,0,9 김재현,1,켈리,4
0,1,0,1,0,0,0,1,1,0,0,9 김재현,1,켈리,4
1,0,0,0,0,1,0,1,1,0,0,9 김재현,1,박종훈,2
0,1,0,0,0,1,0,1,1,0,0,9 김재현,1,박종훈,2
0,1,0,0,1,0,0,1,1,0,0,9 김재현,1,김승회,2
0,0,1,1,0,0,0,1,1,0,0,9 김재현,1,박정배,2
0,0,1,0,0,1,1,0,1,0,0,9 김재현,1,박희수,4
0,0,1,1,0,0,1,0,1,0,0,9 김재현,1,전유수,0
1,0,0,0,1,0,0,1,1,0,0,9 김재현,1,우규민,1
1,0,0,0,0,1,0,1,0,0,1,9 김재현,1,우규민,1
0,1,0,0,1,0,0,1,1,0,0,9 김재현,1,진해수,0
0,0,1,1,0,0,0,1,1,0,0,9 김재현,1,이동현,1
0,0,1,1,0,0,0,1,1,0,0,9 김재현,1,최동환,0
1,0,0,1,0,0,1,0,1,0,0,9 김재현,1,소사,-1
0,1,0,1,0,0,0,1,1,0,0,9 김재현,1,소사,-1
1,0,0,1,0,0,1,0,1,0,0,9 김재현,1,이준형,0
0,1,0,0,0,1,1,0,0,1,0,9 김재현,1,이준형,0
0,1,0,0,1,0,1,0,1,0,0,9 김재현,1,유원상,0
0,0,1,0,0,1,0,1,0,0,1,9 김재현,1,신승현,-1
0,0,1,0,1,0,0,1,1,0,0,9 김재현,1,임정우,2
1,0,0,0,0,1,0,1,0,1,0,9 김재현,1,레일리,1
0,1,0,0,0,1,0,1,1,0,0,9 김재현,1,레일리,1
0,1,0,0,1,0,1,0,1,0,0,9 김재현,1,레일리,1
1,0,0,1,0,0,1,0,0,1,0,9 김재현,1,이성민,-1
1,0,0,1,0,0,0,1,1,0,0,9 김재현,1,이성민,-1
0,1,0,1,0,0,0,1,1,0,0,9 김재현,1,정대현,-1
0,0,1,0,0,1,0,1,0,1,0,9 김재현,1,배장호,2
1,0,0,0,1,0,1,0,1,0,0,9 김재현,1,박세웅,2
0,1,0,0,0,1,1,0,0,1,0,9 김재현,1,박세웅,2
1,0,0,0,1,0,0,1,1,0,0,9 김재현,1,이태양,0
0,1,0,0,0,1,0,1,1,0,0,9 김재현,1,이태양,0
0,1,0,0,0,1,1,0,0,0,1,9 김재현,1,윤규진,2
0,0,1,0,0,1,0,1,1,0,0,9 김재현,1,정우람,4
1,0,0,1,0,0,1,0,1,0,0,9 김재현,1,심수창,0
0,1,0,1,0,0,0,1,0,1,0,9 김재현,1,심수창,0
0,1,0,1,0,0,1,0,1,0,0,9 김재현,1,김범수,3
0,0,1,0,1,0,0,1,1,0,0,9 김재현,1,정재원,3
0,0,1,0,0,1,0,1,1,0,0,9 김재현,1,정재원,3
1,0,0,0,0,1,1,0,0,1,0,9 김재현,1,로저스,-1
0,1,0,0,1,0,1,0,1,0,0,9 김재현,1,로저스,-1
1,0,0,0,1,0,0,1,0,1,0,9 김재현,1,배재환,2
1,0,0,1,0,0,1,0,0,0,1,9 김재현,1,민태호,-1
0,1,0,0,0,1,0,1,1,0,0,9 김재현,1,민태호,-1
0,1,0,0,1,0,1,0,0,0,1,9 김재현,1,김선규,-1
0,0,1,1,0,0,1,0,1,0,0,9 김재현,1,김선규,-1
1,0,0,0,1,0,1,0,1,0,0,9 김재현,1,이민호,2
0,1,0,0,0,1,0,1,0,0,1,9 김재현,1,이민호,2
0,0,1,1,0,0,0,1,1,0,0,9 김재현,1,최금강,-1
1,0,0,1,0,0,0,1,1,0,0,9 김재현,1,스튜어트,-1
0,1,0,0,0,1,0,1,1,0,0,9 김재현,1,스튜어트,-1
0,1,0,0,1,0,0,1,1,0,0,9 김재현,1,최금강,-1
1,0,0,0,0,1,0,1,1,0,0,9 김재현,1,정용운,3
0,1,0,0,0,1,0,1,1,0,0,9 김재현,1,최영필,-1
1,0,0,1,0,0,0,1,1,0,0,9 김재현,1,양현종,1
0,1,0,0,1,0,1,0,0,1,0,9 김재현,1,양현종,1
0,1,0,0,0,1,0,1,1,0,0,9 김재현,1,양현종,1
0,0,1,0,0,1,0,1,1,0,0,9 김재현,1,박준표,0
1,0,0,1,0,0,0,1,1,0,0,9 김재현,1,헥터,-1
0,1,0,0,0,1,1,0,0,1,0,9 김재현,1,헥터,-1
1,0,0,0,1,0,0,1,1,0,0,9 김재현,1,박종훈,2
0,1,0,1,0,0,0,1,0,0,1,9 김재현,1,박종훈,2
0,0,1,0,0,1,1,0,1,0,0,9 김재현,1,채병용,2
1,0,0,0,1,0,0,1,1,0,0,9 김재현,1,문승원,0
0,1,0,0,1,0,0,1,1,0,0,9 김재현,1,문승원,0
0,1,0,1,0,0,0,1,0,1,0,9 김재현,1,문광은,3
0,0,1,1,0,0,0,1,0,1,0,9 김재현,1,문광은,3
0,0,1,0,1,0,0,1,1,0,0,9 김재현,1,박민호,2
1,0,0,1,0,0,0,1,1,0,0,9 김재현,1,세든,-1
1,0,0,1,0,0,0,1,0,1,0,9 김재현,1,전유수,0
0,1,0,1,0,0,0,1,0,1,0,9 김재현,1,김승회,2
0,0,1,1,0,0,0,1,0,1,0,9 김재현,1,김주한,2
0,0,1,0,1,0,0,1,1,0,0,9 김재현,1,채병용,2
1,0,0,0,1,0,0,1,0,1,0,9 김재현,1,피어밴드,1
0,1,0,1,0,0,0,1,1,0,0,9 김재현,1,피어밴드,1
0,1,0,1,0,0,1,0,1,0,0,9 김재현,1,김정훈,-1
0,0,1,1,0,0,0,1,1,0,0,9 김재현,1,마정길,-1
1,0,0,0,0,1,0,1,1,0,0,9 김재현,1,박주현,-1
0,1,0,1,0,0,0,1,1,0,0,9 김재현,1,박주현,-1
1,0,0,0,1,0,1,0,1,0,0,9 김재현,1,양훈,-1
1,0,0,0,1,0,0,1,1,0,0,9 김재현,1,양훈,-1
0,1,0,0,1,0,0,1,1,0,0,9 김재현,1,최원태,1
0,1,0,0,1,0,1,0,1,0,0,9 김재현,1,최원태,1
0,0,1,0,1,0,0,1,1,0,0,9 김재현,1,마정길,-1
1,0,0,0,1,0,0,1,1,0,0,9 김재현,1,이태양,0
1,0,0,1,0,0,0,1,1,0,0,9 김재현,1,로저스,-1
0,1,0,1,0,0,0,1,1,0,0,9 김재현,1,김재영,0
0,1,0,0,0,1,1,0,1,0,0,9 김재현,1,송창식,0
0,0,1,1,0,0,1,0,1,0,0,9 김재현,1,심수창,0
0,0,1,1,0,0,0,1,1,0,0,9 김재현,1,심수창,0
0,1,0,0,0,1,0,1,1,0,0,5 김재현,1,권혁,1
0,0,1,0,1,0,0,1,1,0,0,5 김재현,1,정우람,4
0,0,1,0,1,0,1,0,0,0,1,2 김재현,1,김대현,3
0,0,1,0,0,1,0,1,1,0,0,2 김재현,1,김대현,3
0,0,1,0,0,1,0,1,0,0,1,9 김재현,1,박희수,4
1,0,0,0,0,1,1,0,1,0,0,9 김재현,1,장원준,2
0,1,0,1,0,0,1,0,1,0,0,9 김재현,1,장원준,2
1,0,0,0,1,0,0,1,1,0,0,8 김재현,1,유희관,2
0,1,0,0,1,0,1,0,0,1,0,8 김재현,1,유희관,2
0,0,1,1,0,0,0,1,1,0,0,8 김재현,1,유희관,2
0,0,1,0,1,0,0,1,1,0,0,8 김재현,1,이현승,2
1,0,0,0,1,0,0,1,1,0,0,9 김재현,1,신재영,2
0,1,0,1,0,0,0,1,1,0,0,9 김재현,1,신재영,2
0,0,1,1,0,0,1,0,1,0,0,9 김재현,1,이보근,2
1,0,0,0,0,1,0,1,0,1,0,9 김재현,1,피어밴드,1
0,1,0,0,1,0,0,1,1,0,0,9 김재현,1,피어밴드,1
0,1,0,1,0,0,1,0,1,0,0,9 김재현,1,피어밴드,1
0,0,1,1,0,0,0,1,1,0,0,9 김재현,1,정용준,-1
1,0,0,0,1,0,0,1,1,0,0,9 김재현,1,피노,-1
0,1,0,1,0,0,0,1,0,1,0,9 김재현,1,정성곤,0
0,1,0,1,0,0,0,1,1,0,0,9 김재현,1,최원재,-1
0,0,1,0,1,0,0,1,1,0,0,9 김재현,1,엄상백,0
0,0,1,0,0,1,1,0,1,0,0,8 김재현,1,이성민,-1
0,1,0,1,0,0,0,1,1,0,0,9 김재현,1,박시영,3
0,0,1,0,1,0,1,0,1,0,0,9 김재현,1,이성민,-1
0,0,1,1,0,0,0,1,1,0,0,9 김재현,1,손승락,1
0,0,1,0,0,1,0,1,1,0,0,7 김재현,1,임정우,2
0,0,1,1,0,0,0,1,1,0,0,7 김재현,1,정우람,4
0,0,1,0,0,1,0,1,0,1,0,7 김재현,1,정대훈,-1
0,1,0,0,1,0,0,1,1,0,0,9 김재현,1,윤규진,2
0,1,0,0,1,0,0,1,1,0,0,9 김재현,1,장민재,0
0,0,1,0,1,0,0,1,1,0,0,9 김재현,1,박정진,-1
0,0,1,1,0,0,0,1,1,0,0,7 김재현,1,박시영,3
0,0,1,0,1,0,0,1,1,0,0,6 김재현,1,마정길,-1
0,0,1,1,0,0,1,0,1,0,0,6 김재현,1,이정훈,-1
0,0,1,0,1,0,0,1,1,0,0,9 김재현,1,박준표,0
0,0,1,0,0,1,0,1,0,0,1,9 김재현,1,신재영,2
1,0,0,0,1,0,1,0,1,0,0,9 김재현,1,밴헤켄,-1
0,1,0,1,0,0,0,1,1,0,0,9 김재현,1,밴헤켄,-1
1,0,0,1,0,0,1,0,0,0,1,9 김재현,1,윤희상,2
0,1,0,0,1,0,1,0,0,1,0,9 김재현,1,윤희상,2
0,1,0,0,1,0,1,0,0,0,1,9 김재현,1,김주한,2
0,0,1,1,0,0,0,1,0,0,1,9 김재현,1,박정배,2
1,0,0,0,1,0,0,1,1,0,0,9 김재현,1,김광현,1
0,1,0,1,0,0,0,1,0,1,0,9 김재현,1,김광현,1
0,0,1,0,1,0,0,1,0,1,0,9 김재현,1,채병용,2
0,0,1,0,0,1,0,1,1,0,0,9 김재현,1,김유영,-1
0,1,0,0,1,0,0,1,1,0,0,6 김재현,1,유희관,2
1,0,0,0,1,0,1,0,0,1,0,8 김재현,1,정성곤,0
1,0,0,0,0,1,1,0,1,0,0,8 김재현,1,이상화,0
0,1,0,0,1,0,0,1,1,0,0,8 김재현,1,이상화,0
0,1,0,0,0,1,0,1,1,0,0,8 김재현,1,심재민,-1
0,0,1,0,1,0,0,1,1,0,0,8 김재현,1,조무근,1
1,0,0,1,0,0,0,1,0,1,0,8 김재현,1,밴와트,-1
0,1,0,1,0,0,0,1,1,0,0,8 김재현,1,밴와트,-1
0,1,0,0,1,0,0,1,1,0,0,8 김재현,1,고영표,-1
1,0,0,1,0,0,0,1,1,0,0,9 김재현,1,린드블럼,1
0,1,0,0,1,0,0,1,1,0,0,9 김재현,1,린드블럼,1
0,0,1,1,0,0,0,1,1,0,0,7 김재현,1,이정민,-1
0,1,0,1,0,0,0,1,1,0,0,6 김재현,1,장현식,2
0,1,0,0,1,0,0,1,1,0,0,6 김재현,1,이민호,2
0,0,1,0,0,1,0,1,0,1,0,6 김재현,1,김진성,2
0,0,1,0,1,0,1,0,1,0,0,7 김재현,1,심수창,0
0,0,1,1,0,0,1,0,1,0,0,7 김재현,1,윤규진,2
0,0,1,1,0,0,0,1,0,1,0,7 김재현,1,윤규진,2
1,0,0,0,0,1,0,1,1,0,0,8 김재현,1,이재우,-1
0,1,0,1,0,0,0,1,0,1,0,8 김재현,1,박정진,-1
0,1,0,0,1,0,1,0,1,0,0,8 김재현,1,심수창,0
0,0,1,0,0,1,0,1,1,0,0,8 김재현,1,장민재,0
0,0,1,0,1,0,1,0,1,0,0,7 김재현,1,전유수,0
0,0,1,1,0,0,1,0,0,1,0,7 김재현,1,서진용,2
0,0,1,0,1,0,1,0,0,1,0,8 김재현,1,이승현,2
0,0,1,0,1,0,0,1,0,1,0,7 김재현,1,이정민,-1
0,1,0,0,0,1,1,0,1,0,0,6 김재현,1,마정길,-1
1,0,0,1,0,0,1,0,1,0,0,8 김재현,1,맥그레거,-1
0,1,0,0,1,0,0,1,1,0,0,8 김재현,1,맥그레거,-1
0,1,0,0,1,0,0,1,1,0,0,8 김재현,1,김상수,0
0,0,1,0,0,1,0,1,0,1,0,8 김재현,1,이보근,2
1,0,0,0,0,1,0,1,1,0,0,8 김재현,1,장현식,2
0,1,0,0,1,0,1,0,1,0,0,8 김재현,1,장현식,2
0,1,0,0,0,1,0,1,1,0,0,8 김재현,1,배재환,2
0,0,1,0,1,0,0,1,1,0,0,9 김재현,1,해커,1
0,0,1,1,0,0,0,1,1,0,0,9 김재현,1,김진성,2
1,0,0,0,0,1,1,0,1,0,0,9 김재현,1,허프,-1
0,1,0,0,0,1,0,1,1,0,0,9 김재현,1,허프,-1
0,0,1,0,0,1,0,1,1,0,0,9 김재현,1,김지용,2
0,0,1,0,1,0,0,1,1,0,0,9 김재현,1,정찬헌,2
1,0,0,0,1,0,1,0,1,0,0,8 김재현,1,지크,-1
0,1,0,1,0,0,0,1,0,1,0,8 김재현,1,지크,-1
0,0,1,1,0,0,0,1,1,0,0,8 김재현,1,윤석민,1
0,0,1,0,1,0,0,1,1,0,0,8 김재현,1,임창용,-1
1,0,0,0,1,0,0,1,1,0,0,9 김재현,1,고효준,0
0,1,0,1,0,0,0,1,1,0,0,9 김재현,1,김윤동,2
0,1,0,0,0,1,1,0,1,0,0,9 김재현,1,홍건희,0
0,0,1,0,0,1,0,1,1,0,0,3 김재현,1,김선규,-1
0,0,1,1,0,0,1,0,1,0,0,1 김재현,1,마정길,-1
1,0,0,1,0,0,0,1,1,0,0,9 김재현,1,채병용,2
