1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,0,1,0,1 박해민,3,헥터,-1
1,0,0,0,1,0,1,0,1,0,0,1 박해민,3,헥터,-1
0,1,0,1,0,0,0,1,1,0,0,1 박해민,3,헥터,-1
0,0,1,0,1,0,0,1,0,0,1,1 박해민,3,심동섭,4
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,팻딘,-1
1,0,0,0,1,0,1,0,1,0,0,1 박해민,3,팻딘,-1
0,1,0,1,0,0,1,0,1,0,0,1 박해민,3,팻딘,-1
0,0,1,0,0,1,1,0,1,0,0,1 박해민,3,팻딘,-1
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,김윤동,-1
1,0,0,0,1,0,0,1,1,0,0,1 박해민,3,김윤동,-1
0,1,0,0,1,0,0,1,0,1,0,1 박해민,3,홍건희,-1
0,1,0,1,0,0,0,1,0,0,1,1 박해민,3,고효준,2
0,1,0,0,1,0,1,0,1,0,0,1 박해민,3,고효준,2
1,0,0,1,0,0,0,1,0,0,1,1 박해민,3,차우찬,1
1,0,0,0,1,0,1,0,1,0,0,1 박해민,3,차우찬,1
0,1,0,0,1,0,1,0,0,1,0,1 박해민,3,차우찬,1
0,0,1,0,1,0,0,1,0,1,0,1 박해민,3,차우찬,1
0,0,1,0,0,1,0,1,1,0,0,1 박해민,3,김대현,-1
1,0,0,1,0,0,0,1,0,1,0,1 박해민,3,소사,1
1,0,0,0,1,0,0,1,1,0,0,1 박해민,3,소사,1
0,1,0,1,0,0,0,1,1,0,0,1 박해민,3,소사,1
0,0,1,0,0,1,0,1,1,0,0,1 박해민,3,최성훈,-1
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,로치,-1
1,0,0,0,1,0,0,1,1,0,0,1 박해민,3,로치,-1
0,1,0,0,0,1,1,0,0,1,0,1 박해민,3,로치,-1
0,0,1,0,0,1,1,0,1,0,0,1 박해민,3,로치,-1
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,정대현,-1
1,0,0,1,0,0,1,0,0,1,0,1 박해민,3,정대현,-1
0,1,0,0,0,1,0,1,0,0,1,1 박해민,3,정대현,-1
0,0,1,0,0,1,0,1,1,0,0,1 박해민,3,심재민,-1
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,피어밴드,-1
0,1,0,1,0,0,0,1,1,0,0,1 박해민,3,피어밴드,-1
0,0,1,1,0,0,0,1,0,1,0,1 박해민,3,피어밴드,-1
0,0,1,0,0,1,1,0,0,1,0,1 박해민,3,피어밴드,-1
1,0,0,1,0,0,0,1,0,1,0,1 박해민,3,배영수,-1
1,0,0,0,1,0,1,0,1,0,0,1 박해민,3,배영수,-1
0,1,0,0,0,1,1,0,0,1,0,1 박해민,3,배영수,-1
0,1,0,1,0,0,1,0,1,0,0,1 박해민,3,박정진,-1
0,0,1,0,1,0,0,1,1,0,0,1 박해민,3,심수창,4
0,0,1,0,0,1,0,1,1,0,0,1 박해민,3,정우람,-1
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,오간도,-1
1,0,0,0,0,1,1,0,1,0,0,1 박해민,3,오간도,-1
0,1,0,1,0,0,0,1,0,1,0,1 박해민,3,오간도,-1
0,0,1,1,0,0,1,0,0,1,0,1 박해민,3,윤규진,3
0,0,1,0,0,1,0,1,0,1,0,1 박해민,3,정우람,-1
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,비야누에바,-1
1,0,0,0,1,0,0,1,1,0,0,1 박해민,3,비야누에바,-1
0,1,0,1,0,0,0,1,1,0,0,1 박해민,3,비야누에바,-1
0,0,1,1,0,0,0,1,1,0,0,1 박해민,3,박정진,-1
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,박진형,-1
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,박진형,-1
0,1,0,1,0,0,0,1,0,1,0,1 박해민,3,박진형,-1
0,1,0,0,0,1,0,1,1,0,0,1 박해민,3,배장호,2
0,0,1,0,0,1,0,1,1,0,0,1 박해민,3,박시영,-1
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,애디튼,-1
1,0,0,0,0,1,1,0,1,0,0,1 박해민,3,애디튼,-1
0,1,0,0,1,0,0,1,1,0,0,1 박해민,3,애디튼,-1
0,0,1,1,0,0,1,0,1,0,0,1 박해민,3,이정민,-1
0,0,1,1,0,0,1,0,1,0,0,1 박해민,3,손승락,0
1,0,0,1,0,0,0,1,0,1,0,1 박해민,3,박세웅,-1
1,0,0,0,1,0,0,1,1,0,0,1 박해민,3,박세웅,-1
0,1,0,0,0,1,1,0,1,0,0,1 박해민,3,박세웅,-1
0,0,1,0,1,0,0,1,1,0,0,1 박해민,3,강영식,-1
0,0,1,0,0,1,0,1,1,0,0,1 박해민,3,송승준,3
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,함덕주,0
1,0,0,0,1,0,0,1,1,0,0,1 박해민,3,함덕주,0
0,1,0,1,0,0,0,1,1,0,0,1 박해민,3,함덕주,0
0,0,1,0,1,0,1,0,1,0,0,1 박해민,3,이현승,2
0,0,1,0,1,0,0,1,1,0,0,1 박해민,3,이용찬,-1
0,0,1,0,0,1,0,1,0,1,0,1 박해민,3,김강률,0
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,니퍼트,1
0,1,0,1,0,0,0,1,0,1,0,1 박해민,3,니퍼트,1
0,1,0,0,0,1,0,1,1,0,0,1 박해민,3,니퍼트,1
0,0,1,0,0,1,0,1,0,1,0,1 박해민,3,이현승,2
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,유희관,1
1,0,0,0,1,0,0,1,1,0,0,1 박해민,3,유희관,1
0,1,0,0,1,0,0,1,1,0,0,1 박해민,3,유희관,1
0,0,1,0,0,1,0,1,1,0,0,1 박해민,3,유희관,1
1,0,0,1,0,0,0,1,0,1,0,1 박해민,3,구창모,-1
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,구창모,-1
0,1,0,1,0,0,0,1,1,0,0,1 박해민,3,구창모,-1
0,0,1,0,1,0,0,1,1,0,0,1 박해민,3,김진성,0
0,0,1,1,0,0,0,1,0,1,0,1 박해민,3,임창민,4
0,0,1,0,1,0,0,1,1,0,0,1 박해민,3,이민호,0
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,장현식,-1
1,0,0,0,1,0,0,1,0,0,1,1 박해민,3,장현식,-1
0,1,0,0,0,1,0,1,1,0,0,1 박해민,3,윤수호,-1
0,1,0,0,0,1,1,0,1,0,0,1 박해민,3,윤수호,-1
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,해커,3
1,0,0,0,1,0,0,1,1,0,0,1 박해민,3,해커,3
0,1,0,1,0,0,1,0,1,0,0,1 박해민,3,해커,3
0,0,1,0,1,0,0,1,1,0,0,1 박해민,3,해커,3
0,0,1,0,0,1,0,1,1,0,0,1 박해민,3,임창민,4
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,임기영,-1
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,임기영,-1
0,1,0,0,1,0,0,1,1,0,0,1 박해민,3,임기영,-1
0,0,1,1,0,0,1,0,1,0,0,1 박해민,3,박지훈,-1
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,헥터,-1
1,0,0,0,0,1,0,1,1,0,0,1 박해민,3,헥터,-1
0,1,0,1,0,0,0,1,1,0,0,1 박해민,3,헥터,-1
0,0,1,0,1,0,0,1,1,0,0,3 박해민,3,고효준,2
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,박종훈,-1
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,박종훈,-1
0,1,0,0,0,1,0,1,0,0,1,1 박해민,3,박종훈,-1
0,0,1,1,0,0,0,1,0,1,0,1 박해민,3,채병용,2
0,0,1,1,0,0,0,1,0,1,0,1 박해민,3,박희수,2
1,0,0,1,0,0,0,1,0,1,0,1 박해민,3,켈리,-1
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,켈리,-1
0,1,0,0,0,1,0,1,0,0,1,1 박해민,3,켈리,-1
0,1,0,0,0,1,0,1,0,0,1,1 박해민,3,켈리,-1
0,0,1,0,0,1,0,1,0,1,0,1 박해민,3,김성민,-1
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,다이아몬드,-1
1,0,0,0,0,1,1,0,0,1,0,1 박해민,3,다이아몬드,-1
0,1,0,0,0,1,0,1,0,1,0,1 박해민,3,다이아몬드,-1
0,1,0,0,0,1,0,1,1,0,0,1 박해민,3,박정배,0
0,0,1,1,0,0,0,1,1,0,0,1 박해민,3,임준혁,4
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,유희관,1
1,0,0,0,1,0,0,1,1,0,0,1 박해민,3,유희관,1
0,1,0,0,0,1,0,1,1,0,0,1 박해민,3,유희관,1
0,0,1,1,0,0,0,1,1,0,0,1 박해민,3,유희관,1
0,0,1,0,0,1,0,1,0,1,0,1 박해민,3,이현승,2
1,0,0,1,0,0,0,1,0,1,0,1 박해민,3,홍상삼,-1
1,0,0,0,0,1,1,0,1,0,0,1 박해민,3,홍상삼,-1
0,1,0,0,1,0,1,0,1,0,0,1 박해민,3,홍상삼,-1
0,1,0,0,1,0,0,1,1,0,0,1 박해민,3,김승회,0
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,니퍼트,1
1,0,0,1,0,0,0,1,0,0,1,1 박해민,3,니퍼트,1
0,1,0,1,0,0,0,1,1,0,0,1 박해민,3,니퍼트,1
0,0,1,0,0,1,1,0,1,0,0,1 박해민,3,이현호,-1
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,해커,3
0,1,0,1,0,0,0,1,1,0,0,1 박해민,3,해커,3
0,1,0,1,0,0,1,0,1,0,0,1 박해민,3,해커,3
0,0,1,0,0,1,0,1,1,0,0,1 박해민,3,해커,3
1,0,0,1,0,0,1,0,1,0,0,2 박해민,3,구창모,-1
1,0,0,1,0,0,1,0,1,0,0,2 박해민,3,구창모,-1
0,1,0,0,0,1,1,0,0,1,0,2 박해민,3,장현식,-1
0,1,0,0,1,0,0,1,1,0,0,2 박해민,3,강윤구,-1
0,0,1,0,0,1,0,1,1,0,0,2 박해민,3,강윤구,-1
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,최금강,0
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,최금강,0
0,1,0,1,0,0,1,0,1,0,0,1 박해민,3,최금강,0
0,0,1,1,0,0,1,0,1,0,0,1 박해민,3,원종현,-1
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,차우찬,1
1,0,0,0,0,1,0,1,1,0,0,1 박해민,3,차우찬,1
0,1,0,1,0,0,0,1,1,0,0,1 박해민,3,차우찬,1
0,0,1,0,0,1,0,1,1,0,0,1 박해민,3,차우찬,1
1,0,0,0,1,0,0,1,1,0,0,2 박해민,3,소사,1
1,0,0,1,0,0,1,0,0,1,0,2 박해민,3,소사,1
0,1,0,0,1,0,1,0,1,0,0,2 박해민,3,소사,1
0,0,1,0,1,0,0,1,1,0,0,2 박해민,3,진해수,0
0,0,1,0,1,0,0,1,1,0,0,9 박해민,3,김상수,-1
1,0,0,0,1,0,0,1,1,0,0,9 박해민,3,조상우,-1
0,1,0,0,1,0,0,1,1,0,0,9 박해민,3,조상우,-1
0,0,1,1,0,0,0,1,0,1,0,9 박해민,3,오주원,0
0,0,1,1,0,0,0,1,1,0,0,7 박해민,3,한현희,-1
0,0,1,0,0,1,0,1,0,1,0,7 박해민,3,이보근,-1
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,문승원,-1
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,문승원,-1
0,1,0,0,0,1,1,0,1,0,0,1 박해민,3,문승원,-1
0,1,0,0,0,1,0,1,1,0,0,1 박해민,3,문승원,-1
0,0,1,0,0,1,1,0,1,0,0,1 박해민,3,임준혁,4
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,박종훈,-1
1,0,0,0,1,0,1,0,0,1,0,1 박해민,3,박종훈,-1
0,1,0,0,0,1,0,1,1,0,0,1 박해민,3,박종훈,-1
0,0,1,0,1,0,1,0,0,1,0,1 박해민,3,김주한,-1
0,0,1,1,0,0,0,1,0,1,0,1 박해민,3,채병용,2
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,켈리,-1
1,0,0,0,0,1,0,1,1,0,0,1 박해민,3,켈리,-1
0,1,0,0,0,1,0,1,0,0,1,1 박해민,3,켈리,-1
0,0,1,0,0,1,0,1,1,0,0,1 박해민,3,김주한,-1
1,0,0,1,0,0,0,1,0,1,0,1 박해민,3,오간도,-1
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,오간도,-1
0,1,0,0,0,1,1,0,1,0,0,1 박해민,3,오간도,-1
0,0,1,0,0,1,1,0,1,0,0,1 박해민,3,권혁,4
0,0,1,0,1,0,0,1,1,0,0,1 박해민,3,김범수,-1
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,윤규진,3
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,윤규진,3
0,1,0,0,0,1,0,1,0,1,0,1 박해민,3,윤규진,3
0,0,1,1,0,0,0,1,0,1,0,1 박해민,3,송창식,4
0,0,1,0,0,1,1,0,1,0,0,1 박해민,3,김범수,-1
0,0,1,0,0,1,0,1,1,0,0,1 박해민,3,이동걸,4
1,0,0,1,0,0,0,1,1,0,0,1 박해민,3,비야누에바,-1
1,0,0,0,0,1,0,1,1,0,0,1 박해민,3,비야누에바,-1
