1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,1,0,0,1,1,0,0,6 손주인,5,김상수,-1
1,0,0,0,1,0,0,1,1,0,0,9 손주인,5,오설리반,-1
0,1,0,0,0,1,1,0,1,0,0,9 손주인,5,오설리반,-1
0,1,0,0,1,0,1,0,0,1,0,9 손주인,5,김정훈,-1
0,0,1,1,0,0,0,1,0,1,0,9 손주인,5,박정준,-1
1,0,0,1,0,0,0,1,1,0,0,9 손주인,5,신재영,-1
0,1,0,0,0,1,0,1,1,0,0,9 손주인,5,신재영,-1
0,0,1,0,0,1,1,0,0,1,0,9 손주인,5,박주현,-1
1,0,0,0,0,1,0,1,0,1,0,9 손주인,5,장원삼,0
1,0,0,0,1,0,1,0,0,1,0,9 손주인,5,장원삼,0
0,1,0,1,0,0,0,1,1,0,0,9 손주인,5,백정현,5
0,0,1,1,0,0,1,0,0,0,1,9 손주인,5,김대우,-1
0,0,1,0,1,0,0,1,0,1,0,2 손주인,5,윤길현,2
1,0,0,0,1,0,1,0,1,0,0,9 손주인,5,장현식,-1
0,1,0,0,1,0,0,1,1,0,0,9 손주인,5,장현식,-1
0,1,0,1,0,0,0,1,0,1,0,9 손주인,5,최금강,0
0,0,1,0,0,1,1,0,0,1,0,8 손주인,5,임창민,4
1,0,0,1,0,0,0,1,0,1,0,9 손주인,5,정대현,-1
0,1,0,1,0,0,0,1,0,1,0,9 손주인,5,정대현,-1
0,0,1,0,1,0,0,1,1,0,0,9 손주인,5,엄상백,-1
1,0,0,1,0,0,1,0,1,0,0,2 손주인,5,피어밴드,-1
1,0,0,0,1,0,0,1,1,0,0,2 손주인,5,피어밴드,-1
0,1,0,1,0,0,0,1,1,0,0,2 손주인,5,피어밴드,-1
1,0,0,1,0,0,0,1,1,0,0,9 손주인,5,이상화,4
0,1,0,1,0,0,0,1,1,0,0,9 손주인,5,엄상백,-1
0,1,0,0,1,0,0,1,1,0,0,9 손주인,5,정성곤,-1
0,0,1,0,1,0,1,0,1,0,0,9 손주인,5,장시환,2
1,0,0,0,0,1,1,0,0,1,0,9 손주인,5,안영명,3
0,1,0,0,1,0,0,1,0,1,0,9 손주인,5,장민재,-1
0,0,1,1,0,0,0,1,1,0,0,9 손주인,5,송창식,4
1,0,0,1,0,0,0,1,0,1,0,2 손주인,5,팻딘,-1
1,0,0,1,0,0,0,1,1,0,0,2 손주인,5,팻딘,-1
0,1,0,0,1,0,0,1,1,0,0,2 손주인,5,팻딘,-1
0,0,1,1,0,0,1,0,1,0,0,2 손주인,5,한승혁,3
1,0,0,0,1,0,0,1,1,0,0,2 손주인,5,양현종,1
1,0,0,0,1,0,1,0,0,1,0,2 손주인,5,양현종,1
0,1,0,0,1,0,1,0,1,0,0,2 손주인,5,양현종,1
0,0,1,1,0,0,1,0,1,0,0,2 손주인,5,박지훈,-1
0,0,1,0,0,1,0,1,1,0,0,2 손주인,5,임창용,3
1,0,0,1,0,0,1,0,1,0,0,2 손주인,5,정동현,-1
1,0,0,0,1,0,0,1,1,0,0,2 손주인,5,정동현,-1
0,1,0,1,0,0,0,1,1,0,0,2 손주인,5,홍건희,-1
0,1,0,0,1,0,0,1,1,0,0,2 손주인,5,김윤동,-1
0,0,1,0,1,0,0,1,1,0,0,2 손주인,5,한승혁,3
1,0,0,1,0,0,1,0,1,0,0,2 손주인,5,다이아몬드,-1
0,1,0,1,0,0,1,0,1,0,0,2 손주인,5,다이아몬드,-1
0,1,0,0,0,1,0,1,0,1,0,2 손주인,5,임준혁,4
0,0,1,1,0,0,0,1,1,0,0,2 손주인,5,박정배,0
1,0,0,1,0,0,1,0,1,0,0,9 손주인,5,윤희상,0
0,1,0,0,1,0,1,0,0,1,0,9 손주인,5,윤희상,0
0,1,0,0,1,0,0,1,0,1,0,9 손주인,5,전유수,2
0,0,1,1,0,0,0,1,1,0,0,9 손주인,5,전유수,2
1,0,0,0,0,1,1,0,0,1,0,9 손주인,5,문승원,-1
0,1,0,0,1,0,0,1,1,0,0,9 손주인,5,문승원,-1
0,1,0,1,0,0,0,1,1,0,0,9 손주인,5,김주한,-1
0,0,1,0,1,0,1,0,1,0,0,9 손주인,5,서진용,-1
0,0,1,1,0,0,0,1,1,0,0,9 손주인,5,심재민,-1
1,0,0,0,1,0,0,1,1,0,0,9 손주인,5,고영표,-1
0,1,0,0,0,1,0,1,1,0,0,9 손주인,5,고영표,-1
0,0,1,0,1,0,0,1,1,0,0,9 손주인,5,고영표,-1
1,0,0,0,0,1,1,0,1,0,0,9 손주인,5,로치,-1
0,1,0,1,0,0,0,1,1,0,0,9 손주인,5,로치,-1
0,1,0,0,1,0,0,1,0,1,0,9 손주인,5,심재민,-1
0,0,1,0,1,0,0,1,0,1,0,9 손주인,5,이상화,4
1,0,0,0,1,0,1,0,0,0,1,9 손주인,5,최금강,0
0,1,0,1,0,0,1,0,1,0,0,9 손주인,5,최금강,0
0,0,1,0,0,1,0,1,1,0,0,9 손주인,5,원종현,-1
1,0,0,0,1,0,1,0,0,0,1,9 손주인,5,구창모,-1
1,0,0,0,1,0,1,0,1,0,0,9 손주인,5,장현식,-1
0,1,0,0,1,0,0,1,0,0,1,9 손주인,5,장현식,-1
0,0,1,1,0,0,0,1,1,0,0,9 손주인,5,이형범,-1
0,0,1,0,0,1,0,1,1,0,0,9 손주인,5,윤수호,-1
0,0,1,0,0,1,1,0,0,1,0,7 손주인,5,원종현,-1
1,0,0,0,0,1,1,0,1,0,0,9 손주인,5,장원준,3
0,1,0,1,0,0,0,1,1,0,0,9 손주인,5,장원준,3
0,0,1,1,0,0,0,1,1,0,0,9 손주인,5,김강률,0
0,0,1,0,1,0,0,1,1,0,0,9 손주인,5,이현승,2
1,0,0,0,1,0,1,0,0,1,0,9 손주인,5,함덕주,0
0,1,0,0,1,0,1,0,0,0,1,9 손주인,5,함덕주,0
0,1,0,0,1,0,0,1,1,0,0,9 손주인,5,박치국,-1
0,0,1,0,1,0,0,1,0,1,0,9 손주인,5,이용찬,-1
1,0,0,1,0,0,0,1,1,0,0,6 손주인,5,유희관,1
0,1,0,1,0,0,0,1,1,0,0,6 손주인,5,유희관,1
0,1,0,0,0,1,1,0,1,0,0,6 손주인,5,유희관,1
0,0,1,1,0,0,0,1,0,0,1,6 손주인,5,김강률,0
0,0,1,0,0,1,1,0,1,0,0,6 손주인,5,김성배,-1
1,0,0,0,0,1,0,1,1,0,0,9 손주인,5,윤성환,5
0,1,0,1,0,0,0,1,1,0,0,9 손주인,5,윤성환,5
0,0,1,0,1,0,0,1,1,0,0,9 손주인,5,윤성환,5
1,0,0,0,1,0,0,1,1,0,0,9 손주인,5,페트릭,-1
0,1,0,0,1,0,1,0,0,1,0,9 손주인,5,페트릭,-1
0,0,1,0,1,0,0,1,1,0,0,9 손주인,5,김승현,-1
0,0,1,0,0,1,1,0,0,0,1,9 손주인,5,심창민,0
0,0,1,1,0,0,0,1,1,0,0,9 손주인,5,송창식,4
0,0,1,1,0,0,0,1,1,0,0,9 손주인,5,정우람,-1
1,0,0,0,0,1,0,1,1,0,0,7 손주인,5,김재영,-1
0,1,0,1,0,0,0,1,1,0,0,7 손주인,5,김재영,-1
0,0,1,0,1,0,1,0,0,0,1,7 손주인,5,김재영,-1
0,0,1,0,0,1,0,1,1,0,0,7 손주인,5,김범수,-1
1,0,0,1,0,0,0,1,1,0,0,9 손주인,5,윤규진,3
0,1,0,0,0,1,0,1,0,1,0,9 손주인,5,윤규진,3
0,0,1,1,0,0,0,1,1,0,0,9 손주인,5,권혁,4
1,0,0,0,1,0,0,1,0,1,0,9 손주인,5,김진우,-1
0,1,0,0,1,0,1,0,0,1,0,9 손주인,5,김진우,-1
0,0,1,0,1,0,0,1,0,0,1,9 손주인,5,홍건희,-1
0,0,1,0,1,0,0,1,1,0,0,9 손주인,5,김윤동,-1
1,0,0,0,0,1,0,1,1,0,0,9 손주인,5,팻딘,-1
