1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,1,0,0,1,0,1,0,0,6 최영진,0,김광수,-1
0,0,1,0,0,1,1,0,0,1,0,6 최영진,0,임창용,-1
0,0,1,0,1,0,1,0,1,0,0,6 최영진,0,김광수,-1
1,0,0,1,0,0,0,1,1,0,0,7 최영진,0,피어밴드,1
0,1,0,1,0,0,0,1,0,1,0,7 최영진,0,피어밴드,1
0,0,1,1,0,0,0,1,1,0,0,7 최영진,0,피어밴드,1
0,0,1,0,0,1,1,0,1,0,0,7 최영진,0,류희운,5
1,0,0,0,1,0,1,0,0,0,1,7 최영진,0,정대현,-1
0,1,0,0,1,0,0,1,1,0,0,7 최영진,0,정대현,-1
0,1,0,1,0,0,0,1,1,0,0,7 최영진,0,배제성,6
0,0,1,1,0,0,0,1,1,0,0,6 최영진,0,황덕균,-1
0,0,1,0,1,0,1,0,1,0,0,6 최영진,0,박치국,6
0,0,1,1,0,0,1,0,1,0,0,6 최영진,0,이현호,5
0,0,1,1,0,0,1,0,0,1,0,9 최영진,0,차우찬,0
0,0,1,0,1,0,1,0,1,0,0,9 최영진,0,정찬헌,3
1,0,0,0,1,0,1,0,1,0,0,8 최영진,0,윤규진,2
0,1,0,1,0,0,0,1,1,0,0,8 최영진,0,윤규진,2
0,0,1,1,0,0,0,1,0,1,0,8 최영진,0,윤규진,2
0,0,1,0,1,0,0,1,1,0,0,8 최영진,0,강승현,-1
0,0,1,1,0,0,1,0,1,0,0,8 최영진,0,심수창,2
0,0,1,1,0,0,0,1,1,0,0,2 최영진,0,구창모,3
0,0,1,0,0,1,0,1,1,0,0,9 최영진,0,허프,-1
0,0,1,0,1,0,0,1,1,0,0,9 최영진,0,심창민,-1
0,1,0,0,1,0,1,0,1,0,0,7 최영진,0,이상화,5
0,0,1,0,0,1,0,1,0,1,0,7 최영진,0,이상화,5
1,0,0,0,1,0,1,0,1,0,0,3 최영진,0,유창식,-1
1,0,0,0,0,1,1,0,1,0,0,3 최영진,0,유창식,-1
0,1,0,1,0,0,0,1,1,0,0,3 최영진,0,유창식,-1
0,0,1,1,0,0,0,1,1,0,0,3 최영진,0,박정진,-1
0,0,1,0,1,0,0,1,1,0,0,3 최영진,0,최영환,6
