1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,1,0,0,1 ±è°­¹Î,0,·ÎÄ¡,-1
1,0,0,0,1,0,1,0,0,1,0,1 ±è°­¹Î,0,·ÎÄ¡,-1
0,1,0,0,1,0,1,0,1,0,0,1 ±è°­¹Î,0,·ÎÄ¡,-1
0,0,1,0,0,1,0,1,0,1,0,1 ±è°­¹Î,0,°í¿µÇ¥,-1
1,0,0,1,0,0,0,1,1,0,0,1 ±è°­¹Î,0,Á¤´ëÇö,-1
1,0,0,0,1,0,0,1,0,1,0,1 ±è°­¹Î,0,Á¤´ëÇö,-1
0,1,0,1,0,0,0,1,1,0,0,1 ±è°­¹Î,0,Á¤´ëÇö,-1
0,0,1,0,0,1,1,0,1,0,0,1 ±è°­¹Î,0,Àå½ÃÈ¯,3
1,0,0,1,0,0,0,1,1,0,0,1 ±è°­¹Î,0,ÇÇ¾î¹êµå,1
1,0,0,0,1,0,1,0,1,0,0,1 ±è°­¹Î,0,ÇÇ¾î¹êµå,1
0,1,0,0,1,0,1,0,1,0,0,1 ±è°­¹Î,0,ÇÇ¾î¹êµå,1
1,0,0,1,0,0,0,1,1,0,0,1 ±è°­¹Î,0,¾çÇöÁ¾,0
1,0,0,0,0,1,0,1,1,0,0,1 ±è°­¹Î,0,¾çÇöÁ¾,0
0,1,0,0,1,0,0,1,0,1,0,1 ±è°­¹Î,0,¾çÇöÁ¾,0
0,0,1,0,1,0,0,1,1,0,0,1 ±è°­¹Î,0,ÇÑ½ÂÇõ,3
0,0,1,1,0,0,1,0,0,1,0,6 ±è°­¹Î,0,ÀÓÃ¢¿ë,-1
1,0,0,1,0,0,0,1,1,0,0,1 ±è°­¹Î,0,¸Ç½±,6
1,0,0,0,0,1,1,0,0,1,0,1 ±è°­¹Î,0,¸Ç½±,6
0,1,0,0,0,1,1,0,1,0,0,1 ±è°­¹Î,0,¸Ç½±,6
0,0,1,0,0,1,0,1,1,0,0,1 ±è°­¹Î,0,¿øÁ¾Çö,3
1,0,0,1,0,0,0,1,1,0,0,1 ±è°­¹Î,0,±¸Ã¢¸ð,3
1,0,0,1,0,0,0,1,0,0,1,1 ±è°­¹Î,0,±¸Ã¢¸ð,3
0,1,0,0,0,1,0,1,1,0,0,1 ±è°­¹Î,0,ÃÖ±Ý°­,-1
0,1,0,0,0,1,0,1,1,0,0,1 ±è°­¹Î,0,¹èÀçÈ¯,6
0,0,1,1,0,0,0,1,1,0,0,1 ±è°­¹Î,0,À±¼öÈ£,6
0,0,1,0,0,1,0,1,1,0,0,4 ±è°­¹Î,0,¹èÀåÈ£,3
0,0,1,0,0,1,1,0,1,0,0,4 ±è°­¹Î,0,¹Ú½Ã¿µ,5
1,0,0,1,0,0,0,1,0,0,1,1 ±è°­¹Î,0,±è¿øÁß,3
1,0,0,1,0,0,0,1,1,0,0,1 ±è°­¹Î,0,±è¿øÁß,3
1,0,0,0,0,1,0,1,1,0,0,1 ±è°­¹Î,0,¼Û½ÂÁØ,0
