1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,1,0,0,0,1,1,0,1,0,0,5 김재현,2,배우열,6
0,0,1,1,0,0,0,1,1,0,0,5 김재현,2,윤근영,3
0,0,1,0,1,0,0,1,1,0,0,6 김재현,2,이현호,5
0,0,1,0,1,0,0,1,1,0,0,6 김재현,2,함덕주,3
0,0,1,0,1,0,0,1,1,0,0,2 김재현,2,이보근,1
1,0,0,1,0,0,0,1,0,1,0,9 김재현,2,지크,-1
0,1,0,1,0,0,0,1,0,1,0,9 김재현,2,지크,-1
0,0,1,0,1,0,0,1,1,0,0,9 김재현,2,지크,-1
0,0,1,1,0,0,0,1,1,0,0,9 김재현,2,김광수,-1
1,0,0,1,0,0,0,1,1,0,0,1 김재현,2,이재학,2
0,1,0,1,0,0,0,1,0,0,1,1 김재현,2,이재학,2
0,1,0,0,0,1,0,1,1,0,0,1 김재현,2,이재학,2
0,0,1,1,0,0,0,1,0,0,1,1 김재현,2,이재학,2
1,0,0,1,0,0,0,1,0,0,1,1 김재현,2,정수민,5
1,0,0,1,0,0,1,0,1,0,0,1 김재현,2,정수민,5
0,1,0,1,0,0,0,1,1,0,0,1 김재현,2,정수민,5
0,0,1,1,0,0,0,1,1,0,0,1 김재현,2,임정호,-1
0,0,1,0,1,0,0,1,1,0,0,6 김재현,2,박근홍,3
1,0,0,0,1,0,0,1,0,1,0,9 김재현,2,보우덴,-1
0,1,0,0,0,1,0,1,1,0,0,9 김재현,2,보우덴,-1
0,0,1,1,0,0,0,1,1,0,0,9 김재현,2,보우덴,-1
0,1,0,1,0,0,1,0,1,0,0,6 김재현,2,안규영,-1
0,0,1,0,1,0,0,1,0,1,0,8 김재현,2,손승락,2
1,0,0,0,1,0,0,1,1,0,0,2 김재현,2,박세웅,1
1,0,0,0,0,1,0,1,0,1,0,2 김재현,2,박세웅,1
0,1,0,1,0,0,0,1,1,0,0,2 김재현,2,박세웅,1
1,0,0,0,0,1,0,1,0,1,0,8 김재현,2,박진형,5
0,1,0,1,0,0,0,1,0,0,1,8 김재현,2,이성민,-1
0,1,0,0,1,0,1,0,1,0,0,8 김재현,2,이정민,-1
1,0,0,0,1,0,0,1,1,0,0,2 김재현,2,이태양,1
1,0,0,1,0,0,1,0,0,1,0,2 김재현,2,이태양,1
0,1,0,1,0,0,0,1,0,1,0,2 김재현,2,이태양,1
0,1,0,0,1,0,1,0,1,0,0,2 김재현,2,원종현,3
0,0,1,1,0,0,0,1,1,0,0,2 김재현,2,임창민,3
1,0,0,1,0,0,1,0,1,0,0,2 김재현,2,이재학,2
1,0,0,1,0,0,1,0,1,0,0,2 김재현,2,이재학,2
1,0,0,0,1,0,0,1,0,1,0,2 김재현,2,정수민,5
1,0,0,0,0,1,1,0,1,0,0,2 김재현,2,정수민,5
0,1,0,0,0,1,1,0,0,1,0,2 김재현,2,장현식,3
1,0,0,0,1,0,0,1,1,0,0,2 김재현,2,정인욱,3
1,0,0,0,0,1,1,0,1,0,0,2 김재현,2,정인욱,3
0,1,0,0,1,0,0,1,1,0,0,2 김재현,2,정인욱,3
0,0,1,1,0,0,0,1,0,1,0,2 김재현,2,김대우,3
0,0,1,1,0,0,0,1,0,1,0,6 김재현,2,김대우,3
0,0,1,1,0,0,0,1,0,0,1,6 김재현,2,권오준,1
0,0,1,1,0,0,0,1,0,1,0,4 김재현,2,백정현,1
1,0,0,0,1,0,0,1,0,1,0,2 김재현,2,린드블럼,1
1,0,0,0,1,0,1,0,1,0,0,2 김재현,2,린드블럼,1
0,1,0,0,0,1,1,0,0,1,0,2 김재현,2,린드블럼,1
0,1,0,0,1,0,0,1,0,0,1,2 김재현,2,이성민,-1
0,0,1,0,0,1,0,1,0,1,0,2 김재현,2,이성민,-1
0,0,1,0,1,0,0,1,1,0,0,2 김재현,2,김성배,-1
1,0,0,0,1,0,0,1,1,0,0,2 김재현,2,레일리,2
1,0,0,0,0,1,1,0,1,0,0,2 김재현,2,레일리,2
1,0,0,1,0,0,1,0,1,0,0,2 김재현,2,박세웅,1
0,1,0,1,0,0,0,1,1,0,0,2 김재현,2,박세웅,1
1,0,0,0,1,0,0,1,0,1,0,2 김재현,2,류제국,1
1,0,0,0,1,0,0,1,0,0,1,2 김재현,2,류제국,1
0,1,0,0,0,1,0,1,1,0,0,2 김재현,2,류제국,1
