1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,1,0,0,1,0,1,0,2 노수광,2,우규민,1
0,1,0,1,0,0,0,1,1,0,0,2 노수광,2,우규민,1
0,1,0,1,0,0,0,1,1,0,0,2 노수광,2,우규민,1
0,0,1,0,0,1,1,0,1,0,0,2 노수광,2,박근홍,0
0,0,1,1,0,0,0,1,0,1,0,2 노수광,2,권오준,1
0,0,1,0,1,0,0,1,1,0,0,2 노수광,2,심창민,-1
1,0,0,0,1,0,0,1,1,0,0,2 노수광,2,윤성환,1
1,0,0,0,0,1,0,1,0,1,0,2 노수광,2,윤성환,1
0,1,0,0,1,0,0,1,1,0,0,2 노수광,2,윤성환,1
0,0,1,1,0,0,0,1,1,0,0,2 노수광,2,김승현,2
1,0,0,1,0,0,0,1,0,0,1,1 노수광,2,박종훈,2
1,0,0,1,0,0,0,1,0,0,1,1 노수광,2,박종훈,2
0,1,0,0,0,1,1,0,1,0,0,1 노수광,2,박종훈,2
0,1,0,0,0,1,1,0,1,0,0,1 노수광,2,채병용,2
1,0,0,1,0,0,1,0,1,0,0,2 노수광,2,켈리,4
1,0,0,0,0,1,0,1,1,0,0,2 노수광,2,켈리,4
0,1,0,0,1,0,0,1,0,0,1,2 노수광,2,켈리,4
0,0,1,0,1,0,1,0,1,0,0,2 노수광,2,박희수,4
0,0,1,0,0,1,0,1,1,0,0,2 노수광,2,문광은,3
1,0,0,0,1,0,0,1,1,0,0,2 노수광,2,맨쉽,1
1,0,0,0,0,1,1,0,0,0,1,2 노수광,2,맨쉽,1
0,1,0,1,0,0,0,1,1,0,0,2 노수광,2,맨쉽,1
0,0,1,1,0,0,0,1,1,0,0,2 노수광,2,김진성,2
1,0,0,0,1,0,0,1,1,0,0,2 노수광,2,구창모,2
1,0,0,1,0,0,1,0,0,0,1,2 노수광,2,구창모,2
0,1,0,1,0,0,0,1,1,0,0,2 노수광,2,최금강,-1
0,0,1,1,0,0,0,1,0,1,0,2 노수광,2,배재환,2
0,0,1,0,1,0,0,1,1,0,0,2 노수광,2,윤수호,0
1,0,0,1,0,0,0,1,0,1,0,1 노수광,2,이재학,2
1,0,0,0,1,0,0,1,0,1,0,1 노수광,2,이재학,2
1,0,0,0,0,1,0,1,1,0,0,1 노수광,2,윤수호,0
0,1,0,1,0,0,0,1,0,0,1,1 노수광,2,김진성,2
0,0,1,0,1,0,0,1,1,0,0,1 노수광,2,원종현,1
1,0,0,1,0,0,0,1,1,0,0,1 노수광,2,박세웅,2
1,0,0,1,0,0,0,1,1,0,0,1 노수광,2,박세웅,2
0,1,0,0,1,0,0,1,1,0,0,1 노수광,2,박세웅,2
0,0,1,0,0,1,0,1,1,0,0,1 노수광,2,박시영,3
0,0,1,0,1,0,1,0,1,0,0,1 노수광,2,손승락,1
1,0,0,1,0,0,0,1,1,0,0,1 노수광,2,레일리,1
1,0,0,0,1,0,1,0,1,0,0,1 노수광,2,레일리,1
0,1,0,1,0,0,1,0,1,0,0,1 노수광,2,레일리,1
0,0,1,0,1,0,0,1,0,1,0,1 노수광,2,배장호,2
0,0,1,0,1,0,1,0,1,0,0,1 노수광,2,박시영,3
0,0,1,0,0,1,1,0,1,0,0,1 노수광,2,손승락,1
0,0,1,1,0,0,1,0,0,1,0,4 노수광,2,강영식,-1
1,0,0,0,1,0,0,1,0,1,0,2 노수광,2,송은범,2
1,0,0,0,0,1,0,1,0,0,1,2 노수광,2,송은범,2
0,1,0,1,0,0,1,0,1,0,0,2 노수광,2,안영명,2
0,1,0,1,0,0,0,1,1,0,0,2 노수광,2,송창식,0
0,0,1,0,1,0,0,1,0,1,0,2 노수광,2,심수창,0
1,0,0,1,0,0,1,0,1,0,0,2 노수광,2,이태양,0
1,0,0,1,0,0,1,0,1,0,0,2 노수광,2,이태양,0
0,1,0,0,0,1,1,0,0,1,0,2 노수광,2,이태양,0
0,1,0,0,0,1,0,1,1,0,0,2 노수광,2,안영명,2
0,0,1,0,0,1,1,0,1,0,0,2 노수광,2,박정진,-1
0,0,1,0,0,1,0,1,1,0,0,2 노수광,2,심수창,0
0,0,1,1,0,0,0,1,1,0,0,1 노수광,2,송신영,-1
0,0,1,0,1,0,0,1,1,0,0,6 노수광,2,조상우,4
1,0,0,1,0,0,0,1,0,1,0,1 노수광,2,한현희,2
1,0,0,0,1,0,1,0,0,0,1,1 노수광,2,한현희,2
1,0,0,1,0,0,0,1,1,0,0,1 노수광,2,류제국,2
1,0,0,0,0,1,1,0,1,0,0,1 노수광,2,류제국,2
0,1,0,1,0,0,0,1,1,0,0,1 노수광,2,류제국,2
0,0,1,1,0,0,0,1,0,1,0,4 노수광,2,김현우,-1
1,0,0,0,1,0,0,1,1,0,0,2 노수광,2,조상우,4
1,0,0,0,1,0,1,0,0,1,0,2 노수광,2,조상우,4
0,1,0,0,1,0,0,1,1,0,0,2 노수광,2,조상우,4
0,0,1,0,0,1,0,1,0,0,1,2 노수광,2,금민철,2
0,0,1,1,0,0,0,1,1,0,0,2 노수광,2,김세현,2
1,0,0,0,1,0,0,1,0,1,0,2 노수광,2,양훈,-1
1,0,0,0,1,0,0,1,1,0,0,2 노수광,2,양훈,-1
0,1,0,0,1,0,0,1,1,0,0,2 노수광,2,양훈,-1
0,1,0,0,1,0,0,1,1,0,0,2 노수광,2,박정준,-1
0,0,1,0,1,0,1,0,1,0,0,2 노수광,2,김홍빈,-1
1,0,0,0,1,0,0,1,1,0,0,2 노수광,2,한현희,2
1,0,0,0,0,1,1,0,1,0,0,2 노수광,2,한현희,2
0,1,0,0,0,1,0,1,1,0,0,2 노수광,2,한현희,2
0,0,1,0,1,0,0,1,0,1,0,2 노수광,2,오주원,2
0,0,1,0,1,0,0,1,0,1,0,2 노수광,2,김세현,2
0,0,1,0,1,0,0,1,0,1,0,2 노수광,2,금민철,2
0,0,1,1,0,0,0,1,1,0,0,1 노수광,2,이현승,2
1,0,0,1,0,0,0,1,1,0,0,1 노수광,2,장원준,2
1,0,0,0,1,0,0,1,1,0,0,1 노수광,2,장원준,2
0,1,0,0,1,0,0,1,1,0,0,1 노수광,2,장원준,2
0,0,1,1,0,0,0,1,1,0,0,1 노수광,2,장원준,2
0,0,1,1,0,0,0,1,0,0,1,4 노수광,2,고효준,0
0,0,1,0,0,1,0,1,1,0,0,4 노수광,2,헥터,-1
0,0,1,0,1,0,0,1,0,0,1,4 노수광,2,김윤동,2
0,1,0,1,0,0,0,1,1,0,0,1 노수광,2,윤성환,1
0,0,1,1,0,0,0,1,1,0,0,1 노수광,2,장필준,1
0,1,0,1,0,0,1,0,1,0,0,1 노수광,2,강윤구,2
0,0,1,0,1,0,0,1,1,0,0,1 노수광,2,강윤구,2
0,0,1,0,1,0,0,1,1,0,0,6 노수광,2,원종현,1
0,0,1,0,0,1,0,1,1,0,0,6 노수광,2,임창민,1
0,0,1,0,0,1,1,0,0,1,0,6 노수광,2,민태호,-1
0,0,1,1,0,0,1,0,0,1,0,8 노수광,2,배장호,2
0,0,1,1,0,0,1,0,1,0,0,3 노수광,2,레일리,1
0,0,1,0,1,0,0,1,1,0,0,3 노수광,2,김유영,-1
0,0,1,0,1,0,1,0,0,0,1,1 노수광,2,김대현,3
0,0,1,0,1,0,0,1,0,1,0,7 노수광,2,진해수,0
0,0,1,1,0,0,0,1,0,0,1,2 노수광,2,홍성용,-1
0,0,1,0,0,1,0,1,1,0,0,5 노수광,2,이상화,0
0,0,1,0,1,0,0,1,0,1,0,1 노수광,2,홍성용,-1
1,0,0,0,1,0,0,1,1,0,0,2 노수광,2,한현희,2
1,0,0,0,1,0,1,0,1,0,0,2 노수광,2,한현희,2
0,1,0,0,1,0,0,1,0,1,0,2 노수광,2,한현희,2
1,0,0,1,0,0,0,1,1,0,0,1 노수광,2,류제국,2
