1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,1,0,0,1,1,0,0,2 로맥,3,장원준,2
1,0,0,0,0,1,0,1,1,0,0,2 로맥,3,장원준,2
0,1,0,0,0,1,0,1,1,0,0,2 로맥,3,장원준,2
0,0,1,0,1,0,0,1,1,0,0,2 로맥,3,장원준,2
1,0,0,0,1,0,1,0,1,0,0,5 로맥,3,임기영,0
0,1,0,0,1,0,0,1,1,0,0,5 로맥,3,임기영,0
0,1,0,0,1,0,1,0,1,0,0,5 로맥,3,임기영,0
0,0,1,1,0,0,1,0,0,1,0,5 로맥,3,손영민,-1
1,0,0,0,0,1,0,1,0,1,0,5 로맥,3,헥터,-1
0,1,0,0,1,0,0,1,0,0,1,5 로맥,3,헥터,-1
0,1,0,0,0,1,0,1,1,0,0,5 로맥,3,헥터,-1
0,0,1,1,0,0,0,1,1,0,0,5 로맥,3,임창용,-1
0,0,1,0,1,0,1,0,1,0,0,5 로맥,3,김윤동,2
1,0,0,1,0,0,0,1,1,0,0,4 로맥,3,양현종,1
0,1,0,0,1,0,0,1,1,0,0,4 로맥,3,양현종,1
0,1,0,0,0,1,1,0,0,1,0,4 로맥,3,양현종,1
0,0,1,0,0,1,0,1,0,0,1,4 로맥,3,김윤동,2
1,0,0,0,0,1,1,0,1,0,0,4 로맥,3,윤성환,1
0,1,0,0,1,0,0,1,1,0,0,4 로맥,3,윤성환,1
0,1,0,0,0,1,1,0,0,1,0,4 로맥,3,윤성환,1
0,0,1,0,0,1,1,0,1,0,0,4 로맥,3,장필준,1
1,0,0,0,1,0,0,1,1,0,0,3 로맥,3,페트릭,-1
0,1,0,0,1,0,0,1,0,1,0,3 로맥,3,페트릭,-1
0,1,0,0,0,1,0,1,0,0,1,3 로맥,3,페트릭,-1
0,0,1,0,1,0,1,0,0,0,1,3 로맥,3,심창민,-1
1,0,0,0,1,0,0,1,1,0,0,4 로맥,3,백정현,0
1,0,0,0,1,0,1,0,1,0,0,4 로맥,3,백정현,0
0,1,0,1,0,0,0,1,1,0,0,4 로맥,3,백정현,0
0,0,1,0,0,1,1,0,0,0,1,4 로맥,3,김승현,2
1,0,0,0,0,1,1,0,0,0,1,4 로맥,3,최금강,-1
1,0,0,0,1,0,1,0,1,0,0,4 로맥,3,장현식,2
0,1,0,1,0,0,0,1,0,0,1,4 로맥,3,장현식,2
0,1,0,1,0,0,0,1,1,0,0,4 로맥,3,강윤구,2
0,0,1,1,0,0,0,1,0,1,0,4 로맥,3,강윤구,2
0,0,1,1,0,0,0,1,0,1,0,4 로맥,3,임정호,-1
1,0,0,0,1,0,0,1,1,0,0,5 로맥,3,이재학,2
0,1,0,0,1,0,0,1,0,0,1,5 로맥,3,이재학,2
0,0,1,1,0,0,0,1,1,0,0,5 로맥,3,원종현,1
0,0,1,0,1,0,1,0,0,0,1,5 로맥,3,임창민,1
1,0,0,0,0,1,0,1,1,0,0,5 로맥,3,구창모,2
0,1,0,1,0,0,0,1,0,1,0,5 로맥,3,구창모,2
0,1,0,0,0,1,0,1,1,0,0,5 로맥,3,김진성,2
0,0,1,1,0,0,0,1,1,0,0,5 로맥,3,원종현,1
