1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,1,0,1,0,0,9 박승욱,7,로치,-1
0,1,0,0,1,0,0,1,0,1,0,9 박승욱,7,로치,-1
0,0,1,0,1,0,0,1,1,0,0,9 박승욱,7,고영표,-1
0,0,1,0,0,1,1,0,1,0,0,9 박승욱,7,김재윤,5
1,0,0,1,0,0,0,1,1,0,0,9 박승욱,7,정대현,-1
0,1,0,0,0,1,1,0,1,0,0,9 박승욱,7,정대현,-1
0,0,1,0,1,0,1,0,1,0,0,9 박승욱,7,장시환,3
1,0,0,0,1,0,0,1,0,1,0,9 박승욱,7,피어밴드,1
0,1,0,0,1,0,0,1,0,1,0,9 박승욱,7,피어밴드,1
0,0,1,0,1,0,0,1,1,0,0,9 박승욱,7,이상화,5
1,0,0,0,0,1,1,0,0,0,1,9 박승욱,7,양현종,0
0,1,0,1,0,0,0,1,1,0,0,9 박승욱,7,양현종,0
0,0,1,1,0,0,0,1,1,0,0,9 박승욱,7,한승혁,3
1,0,0,1,0,0,0,1,1,0,0,9 박승욱,7,임기영,3
0,1,0,0,0,1,0,1,1,0,0,9 박승욱,7,임기영,3
0,0,1,1,0,0,0,1,1,0,0,9 박승욱,7,한승혁,3
0,0,1,0,0,1,0,1,0,0,1,9 박승욱,7,임창용,-1
1,0,0,0,0,1,0,1,1,0,0,9 박승욱,7,맨쉽,6
0,1,0,0,0,1,0,1,0,1,0,9 박승욱,7,맨쉽,6
0,0,1,0,1,0,0,1,1,0,0,9 박승욱,7,원종현,3
1,0,0,0,0,1,0,1,1,0,0,9 박승욱,7,구창모,3
0,1,0,0,1,0,0,1,1,0,0,9 박승욱,7,최금강,-1
0,1,0,1,0,0,1,0,1,0,0,9 박승욱,7,배재환,6
0,0,1,0,0,1,0,1,1,0,0,9 박승욱,7,윤수호,6
1,0,0,1,0,0,0,1,1,0,0,9 박승욱,7,이재학,2
1,0,0,0,1,0,0,1,1,0,0,9 박승욱,7,윤수호,6
0,1,0,1,0,0,0,1,0,1,0,9 박승욱,7,김진성,3
