1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,1,0,0,1,1,0,0,5 박정권,5,로치,-1
0,1,0,1,0,0,0,1,1,0,0,5 박정권,5,로치,-1
0,1,0,1,0,0,0,1,1,0,0,5 박정권,5,로치,-1
0,0,1,0,0,1,0,1,1,0,0,5 박정권,5,조무근,-1
0,0,1,0,0,1,0,1,1,0,0,7 박정권,5,심재민,-1
1,0,0,1,0,0,1,0,0,1,0,6 박정권,5,양현종,1
0,1,0,1,0,0,0,1,1,0,0,6 박정권,5,양현종,1
0,0,1,1,0,0,0,1,1,0,0,6 박정권,5,양현종,1
0,0,1,0,0,1,0,1,1,0,0,6 박정권,5,박지훈,-1
1,0,0,0,1,0,0,1,1,0,0,7 박정권,5,임기영,-1
0,1,0,1,0,0,0,1,1,0,0,7 박정권,5,임기영,-1
0,0,1,0,1,0,0,1,1,0,0,6 박정권,5,임창민,4
1,0,0,0,1,0,1,0,1,0,0,7 박정권,5,구창모,-1
1,0,0,0,0,1,1,0,1,0,0,7 박정권,5,최금강,0
0,1,0,1,0,0,1,0,0,1,0,7 박정권,5,최금강,0
0,0,1,0,0,1,0,1,0,1,0,7 박정권,5,배재환,-1
1,0,0,0,1,0,1,0,1,0,0,7 박정권,5,이재학,5
1,0,0,1,0,0,1,0,1,0,0,7 박정권,5,이재학,5
0,1,0,0,1,0,1,0,1,0,0,7 박정권,5,김진성,0
0,1,0,0,1,0,1,0,1,0,0,7 박정권,5,원종현,-1
0,0,1,0,0,1,0,1,1,0,0,7 박정권,5,임창민,4
0,0,1,0,1,0,1,0,1,0,0,2 박정권,5,배장호,2
0,0,1,0,0,1,1,0,0,1,0,2 박정권,5,박시영,-1
0,0,1,1,0,0,0,1,0,1,0,2 박정권,5,이정민,-1
1,0,0,1,0,0,1,0,0,1,0,2 박정권,5,김원중,-1
1,0,0,0,1,0,0,1,0,1,0,2 박정권,5,김원중,-1
0,1,0,1,0,0,0,1,1,0,0,2 박정권,5,송승준,3
0,1,0,0,1,0,0,1,1,0,0,2 박정권,5,윤길현,2
0,0,1,0,0,1,0,1,1,0,0,2 박정권,5,강영식,-1
0,0,1,1,0,0,0,1,0,1,0,5 박정권,5,심수창,4
