1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,1,0,1,0,0,0,1,1,0,0,1 윤정우,-1,김성배,-1
0,0,1,0,0,1,1,0,0,1,0,1 윤정우,-1,김성배,-1
0,0,1,1,0,0,1,0,1,0,0,1 윤정우,-1,오주원,2
0,0,1,1,0,0,1,0,1,0,0,1 윤정우,-1,마정길,-1
1,0,0,1,0,0,0,1,1,0,0,9 윤정우,-1,정대현,-1
0,0,1,1,0,0,0,1,1,0,0,2 윤정우,-1,김용주,-1
0,0,1,1,0,0,0,1,1,0,0,3 윤정우,-1,류제국,1
0,0,1,0,0,1,1,0,1,0,0,3 윤정우,-1,이승현,5
0,0,1,0,1,0,0,1,1,0,0,3 윤정우,-1,김택형,5
0,0,1,1,0,0,0,1,1,0,0,5 윤정우,-1,정우람,2
0,1,0,1,0,0,0,1,1,0,0,2 윤정우,-1,박정진,-1
0,0,1,1,0,0,0,1,0,1,0,2 윤정우,-1,정대훈,-1
1,0,0,1,0,0,0,1,0,1,0,8 윤정우,-1,플란데,-1
0,1,0,1,0,0,0,1,0,1,0,8 윤정우,-1,플란데,-1
0,0,1,0,1,0,1,0,1,0,0,8 윤정우,-1,플란데,-1
0,0,1,0,1,0,1,0,1,0,0,8 윤정우,-1,심창민,-1
1,0,0,1,0,0,1,0,0,1,0,7 윤정우,-1,김기태,-1
1,0,0,1,0,0,0,1,1,0,0,7 윤정우,-1,김기태,-1
0,1,0,1,0,0,1,0,0,1,0,7 윤정우,-1,장필준,5
0,1,0,0,0,1,0,1,0,1,0,7 윤정우,-1,박근홍,3
1,0,0,1,0,0,1,0,1,0,0,2 윤정우,-1,정인욱,3
1,0,0,0,1,0,0,1,0,0,1,2 윤정우,-1,정인욱,3
0,1,0,1,0,0,0,1,0,1,0,2 윤정우,-1,정인욱,3
0,1,0,0,0,1,0,1,1,0,0,2 윤정우,-1,장필준,5
0,1,0,0,1,0,0,1,0,1,0,3 윤정우,-1,니퍼트,4
0,0,1,0,1,0,0,1,0,1,0,3 윤정우,-1,이현호,5
0,0,1,0,1,0,1,0,0,0,1,3 윤정우,-1,이현호,5
1,0,0,0,1,0,0,1,0,1,0,1 윤정우,-1,박주현,-1
0,1,0,1,0,0,1,0,0,1,0,1 윤정우,-1,박주현,-1
0,1,0,0,1,0,0,1,1,0,0,1 윤정우,-1,박주현,-1
1,0,0,0,1,0,0,1,1,0,0,2 윤정우,-1,심수창,2
1,0,0,0,1,0,0,1,0,0,1,2 윤정우,-1,심수창,2
0,1,0,0,0,1,1,0,1,0,0,2 윤정우,-1,송창식,2
0,0,1,0,1,0,1,0,1,0,0,2 윤정우,-1,박정진,-1
1,0,0,1,0,0,0,1,1,0,0,7 윤정우,-1,이태양,1
0,1,0,1,0,0,1,0,1,0,0,7 윤정우,-1,이태양,1
0,0,1,0,1,0,0,1,0,1,0,7 윤정우,-1,권혁,2
1,0,0,1,0,0,1,0,1,0,0,2 윤정우,-1,레일리,2
1,0,0,0,0,1,1,0,1,0,0,2 윤정우,-1,레일리,2
0,1,0,0,1,0,1,0,0,0,1,2 윤정우,-1,레일리,2
1,0,0,1,0,0,1,0,0,1,0,2 윤정우,-1,임찬규,1
1,0,0,1,0,0,0,1,0,0,1,2 윤정우,-1,임찬규,1
0,1,0,0,1,0,0,1,1,0,0,2 윤정우,-1,봉중근,-1
1,0,0,0,1,0,0,1,1,0,0,2 윤정우,-1,구창모,3
1,0,0,1,0,0,0,1,1,0,0,2 윤정우,-1,구창모,3
0,1,0,1,0,0,0,1,1,0,0,2 윤정우,-1,구창모,3
0,0,1,1,0,0,0,1,1,0,0,2 윤정우,-1,정수민,5
1,0,0,1,0,0,1,0,1,0,0,2 윤정우,-1,허준혁,5
1,0,0,1,0,0,0,1,0,1,0,2 윤정우,-1,허준혁,5
0,1,0,1,0,0,0,1,1,0,0,2 윤정우,-1,진야곱,-1
0,0,1,1,0,0,1,0,1,0,0,3 윤정우,-1,김대우,3
0,0,1,0,0,1,0,1,0,1,0,3 윤정우,-1,임현준,6
0,1,0,0,0,1,0,1,1,0,0,4 윤정우,-1,린드블럼,1
0,0,1,0,0,1,1,0,1,0,0,4 윤정우,-1,윤길현,2
1,0,0,1,0,0,0,1,1,0,0,1 윤정우,-1,정대현,-1
1,0,0,0,0,1,0,1,1,0,0,1 윤정우,-1,정대현,-1
0,1,0,0,1,0,0,1,1,0,0,1 윤정우,-1,정대현,-1
1,0,0,0,1,0,0,1,0,1,0,2 윤정우,-1,밴헤켄,-1
1,0,0,0,1,0,0,1,0,0,1,2 윤정우,-1,밴헤켄,-1
0,1,0,0,1,0,0,1,1,0,0,2 윤정우,-1,밴헤켄,-1
0,0,1,0,1,0,0,1,1,0,0,2 윤정우,-1,이보근,1
1,0,0,1,0,0,0,1,1,0,0,1 윤정우,-1,허프,-1
1,0,0,0,0,1,0,1,1,0,0,1 윤정우,-1,허프,-1
0,1,0,1,0,0,0,1,1,0,0,1 윤정우,-1,허프,-1
0,0,1,1,0,0,0,1,1,0,0,1 윤정우,-1,박정진,-1
0,0,1,0,0,1,1,0,1,0,0,5 윤정우,-1,심수창,2
1,0,0,1,0,0,1,0,1,0,0,2 윤정우,-1,밴헤켄,-1
1,0,0,0,0,1,1,0,0,1,0,2 윤정우,-1,밴헤켄,-1
0,1,0,0,0,1,0,1,0,1,0,2 윤정우,-1,밴헤켄,-1
0,0,1,0,0,1,0,1,0,0,1,2 윤정우,-1,마정길,-1
0,0,1,1,0,0,0,1,1,0,0,2 윤정우,-1,배재환,6
1,0,0,1,0,0,0,1,0,0,1,1 윤정우,-1,정대현,-1
1,0,0,0,1,0,1,0,1,0,0,1 윤정우,-1,정대현,-1
0,1,0,1,0,0,0,1,0,0,1,1 윤정우,-1,정대현,-1
0,0,1,0,1,0,0,1,1,0,0,1 윤정우,-1,배우열,6
0,0,1,0,0,1,0,1,1,0,0,1 윤정우,-1,엄상백,3
0,0,1,0,1,0,1,0,0,0,1,8 윤정우,-1,홍성용,-1
0,0,1,0,0,1,0,1,1,0,0,8 윤정우,-1,심창민,-1
0,1,0,1,0,0,0,1,1,0,0,9 윤정우,-1,박정진,-1
0,1,0,0,0,1,1,0,0,0,1,9 윤정우,-1,서캠프,-1
0,0,1,0,0,1,0,1,0,0,1,9 윤정우,-1,심수창,2
0,0,1,0,1,0,0,1,1,0,0,9 윤정우,-1,정우람,2
