1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,0,1,0,8 이재원,9,로치,-1
0,1,0,1,0,0,0,1,1,0,0,8 이재원,9,로치,-1
0,0,1,1,0,0,0,1,1,0,0,8 이재원,9,고영표,-1
0,0,1,0,1,0,1,0,1,0,0,8 이재원,9,김재윤,-1
1,0,0,0,1,0,1,0,0,1,0,6 이재원,9,정대현,-1
0,1,0,1,0,0,0,1,0,1,0,6 이재원,9,정대현,-1
0,0,1,0,0,1,0,1,1,0,0,6 이재원,9,장시환,2
1,0,0,0,1,0,0,1,1,0,0,6 이재원,9,피어밴드,-1
0,1,0,0,1,0,0,1,1,0,0,6 이재원,9,피어밴드,-1
1,0,0,1,0,0,1,0,1,0,0,7 이재원,9,양현종,1
0,1,0,0,1,0,0,1,1,0,0,7 이재원,9,양현종,1
0,0,1,0,1,0,0,1,1,0,0,7 이재원,9,양현종,1
1,0,0,0,0,1,0,1,1,0,0,8 이재원,9,임기영,-1
0,1,0,0,1,0,0,1,1,0,0,8 이재원,9,임기영,-1
0,0,1,0,0,1,0,1,1,0,0,8 이재원,9,한승혁,3
0,0,1,0,1,0,0,1,1,0,0,8 이재원,9,임창용,3
1,0,0,1,0,0,0,1,1,0,0,7 이재원,9,맨쉽,-1
0,1,0,1,0,0,0,1,1,0,0,7 이재원,9,맨쉽,-1
0,1,0,0,0,1,1,0,1,0,0,7 이재원,9,맨쉽,-1
0,0,1,0,0,1,0,1,0,1,0,7 이재원,9,임창민,4
1,0,0,0,1,0,0,1,0,1,0,6 이재원,9,구창모,-1
1,0,0,0,0,1,0,1,1,0,0,6 이재원,9,최금강,0
0,1,0,1,0,0,0,1,1,0,0,6 이재원,9,최금강,0
0,0,1,0,1,0,0,1,1,0,0,6 이재원,9,배재환,-1
0,1,0,0,0,1,1,0,1,0,0,8 이재원,9,원종현,-1
1,0,0,1,0,0,0,1,1,0,0,7 이재원,9,박세웅,-1
0,1,0,0,1,0,1,0,1,0,0,7 이재원,9,박세웅,-1
0,1,0,0,0,1,0,1,1,0,0,7 이재원,9,박시영,-1
1,0,0,0,0,1,1,0,1,0,0,7 이재원,9,레일리,-1
0,1,0,0,1,0,0,1,1,0,0,7 이재원,9,레일리,-1
0,0,1,0,1,0,0,1,1,0,0,7 이재원,9,레일리,-1
0,0,1,0,0,1,0,1,1,0,0,7 이재원,9,박시영,-1
0,0,1,1,0,0,0,1,1,0,0,7 이재원,9,손승락,0
1,0,0,0,1,0,1,0,0,1,0,7 이재원,9,송은범,3
1,0,0,0,1,0,0,1,1,0,0,7 이재원,9,안영명,3
0,1,0,1,0,0,1,0,1,0,0,7 이재원,9,안영명,3
0,0,1,0,1,0,0,1,1,0,0,7 이재원,9,송창식,4
0,0,1,0,1,0,1,0,0,0,1,7 이재원,9,심수창,4
1,0,0,1,0,0,1,0,1,0,0,6 이재원,9,이태양,-1
0,1,0,0,1,0,0,1,1,0,0,6 이재원,9,이태양,-1
0,1,0,1,0,0,0,1,0,1,0,6 이재원,9,안영명,3
0,1,0,0,1,0,1,0,1,0,0,6 이재원,9,안영명,3
1,0,0,0,0,1,0,1,0,1,0,8 이재원,9,장민재,-1
0,1,0,0,0,1,0,1,1,0,0,8 이재원,9,장민재,-1
0,1,0,0,0,1,1,0,1,0,0,8 이재원,9,송창식,4
0,0,1,0,1,0,0,1,1,0,0,8 이재원,9,송신영,-1
1,0,0,0,0,1,1,0,1,0,0,7 이재원,9,오주원,0
0,1,0,1,0,0,0,1,0,1,0,7 이재원,9,오주원,0
0,1,0,1,0,0,0,1,1,0,0,7 이재원,9,오주원,0
0,0,1,0,0,1,0,1,1,0,0,7 이재원,9,조상우,-1
1,0,0,1,0,0,0,1,1,0,0,7 이재원,9,밴헤켄,-1
0,1,0,0,0,1,1,0,1,0,0,7 이재원,9,밴헤켄,-1
0,0,1,1,0,0,0,1,0,1,0,7 이재원,9,마정길,-1
0,0,1,0,0,1,0,1,1,0,0,7 이재원,9,김상수,-1
0,0,1,1,0,0,0,1,1,0,0,7 이재원,9,김세현,0
1,0,0,0,1,0,0,1,1,0,0,7 이재원,9,보우덴,-1
1,0,0,0,0,1,0,1,1,0,0,7 이재원,9,김명신,-1
