1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,1,0,0,0,1,1,0,0,9 이현석,-1,윤길현,2
0,0,1,0,1,0,0,1,1,0,0,8 이현석,-1,진야곱,-1
0,0,1,0,1,0,1,0,0,1,0,8 이현석,-1,김성배,-1
0,0,1,0,0,1,1,0,1,0,0,8 이현석,-1,이창재,-1
0,0,1,0,1,0,0,1,0,1,0,8 이현석,-1,심수창,2
0,0,1,1,0,0,0,1,1,0,0,8 이현석,-1,정대훈,-1
0,0,1,0,1,0,1,0,1,0,0,9 이현석,-1,이정훈,-1
0,0,1,1,0,0,0,1,1,0,0,8 이현석,-1,서캠프,-1
0,0,1,0,1,0,0,1,1,0,0,8 이현석,-1,김성배,-1
0,0,1,0,0,1,1,0,1,0,0,8 이현석,-1,윤성환,0
0,0,1,0,0,1,0,1,1,0,0,5 이현석,-1,김진성,3
0,1,0,1,0,0,1,0,1,0,0,5 이현석,-1,차우찬,0
0,0,1,1,0,0,1,0,0,1,0,5 이현석,-1,차우찬,0
0,0,1,0,0,1,0,1,1,0,0,5 이현석,-1,권오준,1
