1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,1,0,0,4 정의윤,0,로치,-1
1,0,0,0,1,0,1,0,1,0,0,4 정의윤,0,로치,-1
0,1,0,0,0,1,0,1,1,0,0,4 정의윤,0,로치,-1
0,0,1,0,1,0,0,1,1,0,0,4 정의윤,0,고영표,-1
1,0,0,1,0,0,0,1,1,0,0,4 정의윤,0,정대현,-1
0,1,0,0,1,0,0,1,1,0,0,4 정의윤,0,정대현,-1
0,0,1,1,0,0,0,1,1,0,0,4 정의윤,0,장시환,2
0,0,1,0,1,0,1,0,1,0,0,4 정의윤,0,김재윤,-1
1,0,0,1,0,0,0,1,0,1,0,4 정의윤,0,피어밴드,-1
0,1,0,0,0,1,0,1,1,0,0,4 정의윤,0,피어밴드,-1
0,0,1,0,0,1,0,1,1,0,0,4 정의윤,0,피어밴드,-1
1,0,0,0,0,1,1,0,1,0,0,4 정의윤,0,양현종,1
1,0,0,0,1,0,1,0,1,0,0,4 정의윤,0,양현종,1
0,1,0,0,1,0,0,1,0,1,0,4 정의윤,0,양현종,1
0,0,1,1,0,0,0,1,1,0,0,4 정의윤,0,박지훈,-1
1,0,0,1,0,0,0,1,1,0,0,4 정의윤,0,임기영,-1
0,1,0,1,0,0,0,1,1,0,0,4 정의윤,0,임기영,-1
0,1,0,0,0,1,0,1,1,0,0,4 정의윤,0,임기영,-1
0,0,1,0,0,1,0,1,1,0,0,4 정의윤,0,한승혁,3
1,0,0,0,0,1,0,1,1,0,0,6 정의윤,0,맨쉽,-1
0,1,0,0,0,1,0,1,1,0,0,6 정의윤,0,맨쉽,-1
0,1,0,0,0,1,0,1,0,0,1,6 정의윤,0,맨쉽,-1
0,0,1,0,0,1,0,1,1,0,0,4 정의윤,0,윤수호,-1
1,0,0,0,1,0,0,1,0,0,1,6 정의윤,0,이재학,5
1,0,0,1,0,0,0,1,0,1,0,6 정의윤,0,이재학,5
0,1,0,0,1,0,0,1,0,0,1,6 정의윤,0,김진성,0
0,1,0,1,0,0,1,0,1,0,0,6 정의윤,0,원종현,-1
0,0,1,0,1,0,0,1,1,0,0,6 정의윤,0,임창민,4
1,0,0,0,0,1,0,1,1,0,0,6 정의윤,0,박세웅,-1
0,1,0,0,1,0,0,1,0,1,0,6 정의윤,0,박세웅,-1
0,1,0,0,1,0,0,1,1,0,0,6 정의윤,0,박시영,-1
0,0,1,1,0,0,0,1,0,1,0,6 정의윤,0,손승락,0
1,0,0,0,1,0,0,1,1,0,0,5 정의윤,0,레일리,-1
0,1,0,1,0,0,1,0,0,1,0,5 정의윤,0,레일리,-1
0,1,0,0,1,0,1,0,1,0,0,5 정의윤,0,레일리,-1
0,0,1,1,0,0,0,1,1,0,0,5 정의윤,0,배장호,2
0,0,1,1,0,0,0,1,0,0,1,5 정의윤,0,손승락,0
1,0,0,1,0,0,1,0,1,0,0,6 정의윤,0,김원중,-1
1,0,0,1,0,0,1,0,1,0,0,6 정의윤,0,송승준,3
0,1,0,1,0,0,0,1,1,0,0,6 정의윤,0,이정민,-1
0,0,1,0,1,0,0,1,0,0,1,6 정의윤,0,윤길현,2
1,0,0,0,1,0,0,1,0,0,1,6 정의윤,0,송은범,3
1,0,0,1,0,0,0,1,1,0,0,6 정의윤,0,송은범,3
0,1,0,1,0,0,0,1,0,1,0,6 정의윤,0,안영명,3
0,0,1,1,0,0,0,1,1,0,0,6 정의윤,0,송창식,4
0,0,1,1,0,0,1,0,1,0,0,6 정의윤,0,심수창,4
0,0,1,0,1,0,0,1,0,1,0,4 정의윤,0,윤규진,3
1,0,0,1,0,0,1,0,1,0,0,6 정의윤,0,장민재,-1
0,1,0,0,1,0,0,1,0,1,0,6 정의윤,0,장민재,-1
0,1,0,0,1,0,0,1,0,1,0,6 정의윤,0,박정진,-1
0,0,1,0,1,0,0,1,0,1,0,6 정의윤,0,송신영,-1
0,0,1,0,1,0,1,0,1,0,0,6 정의윤,0,송신영,-1
1,0,0,0,1,0,0,1,0,1,0,5 정의윤,0,오주원,0
1,0,0,0,1,0,0,1,1,0,0,5 정의윤,0,오주원,0
0,1,0,0,0,1,0,1,0,1,0,5 정의윤,0,오주원,0
0,0,1,1,0,0,0,1,1,0,0,5 정의윤,0,조상우,-1
1,0,0,0,1,0,0,1,1,0,0,5 정의윤,0,밴헤켄,-1
0,1,0,0,1,0,0,1,1,0,0,5 정의윤,0,밴헤켄,-1
0,1,0,0,1,0,1,0,1,0,0,5 정의윤,0,밴헤켄,-1
0,0,1,1,0,0,0,1,1,0,0,5 정의윤,0,김상수,-1
0,0,1,0,0,1,0,1,1,0,0,9 정의윤,0,김세현,0
1,0,0,0,1,0,1,0,0,0,1,6 정의윤,0,보우덴,-1
1,0,0,0,0,1,1,0,0,0,1,6 정의윤,0,김명신,-1
0,1,0,1,0,0,0,1,0,1,0,6 정의윤,0,홍상삼,-1
0,0,1,1,0,0,0,1,0,0,1,6 정의윤,0,김강률,0
1,0,0,0,1,0,0,1,1,0,0,6 정의윤,0,장원준,3
0,1,0,0,1,0,0,1,1,0,0,6 정의윤,0,장원준,3
0,1,0,1,0,0,0,1,1,0,0,6 정의윤,0,장원준,3
0,0,1,1,0,0,0,1,1,0,0,6 정의윤,0,김승회,0
1,0,0,1,0,0,1,0,1,0,0,6 정의윤,0,함덕주,0
0,1,0,0,0,1,1,0,0,1,0,6 정의윤,0,함덕주,0
0,1,0,0,1,0,0,1,1,0,0,6 정의윤,0,김강률,0
0,0,1,1,0,0,0,1,1,0,0,6 정의윤,0,이용찬,-1
1,0,0,1,0,0,0,1,1,0,0,6 정의윤,0,김대현,-1
1,0,0,0,0,1,1,0,0,1,0,6 정의윤,0,김대현,-1
0,1,0,1,0,0,0,1,1,0,0,6 정의윤,0,최동환,2
0,0,1,0,1,0,0,1,1,0,0,6 정의윤,0,신승현,-1
0,0,1,0,1,0,1,0,1,0,0,2 정의윤,0,진해수,0
1,0,0,0,1,0,0,1,1,0,0,6 정의윤,0,임찬규,-1
0,1,0,1,0,0,0,1,1,0,0,6 정의윤,0,임찬규,-1
0,0,1,1,0,0,0,1,1,0,0,6 정의윤,0,임찬규,-1
0,0,1,1,0,0,0,1,1,0,0,6 정의윤,0,신정락,-1
1,0,0,1,0,0,0,1,0,1,0,5 정의윤,0,장원삼,0
1,0,0,1,0,0,0,1,1,0,0,5 정의윤,0,김승현,-1
0,1,0,1,0,0,0,1,0,0,1,5 정의윤,0,권오준,2
0,0,1,0,0,1,0,1,0,1,0,5 정의윤,0,장필준,-1
0,0,1,0,0,1,0,1,1,0,0,5 정의윤,0,심창민,0
1,0,0,0,0,1,1,0,1,0,0,4 정의윤,0,페트릭,-1
1,0,0,0,0,1,1,0,1,0,0,4 정의윤,0,페트릭,-1
0,1,0,0,0,1,0,1,1,0,0,4 정의윤,0,페트릭,-1
0,0,1,1,0,0,1,0,1,0,0,5 정의윤,0,김현우,-1
1,0,0,0,1,0,0,1,0,1,0,5 정의윤,0,장민재,-1
0,1,0,0,1,0,1,0,1,0,0,5 정의윤,0,장민재,-1
0,1,0,0,0,1,0,1,0,1,0,5 정의윤,0,심수창,4
0,0,1,1,0,0,0,1,1,0,0,5 정의윤,0,윤규진,3
0,0,1,0,0,1,1,0,1,0,0,5 정의윤,0,정우람,-1
1,0,0,0,1,0,0,1,0,1,0,7 정의윤,0,배영수,-1
1,0,0,0,1,0,1,0,1,0,0,7 정의윤,0,배영수,-1
0,1,0,0,1,0,0,1,1,0,0,7 정의윤,0,송창식,4
0,0,1,1,0,0,1,0,0,1,0,7 정의윤,0,심수창,4
0,0,1,0,0,1,1,0,1,0,0,7 정의윤,0,정우람,-1
1,0,0,1,0,0,0,1,1,0,0,4 정의윤,0,안영명,3
0,1,0,1,0,0,0,1,0,1,0,4 정의윤,0,안영명,3
0,1,0,0,0,1,1,0,1,0,0,4 정의윤,0,박정진,-1
0,0,1,0,0,1,1,0,0,1,0,4 정의윤,0,윤규진,3
1,0,0,0,0,1,0,1,1,0,0,5 정의윤,0,조상우,-1
0,1,0,1,0,0,0,1,1,0,0,5 정의윤,0,조상우,-1
0,1,0,0,0,1,1,0,1,0,0,5 정의윤,0,조상우,-1
0,0,1,1,0,0,0,1,0,1,0,5 정의윤,0,이보근,-1
0,0,1,1,0,0,0,1,0,1,0,2 정의윤,0,김홍빈,-1
1,0,0,0,0,1,0,1,1,0,0,7 정의윤,0,한현희,-1
0,1,0,0,1,0,0,1,1,0,0,7 정의윤,0,한현희,-1
1,0,0,0,0,1,1,0,1,0,0,7 정의윤,0,니퍼트,1
