1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,0,1,1,0,0,1,0,8 최항,2,로치,-1
0,1,0,1,0,0,1,0,1,0,0,8 최항,2,로치,-1
0,1,0,0,0,1,0,1,1,0,0,8 최항,2,로치,-1
0,0,1,0,0,1,0,1,1,0,0,8 최항,2,심재민,-1
0,0,1,0,1,0,1,0,0,1,0,3 최항,2,장원준,2
0,0,1,0,1,0,0,1,1,0,0,3 최항,2,이용찬,1
1,0,0,0,0,1,0,1,1,0,0,9 최항,2,윤성환,1
0,1,0,0,0,1,0,1,1,0,0,9 최항,2,윤성환,1
1,0,0,1,0,0,0,1,1,0,0,8 최항,2,레나도,-1
1,0,0,0,0,1,1,0,0,1,0,8 최항,2,레나도,-1
0,0,1,0,0,1,1,0,1,0,0,3 최항,2,박진태,-1
0,0,1,0,0,1,1,0,0,1,0,3 최항,2,박진태,-1
1,0,0,0,1,0,0,1,1,0,0,8 최항,2,박세웅,2
0,1,0,0,0,1,0,1,0,0,1,8 최항,2,박세웅,2
0,1,0,0,0,1,1,0,1,0,0,8 최항,2,박세웅,2
1,0,0,0,1,0,0,1,0,1,0,2 최항,2,로치,-1
1,0,0,0,0,1,0,1,1,0,0,2 최항,2,로치,-1
0,1,0,1,0,0,0,1,0,1,0,2 최항,2,로치,-1
0,1,0,1,0,0,0,1,1,0,0,2 최항,2,로치,-1
1,0,0,0,1,0,0,1,1,0,0,2 최항,2,고영표,-1
0,1,0,1,0,0,0,1,1,0,0,2 최항,2,고영표,-1
0,1,0,1,0,0,1,0,1,0,0,2 최항,2,고영표,-1
0,0,1,0,0,1,0,1,1,0,0,2 최항,2,이상화,0
1,0,0,0,1,0,0,1,1,0,0,2 최항,2,오간도,-1
1,0,0,0,0,1,0,1,0,1,0,2 최항,2,오간도,-1
0,1,0,1,0,0,0,1,0,1,0,2 최항,2,오간도,-1
0,0,1,1,0,0,0,1,0,1,0,2 최항,2,박정진,-1
1,0,0,1,0,0,1,0,1,0,0,2 최항,2,소사,-1
