1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,0,1,1,0,1,0,0,7 한동민,-1,로치,-1
0,1,0,0,0,1,0,1,1,0,0,7 한동민,-1,로치,-1
0,1,0,0,0,1,0,1,1,0,0,7 한동민,-1,로치,-1
0,0,1,0,1,0,0,1,0,1,0,7 한동민,-1,김재윤,-1
0,0,1,1,0,0,0,1,1,0,0,7 한동민,-1,장시환,2
1,0,0,0,1,0,0,1,0,1,0,5 한동민,-1,임기영,-1
0,1,0,0,1,0,0,1,1,0,0,5 한동민,-1,임기영,-1
0,0,1,1,0,0,0,1,0,1,0,5 한동민,-1,심동섭,4
0,0,1,1,0,0,0,1,0,1,0,5 한동민,-1,임창용,3
1,0,0,1,0,0,1,0,1,0,0,5 한동민,-1,맨쉽,-1
0,1,0,0,1,0,0,1,1,0,0,5 한동민,-1,맨쉽,-1
0,1,0,0,0,1,1,0,0,1,0,5 한동민,-1,맨쉽,-1
0,0,1,1,0,0,0,1,1,0,0,5 한동민,-1,임창민,4
1,0,0,1,0,0,0,1,1,0,0,5 한동민,-1,구창모,-1
1,0,0,0,1,0,0,1,1,0,0,5 한동민,-1,최금강,0
0,1,0,0,0,1,0,1,1,0,0,5 한동민,-1,최금강,0
0,0,1,0,1,0,0,1,0,1,0,5 한동민,-1,배재환,-1
1,0,0,0,1,0,0,1,0,1,0,5 한동민,-1,이재학,5
1,0,0,1,0,0,1,0,0,0,1,5 한동민,-1,이재학,5
0,1,0,0,1,0,0,1,0,1,0,5 한동민,-1,김진성,0
0,1,0,1,0,0,0,1,0,1,0,5 한동민,-1,임정호,-1
0,0,1,0,1,0,1,0,0,0,1,5 한동민,-1,임창민,4
1,0,0,0,0,1,1,0,0,1,0,5 한동민,-1,박세웅,-1
0,1,0,1,0,0,0,1,1,0,0,5 한동민,-1,박세웅,-1
0,1,0,0,1,0,1,0,0,1,0,5 한동민,-1,박세웅,-1
0,0,1,0,1,0,1,0,1,0,0,5 한동민,-1,손승락,0
1,0,0,0,0,1,0,1,0,1,0,6 한동민,-1,레일리,-1
0,1,0,1,0,0,0,1,1,0,0,6 한동민,-1,레일리,-1
0,0,1,1,0,0,0,1,1,0,0,6 한동민,-1,레일리,-1
0,0,1,0,1,0,0,1,1,0,0,6 한동민,-1,강영식,-1
0,0,1,1,0,0,1,0,0,1,0,6 한동민,-1,손승락,0
1,0,0,1,0,0,0,1,0,0,1,5 한동민,-1,김원중,-1
1,0,0,1,0,0,0,1,0,1,0,5 한동민,-1,송승준,3
1,0,0,1,0,0,0,1,1,0,0,5 한동민,-1,송은범,3
1,0,0,1,0,0,1,0,0,0,1,5 한동민,-1,송은범,3
0,1,0,0,0,1,1,0,1,0,0,5 한동민,-1,안영명,3
0,1,0,0,0,1,0,1,1,0,0,5 한동민,-1,송창식,4
1,0,0,1,0,0,1,0,0,1,0,5 한동민,-1,장민재,-1
0,1,0,1,0,0,0,1,1,0,0,5 한동민,-1,장민재,-1
0,1,0,1,0,0,0,1,1,0,0,5 한동민,-1,박정진,-1
0,0,1,0,1,0,1,0,0,1,0,5 한동민,-1,송창식,4
